season,match_id,date,home_team,away_team,home_goals,away_goals,result,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_ppda,away_ppda,home_big_chances,away_big_chances,home_set_piece_xg,away_set_piece_xg,home_red_cards,away_red_cards,referee,stadium,attendance,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
2026-27,LALIGA2627_MW03_021_DeportivoAlavés_VillarrealCF,2026-08-28,Deportivo Alavés,Villarreal CF,1,0,home_win,,,,,,,,,,,,,,,,,,Mendizorroza,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW03_025_LevanteUD_RealBetis,2026-08-29,Levante UD,Real Betis,5,2,home_win,,,,,,,,,,,,,,,,,,Estadio Ciutat de València,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW03_029_RealSociedad_RCDEspanyoldeBarcelona,2026-08-29,Real Sociedad,RCD Espanyol de Barcelona,2,1,home_win,,,,,,,,,,,,,,,,,,Anoeta,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW03_030_SevillaFC_AtléticodeMadrid,2026-08-29,Sevilla FC,Atlético de Madrid,1,3,away_win,,,,,,,,,,,,,,,,,,Ramón Sánchez-Pizjuán,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW03_028_RealMadrid_MálagaCF,2026-08-30,Real Madrid,Málaga CF,4,0,home_win,,,,,,,,,,,,,,,,,,Bernabéu,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW03_023_RCDeportivo_ValenciaCF,2026-08-30,RC Deportivo,Valencia CF,3,1,home_win,,,,,,,,,,,,,,,,,,Estadio ABANCA-RIAZOR,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW03_022_CeltaVigo_AthleticClub,2026-08-30,Celta Vigo,Athletic Club,0,2,away_win,,,,,,,,,,,,,,,,,,Estadio ABANCA Balaídos,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW03_026_CAOsasuna_GetafeCF,2026-08-31,CA Osasuna,Getafe CF,1,0,home_win,,,,,,,,,,,,,,,,,,Estadio El Sadar,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW03_024_FCBarcelona_RayoVallecano,2026-08-31,FC Barcelona,Rayo Vallecano,5,2,home_win,,,,,,,,,,,,,,,,,,Spotify Camp Nou,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW04_033_RealBetis_RealMadrid,2026-09-04,Real Betis,Real Madrid,1,0,home_win,,,,,,,,,,,,,,,,,,Estadio La Cartuja,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
