season,match_id,date,home_team,away_team,home_goals,away_goals,result,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_ppda,away_ppda,home_big_chances,away_big_chances,home_set_piece_xg,away_set_piece_xg,home_red_cards,away_red_cards,referee,stadium,attendance,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
2026-27,SERIEA2627_MW03_029_Roma_Atalanta,2026-09-05,Roma,Atalanta,2,1,home_win,,,,,,,,,,,,,,,,,,Olimpico,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW03_024_Frosinone_Venezia,2026-09-06,Frosinone,Venezia,3,2,home_win,,,,,,,,,,,,,,,,,,Benito Stirpe,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW03_028_Parma_Monza,2026-09-06,Parma,Monza,1,1,draw,,,,,,,,,,,,,,,,,,Ennio Tardini,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW03_021_Bologna_Sassuolo,2026-09-06,Bologna,Sassuolo,2,2,draw,,,,,,,,,,,,,,,,,,Renato Dall'Ara,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW03_027_Juventus_Milan,2026-09-06,Juventus,Milan,1,1,draw,,,,,,,,,,,,,,,,,,Allianz Stadium,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW03_022_Cagliari_Lecce,2026-09-07,Cagliari,Lecce,1,0,home_win,,,,,,,,,,,,,,,,,,Unipol Domus,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW03_030_Udinese_Lazio,2026-09-07,Udinese,Lazio,1,2,away_win,,,,,,,,,,,,,,,,,,Friuli/Bluenergy stadium,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW04_040_Venezia_Fiorentina,2026-09-11,Venezia,Fiorentina,2,4,away_win,,,,,,,,,,,,,,,,,,Pier Luigi Penzo,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW04_033_Genoa_Frosinone,2026-09-12,Genoa,Frosinone,1,1,draw,,,,,,,,,,,,,,,,,,Luigi Ferraris,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW04_035_Lazio_Milan,2026-09-12,Lazio,Milan,2,2,draw,,,,,,,,,,,,,,,,,,Olimpico,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW04_031_Atalanta_Cagliari,2026-09-12,Atalanta,Cagliari,1,2,away_win,,,,,,,,,,,,,,,,,,New Balance Arena,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW04_036_Lecce_Monza,2026-09-13,Lecce,Monza,3,2,home_win,,,,,,,,,,,,,,,,,,Ettore Giardiniero - Via Del Mare,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW04_037_Napoli_Bologna,2026-09-13,Napoli,Bologna,1,0,home_win,,,,,,,,,,,,,,,,,,Diego Armando Maradona,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW04_038_Sassuolo_Juventus,2026-09-13,Sassuolo,Juventus,3,2,home_win,,,,,,,,,,,,,,,,,,Mapei Stadium,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW04_032_Como_Parma,2026-09-14,Como,Parma,2,1,home_win,,,,,,,,,,,,,,,,,,Giuseppe Sinigaglia,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
