season,match_id,date,home_team,away_team,group,home_goals,away_goals,result,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_ppda,away_ppda,home_big_chances,away_big_chances,home_set_piece_xg,away_set_piece_xg,home_red_cards,away_red_cards,referee,stadium,attendance,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
2024-25,UNL2425_MD04_081_Liechtenstein_Gibraltar,2024-10-13,Liechtenstein,Gibraltar,Group D1,0,0,draw,,,,,,,,,,,,,,,,,,Rheinpark Stadion,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_082_Armenia_NorthMacedonia,2024-10-13,Armenia,North Macedonia,Group C4,0,2,away_win,,,,,,,,,,,,,,,,,,Republican Stadium after Vazgen Sargsyan,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_083_Finland_England,2024-10-13,Finland,England,Group B2,1,3,away_win,,,,,,,,,,,,,,,,,,Helsinki Olympic Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_084_FaroeIslands_Latvia,2024-10-13,Faroe Islands,Latvia,Group C4,1,1,draw,,,,,,,,,,,,,,,,,,Tórsvøllur,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_085_Austria_Norway,2024-10-13,Austria,Norway,Group B3,5,1,home_win,,,,,,,,,,,,,,,,,,Oberösterreich Arena,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_086_Greece_RepublicofIreland,2024-10-13,Greece,Republic of Ireland,Group B2,2,0,home_win,,,,,,,,,,,,,,,,,,Stadio Georgios Karaiskakis,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_087_Azerbaijan_Slovakia,2024-10-14,Azerbaijan,Slovakia,Group C1,1,3,away_win,,,,,,,,,,,,,,,,,,Tofiq Bahramov Republican Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_088_Georgia_Albania,2024-10-14,Georgia,Albania,Group B1,0,1,away_win,,,,,,,,,,,,,,,,,,Mikheil Meskhi Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_089_Ukraine_Czechia,2024-10-14,Ukraine,Czechia,Group B1,1,1,draw,,,,,,,,,,,,,,,,,,Stadion Miejski we Wroclawiu,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_090_Italy_Israel,2024-10-14,Italy,Israel,Group A2,4,1,home_win,,,,,,,,,,,,,,,,,,Stadio Friuli,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_091_Iceland_Türkiye,2024-10-14,Iceland,Türkiye,Group B4,2,4,away_win,,,,,,,,,,,,,,,,,,Laugardalsvöllur,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_092_Belgium_France,2024-10-14,Belgium,France,Group A2,1,2,away_win,,,,,,,,,,,,,,,,,,King Baudouin Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_093_Germany_Netherlands,2024-10-14,Germany,Netherlands,Group A3,1,0,home_win,,,,,,,,,,,,,,,,,,Fußball Arena München,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_094_Estonia_Sweden,2024-10-14,Estonia,Sweden,Group C1,0,3,away_win,,,,,,,,,,,,,,,,,,Lilleküla Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_095_Wales_Montenegro,2024-10-14,Wales,Montenegro,Group B4,1,0,home_win,,,,,,,,,,,,,,,,,,Cardiff City Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_096_BosniaandHerzegovina_Hungary,2024-10-14,Bosnia and Herzegovina,Hungary,Group A3,0,2,away_win,,,,,,,,,,,,,,,,,,Stadion Bilino Polje,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_097_Lithuania_Romania,2024-10-15,Lithuania,Romania,Group C2,1,2,away_win,,,,,,,,,,,,,,,,,,Darius & Girenas Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_098_NorthernIreland_Bulgaria,2024-10-15,Northern Ireland,Bulgaria,Group C3,5,0,home_win,,,,,,,,,,,,,,,,,,Windsor Park,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_099_Spain_Serbia,2024-10-15,Spain,Serbia,Group A4,3,0,home_win,,,,,,,,,,,,,,,,,,Nuevo Arcangel,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_100_Poland_Croatia,2024-10-15,Poland,Croatia,Group A1,3,3,draw,,,,,,,,,,,,,,,,,,Stadion Narodowy,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_101_Switzerland_Denmark,2024-10-15,Switzerland,Denmark,Group A4,2,2,draw,,,,,,,,,,,,,,,,,,Arena St. Gallen,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_102_Kosovo_Cyprus,2024-10-15,Kosovo,Cyprus,Group C2,3,0,home_win,,,,,,,,,,,,,,,,,,Stadiumi Fadil Vokrri,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_103_Belarus_Luxembourg,2024-10-15,Belarus,Luxembourg,Group C3,1,1,draw,,,,,,,,,,,,,,,,,,ZTE Aréna,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD04_104_Scotland_Portugal,2024-10-15,Scotland,Portugal,Group A1,0,0,draw,,,,,,,,,,,,,,,,,,Hampden Park,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_105_Kazakhstan_Austria,2024-11-14,Kazakhstan,Austria,Group B3,0,2,away_win,,,,,,,,,,,,,,,,,,Almaty Ortalyk Stadion,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_106_Armenia_FaroeIslands,2024-11-14,Armenia,Faroe Islands,Group C4,0,1,away_win,,,,,,,,,,,,,,,,,,Republican Stadium after Vazgen Sargsyan,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_107_France_Israel,2024-11-14,France,Israel,Group A2,0,0,draw,,,,,,,,,,,,,,,,,,Stade de France,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_108_Belgium_Italy,2024-11-14,Belgium,Italy,Group A2,0,1,away_win,,,,,,,,,,,,,,,,,,King Baudouin Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_109_RepublicofIreland_Finland,2024-11-14,Republic of Ireland,Finland,Group B2,1,0,home_win,,,,,,,,,,,,,,,,,,Dublin Arena,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_110_Greece_England,2024-11-14,Greece,England,Group B2,0,3,away_win,,,,,,,,,,,,,,,,,,Olympic Athletic Center of Athens,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_111_Slovenia_Norway,2024-11-14,Slovenia,Norway,Group B3,1,4,away_win,,,,,,,,,,,,,,,,,,Stadion Stožice,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_112_NorthMacedonia_Latvia,2024-11-14,North Macedonia,Latvia,Group C4,1,0,home_win,,,,,,,,,,,,,,,,,,National Arena Todor Proeski,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_113_Cyprus_Lithuania,2024-11-15,Cyprus,Lithuania,Group C2,2,1,home_win,,,,,,,,,,,,,,,,,,AEK Arena,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_114_SanMarino_Gibraltar,2024-11-15,San Marino,Gibraltar,Group D1,1,1,draw,,,,,,,,,,,,,,,,,,San Marino Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_115_Luxembourg_Bulgaria,2024-11-15,Luxembourg,Bulgaria,Group C3,0,1,away_win,,,,,,,,,,,,,,,,,,Stade de Luxembourg,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_117_Scotland_Croatia,2024-11-15,Scotland,Croatia,Group A1,1,0,home_win,,,,,,,,,,,,,,,,,,Hampden Park,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_118_Denmark_Spain,2024-11-15,Denmark,Spain,Group A4,1,2,away_win,,,,,,,,,,,,,,,,,,Parken,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_119_NorthernIreland_Belarus,2024-11-15,Northern Ireland,Belarus,Group C3,2,0,home_win,,,,,,,,,,,,,,,,,,Windsor Park,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_120_Portugal_Poland,2024-11-15,Portugal,Poland,Group A1,5,1,home_win,,,,,,,,,,,,,,,,,,Estádio do Dragão,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_121_Switzerland_Serbia,2024-11-15,Switzerland,Serbia,Group A4,1,1,draw,,,,,,,,,,,,,,,,,,Stadion Letzigrund,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_122_Azerbaijan_Estonia,2024-11-16,Azerbaijan,Estonia,Group C1,0,0,draw,,,,,,,,,,,,,,,,,,Gabala City Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_123_Andorra_Moldova,2024-11-16,Andorra,Moldova,Group D2,0,1,away_win,,,,,,,,,,,,,,,,,,Estadi Nacional,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_124_Montenegro_Iceland,2024-11-16,Montenegro,Iceland,Group B4,0,2,away_win,,,,,,,,,,,,,,,,,,City Stadium Nikšic,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_125_Georgia_Ukraine,2024-11-16,Georgia,Ukraine,Group B1,1,1,draw,,,,,,,,,,,,,,,,,,Batumi Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_126_Türkiye_Wales,2024-11-16,Türkiye,Wales,Group B4,0,0,draw,,,,,,,,,,,,,,,,,,Kayseri Büyüksehir Belediye Kadir Has,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_127_Germany_BosniaandHerzegovina,2024-11-16,Germany,Bosnia and Herzegovina,Group A3,7,0,home_win,,,,,,,,,,,,,,,,,,Stadion am Wolfswinkel,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_128_Albania_Czechia,2024-11-16,Albania,Czechia,Group B1,0,0,draw,,,,,,,,,,,,,,,,,,Arena Kombëtare,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_129_Netherlands_Hungary,2024-11-16,Netherlands,Hungary,Group A3,4,0,home_win,,,,,,,,,,,,,,,,,,Johan Cruijff ArenA,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD05_130_Sweden_Slovakia,2024-11-16,Sweden,Slovakia,Group C1,2,1,home_win,,,,,,,,,,,,,,,,,,Strawberry Arena,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_131_NorthMacedonia_FaroeIslands,2024-11-17,North Macedonia,Faroe Islands,Group C4,1,0,home_win,,,,,,,,,,,,,,,,,,National Arena Todor Proeski,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_132_Latvia_Armenia,2024-11-17,Latvia,Armenia,Group C4,1,2,away_win,,,,,,,,,,,,,,,,,,Skonto Stadions,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_133_Norway_Kazakhstan,2024-11-17,Norway,Kazakhstan,Group B3,5,0,home_win,,,,,,,,,,,,,,,,,,Ullevaal Stadion,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_134_Finland_Greece,2024-11-17,Finland,Greece,Group B2,0,2,away_win,,,,,,,,,,,,,,,,,,Helsinki Olympic Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_135_Austria_Slovenia,2024-11-17,Austria,Slovenia,Group B3,1,1,draw,,,,,,,,,,,,,,,,,,Ernst-Happel-Stadion,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_136_England_RepublicofIreland,2024-11-17,England,Republic of Ireland,Group B2,5,0,home_win,,,,,,,,,,,,,,,,,,Wembley Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_137_Israel_Belgium,2024-11-17,Israel,Belgium,Group A2,1,0,home_win,,,,,,,,,,,,,,,,,,Bozsik Aréna,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_138_Italy_France,2024-11-17,Italy,France,Group A2,1,3,away_win,,,,,,,,,,,,,,,,,,Stadio San Siro,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_139_Croatia_Portugal,2024-11-18,Croatia,Portugal,Group A1,1,1,draw,,,,,,,,,,,,,,,,,,Stadion Poljud,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_140_Spain_Switzerland,2024-11-18,Spain,Switzerland,Group A4,3,2,home_win,,,,,,,,,,,,,,,,,,Heliodoro Rodríguez López,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_141_Poland_Scotland,2024-11-18,Poland,Scotland,Group A1,1,2,away_win,,,,,,,,,,,,,,,,,,Stadion Narodowy,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_142_Liechtenstein_SanMarino,2024-11-18,Liechtenstein,San Marino,Group D1,1,3,away_win,,,,,,,,,,,,,,,,,,Rheinpark Stadion,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_143_Kosovo_Lithuania,2024-11-18,Kosovo,Lithuania,Group C2,1,0,home_win,,,,,,,,,,,,,,,,,,Stadiumi Fadil Vokrri,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_144_Luxembourg_NorthernIreland,2024-11-18,Luxembourg,Northern Ireland,Group C3,2,2,draw,,,,,,,,,,,,,,,,,,Stade de Luxembourg,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_145_Serbia_Denmark,2024-11-18,Serbia,Denmark,Group A4,0,0,draw,,,,,,,,,,,,,,,,,,Gradski Stadion Podgorica,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD06_146_Romania_Cyprus,2024-11-18,Romania,Cyprus,Group C2,4,1,home_win,,,,,,,,,,,,,,,,,,National Arena,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
