season,match_id,date,home_team,away_team,home_goals,away_goals,result,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_ppda,away_ppda,home_big_chances,away_big_chances,home_set_piece_xg,away_set_piece_xg,home_red_cards,away_red_cards,referee,stadium,attendance,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
2026-27,LIGUE12627_MW03_025_ParisSaint-Germain_ASMonaco,2026-09-04,Paris Saint-Germain,AS Monaco,1,2,away_win,,,,,,,,,,,,,,,,,,Parc des Princes,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW03_021_RCLens_FCLorient,2026-09-05,RC Lens,FC Lorient,0,1,away_win,,,,,,,,,,,,,,,,,,Stade Bollaert-Delelis,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW03_020_HavreAthleticClub_StadeBrestois29,2026-09-05,Havre Athletic Club,Stade Brestois 29,1,2,away_win,,,,,,,,,,,,,,,,,,Stade Océane,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW03_024_OGCNice_LeMansFC,2026-09-05,OGC Nice,Le Mans FC,1,1,draw,,,,,,,,,,,,,,,,,,Allianz Riviera,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW03_027_EstacTroyes_RCStrasbourgAlsace,2026-09-06,Estac Troyes,RC Strasbourg Alsace,2,6,away_win,,,,,,,,,,,,,,,,,,Stade de l'Aube,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW03_019_AngersSCO_StadeRennaisFC,2026-09-06,Angers SCO,Stade Rennais FC,1,2,away_win,,,,,,,,,,,,,,,,,,Stade Raymond Kopa,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW03_023_OlympiquedeMarseille_ParisFC,2026-09-06,Olympique de Marseille,Paris FC,2,3,away_win,,,,,,,,,,,,,,,,,,Stade Vélodrome,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW04_035_StadeRennaisFC_OlympiquedeMarseille,2026-09-11,Stade Rennais FC,Olympique de Marseille,1,0,home_win,,,,,,,,,,,,,,,,,,Roazhon Park,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW04_036_RCStrasbourgAlsace_ASMonaco,2026-09-12,RC Strasbourg Alsace,AS Monaco,1,1,draw,,,,,,,,,,,,,,,,,,Stade de la Meinau,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW04_028_AJAuxerre_OGCNice,2026-09-12,AJ Auxerre,OGC Nice,1,0,home_win,,,,,,,,,,,,,,,,,,Stade de l'Abbé-Deschamps,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW04_030_HavreAthleticClub_AngersSCO,2026-09-12,Havre Athletic Club,Angers SCO,0,0,draw,,,,,,,,,,,,,,,,,,Stade Océane,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW04_033_FCLorient_ToulouseFC,2026-09-12,FC Lorient,Toulouse FC,2,2,draw,,,,,,,,,,,,,,,,,,Stade du Moustoir,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW04_034_ParisFC_OlympiqueLyonnais,2026-09-12,Paris FC,Olympique Lyonnais,0,0,draw,,,,,,,,,,,,,,,,,,Stade Jean-Bouin,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW04_032_LOSCLille_EstacTroyes,2026-09-13,LOSC Lille,Estac Troyes,2,0,home_win,,,,,,,,,,,,,,,,,,Stade Pierre-Mauroy,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW04_031_LeMansFC_RCLens,2026-09-13,Le Mans FC,RC Lens,2,2,draw,,,,,,,,,,,,,,,,,,Stade Marie-Marvingt,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW04_029_StadeBrestois29_ParisSaint-Germain,2026-09-13,Stade Brestois 29,Paris Saint-Germain,0,1,away_win,,,,,,,,,,,,,,,,,,Stade Francis-Le Blé,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
