model,n_matches,log_loss,brier_score,ranked_probability_score,accuracy,favorite_accuracy,draw_calibration_bias,expected_calibration_error
Dixon-Coles (main model),2660,0.9865,0.5864,0.2035,0.5289,0.6372,-0.0089,
Elo-only baseline,2660,0.9931,0.5912,0.2055,0.5305,0.6075,-0.0213,
Previous-season-table baseline,2660,1.21,0.6777,0.2342,0.4647,0.5667,-0.1059,
Simple Poisson baseline,2660,1.0178,0.6082,0.2146,0.4962,0.6566,-0.0007,
