date,home_team,away_team,actual_home_goals,actual_away_goals,actual_result,dc_home_win,dc_draw,dc_away_win,dc_lambda,dc_mu,dc_rho,elo_home_win,elo_draw,elo_away_win,simplepoisson_home_win,simplepoisson_draw,simplepoisson_away_win,dc_log_loss,dc_brier,dc_rps,elo_log_loss,elo_brier,elo_rps,simplepoisson_log_loss,simplepoisson_brier,simplepoisson_rps
2024-09-08,Luxembourg,Belarus,0,1,away_win,1.242009304576322e-07,0.9999818972838482,1.7978515221399794e-05,0.2112259551908246,2.7055624709611803,-670363.9395623282,0.4436847770109116,0.22803985794781267,0.32827536504127575,0.04644953710884946,0.9071009257823013,0.04644953710884946,10.926333111785633,1.9999278381882042,0.49998202164639977,1.1139024952392835,0.7000723433745123,0.32403508328082686,3.069388779135788,1.734248134332662,0.45570802238877695
2024-09-08,Denmark,Serbia,2,0,home_win,1.332766403608577e-06,0.9999980562689842,6.109646121455768e-07,0.9352813234119992,0.6110904843517153,-670363.9395623282,0.4760705877225262,0.2220830055414563,0.3018464067360175,0.04644953710884946,0.9071009257823013,0.04644953710884946,13.528253773228062,1.999993447011089,0.49999866723467107,0.7421891422103974,0.4149341436591909,0.1828066411544322,3.069388779135788,1.734248134332662,0.45570802238877717
2024-09-08,Bulgaria,Northern Ireland,1,0,home_win,1.2411535509166092e-07,0.9999818876813387,1.7988203306465695e-05,0.2110992959966927,2.7056289988018225,-670363.9395623282,0.4436847770109116,0.22803985794781267,0.32827536504127575,0.04644953710884946,0.9071009257823013,0.04644953710884946,15.90205442078916,1.999963527783614,0.4999998760464406,0.8126409303791949,0.46925351943524063,0.20862567131119103,3.069388779135788,1.734248134332662,0.45570802238877717
2024-09-08,Gibraltar,Liechtenstein,2,2,draw,0.0003122991639402369,0.9996876999005951,9.354647020024393e-10,0.6633396805936694,0.0010002106108643457,-670363.9395623282,0.46683339754679976,0.22377374722801474,0.30939285522518545,0.6256682261162294,0.3565128311004525,0.017818942783318126,0.00031234887523630064,1.9506211988693202e-07,4.876538389929749e-08,1.4971197945962305,0.9161845554219188,0.15682867996474048,1.031385047908851,0.8058539804316991,0.19588912194667216
2024-09-08,Slovakia,Azerbaijan,2,0,home_win,0.00020086807130444034,0.9997991302529103,1.6757851866892761e-09,0.8096741888935396,0.002009108173793923,-670363.9395623282,0.49423854879609275,0.21877651036308726,0.28698494084082005,0.8874700772495607,0.10732299405810945,0.005206928692329987,8.512862227074272,1.999196605059849,0.49979915210268655,0.7047369860493974,0.38601816327994126,0.1690775008966456,0.11938047397609855,0.024208320674223835,0.006345047810313438
2024-09-08,Croatia,Poland,1,0,home_win,9.401219362752702e-07,0.9999859464582713,1.3113419792313205e-05,0.9383938239992117,3.3271592728451203,-670363.9395623282,0.43156829616395215,0.2302897169182097,0.3381419869178382,0.06949327593616103,0.08206959193729228,0.8484371321265469,13.877256250653424,1.9999700130430178,0.4999990599644864,0.8403295048208907,0.490487958960965,0.21872730262134799,2.6665252802118737,1.5924237486198907,0.7928441653495687
2024-09-08,Sweden,Estonia,3,0,home_win,0.00020130223214574508,0.9997986960947859,1.6730683806326554e-09,0.8102536773201789,0.0020066460339397576,-670363.9395623282,0.49423854879609275,0.21877651036308726,0.28698494084082005,0.8874700772495607,0.10732299405810945,0.005206928692329987,8.510703136727523,1.9991948687711312,0.49979871802914855,0.7047369860493974,0.38601816327994126,0.1690775008966456,0.11938047397609855,0.024208320674223835,0.006345047810313438
2024-09-08,Portugal,Scotland,2,1,home_win,2.253352670412298e-06,0.9999943185320557,3.4281152737851657e-06,1.5896736019583673,1.9636988369256365,-670363.9395623282,0.4814072208318212,0.22110917606642605,0.2974836031017527,0.8484371321265469,0.08206959193729228,0.06949327593616102,13.003091375070413,1.9999841304078791,0.4999977466557442,0.7310417540950127,0.4063242324605504,0.1787174823598883,0.16435929000921307,0.034536036239118884,0.013900309159182639
2024-09-08,Switzerland,Spain,1,4,away_win,1.9388898377762915e-07,0.9999927621606233,7.043950392657006e-06,0.29237562979689646,1.9534400226441335,-670363.9395623282,0.43700773450997354,0.22927823653593288,0.3337140289540935,0.04644953710884946,0.9071009257823013,0.04644953710884946,11.863341409851278,1.9999714365225023,0.4999929560744348,1.0974708534908895,0.6874812649831532,0.3174563776170631,3.069388779135788,1.734248134332662,0.45570802238877695
2024-09-09,Norway,Austria,2,1,home_win,5.841186116107891e-07,0.9999971304795241,2.2854018641128635e-06,0.6604038059717052,1.3781816060304768,-670363.9395623282,0.45662104355523064,0.22565063949760797,0.31772831694716136,0.04644953710884946,0.9071009257823013,0.04644953710884946,14.353161772667349,1.9999930927356235,0.4999994158841703,0.783901458442458,0.44713018480276173,0.19810598684854114,3.069388779135788,1.734248134332662,0.45570802238877717
2024-09-09,Slovenia,Kazakhstan,3,0,home_win,5.834435847699949e-07,0.9999971267696618,2.2897867535191992e-06,0.6599734215463574,1.3795267586263418,-670363.9395623282,0.45662104355523064,0.22565063949760797,0.31772831694716136,0.04644953710884946,0.9071009257823013,0.04644953710884946,14.354318074092827,1.999993086665993,0.4999994165592071,0.783901458442458,0.44713018480276173,0.19810598684854114,3.069388779135788,1.734248134332662,0.45570802238877717
2024-09-09,Montenegro,Wales,1,2,away_win,1.2312139564180307e-07,0.9999817428588974,1.813401970682073e-05,0.2096535156641742,2.7085760791765328,-670363.9395623282,0.4436847770109116,0.22803985794781267,0.32827536504127575,0.04644953710884946,0.9071009257823013,0.04644953710884946,10.917720842007752,1.999927218340562,0.49998186614472206,1.1139024952392835,0.7000723433745123,0.32403508328082686,3.069388779135788,1.734248134332662,0.45570802238877695
2024-09-09,Romania,Lithuania,3,1,home_win,0.0005145470126731769,0.9994854523350913,6.522355410061376e-10,0.809586729959541,0.0007824333591490928,-670363.9395623282,0.5001802293303945,0.21770051244336364,0.2821192582262418,0.8874700772495607,0.10732299405810945,0.005206928692329987,7.572223631406583,1.997942340162764,0.49948558536664095,0.692786786848772,0.37680459213244505,0.16470553950717093,0.11938047397609855,0.024208320674223835,0.006345047810313438
2024-09-09,Türkiye,Iceland,3,1,home_win,1.231587702810945e-07,0.9999817840232071,1.809281802265822e-05,0.20967821471750644,2.706064531474738,-670363.9395623282,0.4436847770109116,0.22803985794781267,0.32827536504127575,0.04644953710884946,0.9071009257823013,0.04644953710884946,15.909791498666376,1.9999633223880608,0.49999987700491244,0.8126409303791949,0.46925351943524063,0.20862567131119103,3.069388779135788,1.734248134332662,0.45570802238877717
2024-09-09,France,Belgium,2,0,home_win,5.566916731144959e-07,0.999971688539346,2.7754768980919925e-05,0.6641221624529187,4.100119763299306,-670363.9395623282,0.41686085994593236,0.23303660860519998,0.3501025314488676,0.0045788100838934295,0.012120828732043513,0.9833003611840629,14.401254299450105,1.9999422652675218,0.49999944369364546,0.8750027820576942,0.5169291001401161,0.23131151959495136,5.3863161216219,1.9578898601278578,0.978871472819353
2024-09-09,Israel,Italy,1,2,away_win,5.557698043931643e-07,0.999971772739005,2.7671491190604737e-05,0.6635295747111895,4.095978023016692,-670363.9395623282,0.41686085994593236,0.23303660860519998,0.3501025314488676,0.0045788100838934295,0.012120828732043513,0.9833003611840629,10.495107873654973,1.9998882040584272,0.4999723288918195,1.0495292204025064,0.6504457571342455,0.2980698480920162,0.01684064987781578,0.0004467579275186474,0.00014992171918355818
2024-09-09,Cyprus,Kosovo,0,4,away_win,0.0005144175611074006,0.9994855817864757,6.524168856033003e-10,0.8096140139725426,0.0007826653442008997,-670363.9395623282,0.5001802293303945,0.21770051244336364,0.2821192582262418,0.8874700772495607,0.10732299405810945,0.005206928692329987,21.15033736323076,1.9989716915196432,0.5000001316602967,1.2654253959301687,0.8129265343407506,0.3827665106113237,5.257765099473601,1.7887346177886854,0.8886081963675441
2024-09-10,Hungary,Bosnia and Herzegovina,0,0,draw,5.535684983205774e-07,0.9999657274007895,3.371903071219119e-05,0.6561230438774748,4.335895780613489,-670363.9395623282,0.4506255719168715,0.22675631394479684,0.3226181141383317,4.3618222996223295e-05,0.0010053752544912323,0.9989510065225126,3.427318652946406e-05,2.311890526896715e-09,5.686397351260423e-10,1.4838793449730374,0.9050516516598188,0.15357292681779056,6.9023944196094185,1.9958933756053103,0.49895155766744514
2024-09-10,Andorra,Malta,0,1,away_win,1.6420426915672083e-06,0.9999979520865918,4.05870716560189e-07,0.9382039012915595,0.43827028368055226,-670363.9395623282,0.47278158681496296,0.22268426292849455,0.3045341502565425,0.859997925892245,0.13349114784751911,0.006510926260235914,14.717231160172712,1.9999950924388055,0.49999959413071393,1.188972046210913,0.7567834579466706,0.35359758849533185,5.034273550204552,1.744436858732906,0.863308486089629
2024-09-10,North Macedonia,Armenia,2,0,home_win,3.372314051086587e-07,0.9999729644157767,2.6698352818312314e-05,0.4780847414096183,3.858173011363605,-670363.9395623282,0.4394141905033235,0.22883150569582225,0.3317543038008543,0.06229150999863338,0.1123499562167044,0.8253585337846622,14.902496480195067,1.9999452558125816,0.49999966312505284,0.8223128243703027,0.4766812258984507,0.21215868394971685,2.775930138580565,1.5731364341737057,0.7802569607559051
2024-09-10,Netherlands,Germany,2,2,draw,5.541354444741377e-07,0.9999659391387962,3.35067257594318e-05,0.6567227890582207,4.328456294095085,-670363.9395623282,0.4506255719168715,0.22675631394479684,0.3226181141383317,4.3618222996223295e-05,0.0010053752544912323,0.9989510065225126,3.4061441288138014e-05,2.283150003155362e-09,5.615038686042663e-10,1.4838793449730374,0.9050516516598188,0.15357292681779056,6.9023944196094185,1.9958933756053103,0.49895155766744514
2024-09-10,England,Finland,2,0,home_win,5.783238320553011e-06,0.9999940553553033,1.6140637606059348e-07,1.5976901863575634,0.23638653831391976,-670363.9395623282,0.49984628498370376,0.21776091805744643,0.2823927969588498,0.9868348330409356,0.01258469457578529,0.0005804723832790955,12.060546769097291,1.9999765443027762,0.49999421677841527,0.6934546578588379,0.37731924785206655,0.1649497152094223,0.013252595962358522,0.0003320331068135916,8.682928462389515e-05
2024-09-10,Czechia,Ukraine,3,2,home_win,5.432474937179114e-07,0.999976670237568,2.2786514938353674e-05,0.6593696843823583,3.854710191473328,-670363.9395623282,0.450852389854756,0.22671443322358295,0.322433176921661,0.165496273196675,0.15325763516171265,0.6812460916416123,14.425700831317226,1.9999522550439466,0.4999994570122665,0.7966152882745002,0.4569256855399184,0.202763125654014,1.798806602867657,1.1839806101609711,0.5802463537128053
2024-09-10,Albania,Georgia,0,1,away_win,5.442746586025151e-07,0.9999765573455681,2.2898379773293525e-05,0.6600289885643986,3.8611712835936465,-670363.9395623282,0.450852389854756,0.22671443322358295,0.322433176921661,0.165496273196675,0.15325763516171265,0.6812460916416123,10.684444402165063,1.9999073190057797,0.4999771018825427,1.1318593675595752,0.7137641114061084,0.331182338587109,0.38383167006097524,0.15248097327109653,0.06449653526786796
2024-09-10,Republic of Ireland,Greece,0,2,away_win,5.986152438250902e-08,0.999947811221593,5.212891688242121e-05,0.1132899908447057,3.3389775932355827,-670363.9395623282,0.4125786934023272,0.23383971214533333,0.3535815944523395,0.0005804723832790955,0.01258469457578529,0.9868348330409356,9.861790736641215,1.9997913700505174,0.4999478724418313,1.0396410014615753,0.6427589442565635,0.2940389666401756,0.013252595962358522,0.0003320331068135916,8.682928462389599e-05
2024-09-10,Latvia,Faroe Islands,1,0,home_win,3.3722758024622546e-07,0.9999729755420993,2.6687230320325986e-05,0.4780847414096183,3.857660653979567,-670363.9395623282,0.4394141905033235,0.22883150569582225,0.3317543038008543,0.06229150999863338,0.1123499562167044,0.8253585337846622,14.902507822211458,1.9999452780716815,0.4999996631285806,0.8223128243703027,0.4766812258984507,0.21215868394971685,2.775930138580565,1.5731364341737057,0.7802569607559051
2024-10-10,Italy,Belgium,2,2,draw,0.8739493284165182,0.06722835533531098,0.058822316248170706,3.2643492900293176,0.6812622429241606,0.3054389491228836,0.49534729910266784,0.2185755241760751,0.2860771767212571,0.7299268715390521,0.14667935761997455,0.12339377084097321,2.699660166056246,1.6373104346189518,0.38362374676424155,1.5206236757660503,0.9378333091858091,0.1636045488845566,1.9195063152542784,1.2761753791890018,0.27400963023857133
2024-10-10,England,Greece,1,2,away_win,0.340014746040144,0.3748669292816554,0.28511832467820053,0.6007846613890682,0.5163381027197774,0.3054389491228836,0.45187090043866684,0.2265264205626983,0.3216026789986348,0.04644953710884946,0.9071009257823013,0.04644953710884946,1.2548510105650175,0.7671910519047039,0.3133329186178232,1.1344384114923862,0.7157244550180294,0.3322051179025405,3.069388779135788,1.734248134332662,0.45570802238877695
2024-10-10,Gibraltar,San Marino,1,0,home_win,0.21707821378559944,0.1805082273006908,0.6024135589137096,0.772538052016763,1.5844425526847998,0.3054389491228836,0.44259258973449844,0.2282421808959104,0.32916522936959114,0.01073130661948137,0.2173933746143583,0.7718753187661603,1.5274975581900536,1.008451839415467,0.4879343096461144,0.815105594084428,0.4711472623849502,0.20952638462241435,4.534589957201353,1.621703934749379,0.78722202771158
2024-10-10,Norway,Slovenia,3,0,home_win,0.34353792727157856,0.2924106645662179,0.36405140816220355,0.7277049418143701,0.7626005901254921,0.3054389491228836,0.4530223922476901,0.2263139583066681,0.3206636494456418,0.16989761918826193,0.41352194856912966,0.4165804322426084,1.0684577592327509,0.6489798774678357,0.2817379403578893,0.7918137237104218,0.4532276871826695,0.2010048397291186,1.7725592634203156,1.033609621105164,0.4313046095783771
