matchweek,horizon_bucket,outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency,generated_at
4,8-30,home_win,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,8-30,home_win,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.1,0.2,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.2,0.3,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.3,0.4,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.4,0.5,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,8-30,away_win,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,8-30,away_win,0.1,0.2,0,,,2026-09-21T07:39:40+00:00
4,8-30,away_win,0.2,0.3,0,,,2026-09-21T07:39:40+00:00
4,8-30,away_win,0.3,0.4,0,,,2026-09-21T07:39:40+00:00
4,8-30,away_win,0.4,0.5,0,,,2026-09-21T07:39:40+00:00
4,8-30,away_win,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,8-30,away_win,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,8-30,away_win,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,8-30,away_win,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,8-30,away_win,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,31+,home_win,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,31+,home_win,0.1,0.2,0,,,2026-09-21T07:39:40+00:00
4,31+,home_win,0.2,0.3,0,,,2026-09-21T07:39:40+00:00
4,31+,home_win,0.3,0.4,13,0.3786,0.5385,2026-09-21T07:39:40+00:00
4,31+,home_win,0.4,0.5,7,0.4297,0.1429,2026-09-21T07:39:40+00:00
4,31+,home_win,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,31+,home_win,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,31+,home_win,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,31+,home_win,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,31+,home_win,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,31+,draw,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,31+,draw,0.1,0.2,0,,,2026-09-21T07:39:40+00:00
4,31+,draw,0.2,0.3,20,0.2648,0.2,2026-09-21T07:39:40+00:00
4,31+,draw,0.3,0.4,0,,,2026-09-21T07:39:40+00:00
4,31+,draw,0.4,0.5,0,,,2026-09-21T07:39:40+00:00
4,31+,draw,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,31+,draw,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,31+,draw,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,31+,draw,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,31+,draw,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,31+,away_win,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,31+,away_win,0.1,0.2,0,,,2026-09-21T07:39:40+00:00
4,31+,away_win,0.2,0.3,2,0.2791,0.0,2026-09-21T07:39:40+00:00
4,31+,away_win,0.3,0.4,18,0.3453,0.4444,2026-09-21T07:39:40+00:00
4,31+,away_win,0.4,0.5,0,,,2026-09-21T07:39:40+00:00
4,31+,away_win,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,31+,away_win,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,31+,away_win,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,31+,away_win,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,31+,away_win,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
