model,n_matches,log_loss,brier_score,ranked_probability_score,accuracy,favorite_accuracy,draw_calibration_bias,expected_calibration_error
Dixon-Coles (main model),2660,0.9941,0.5921,0.1996,0.5184,0.6509,-0.0114,
Elo-only baseline,2660,1.0092,0.6007,0.2018,0.5211,0.6306,-0.0507,
Previous-season-table baseline,2660,1.2533,0.6909,0.2295,0.4955,0.6024,-0.1368,
Simple Poisson baseline,2660,1.0204,0.608,0.207,0.4962,0.6944,-0.0273,
