market,season,date,home_team,away_team,model_prob,market_prob,blend_prob,outcome,model_log_loss,blend_log_loss
spread,2019-20,2019-08-24,Parma,Juventus,0.5674079497190738,0.5051546391752577,0.5364232017542863,1.0,0.5666767459211269,0.622831873934588
spread,2019-20,2019-08-24,Fiorentina,Napoli,0.5428126202814372,0.5142118863049095,0.5285356717438072,0.0,0.7826619508576796,0.7519118356430124
spread,2019-20,2019-08-25,Verona,Bologna,0.30232330413979114,0.5012919896640827,0.39758318057048475,1.0,1.1962582907210857,0.9223511074826062
spread,2019-20,2019-08-25,Torino,Sassuolo,0.5714583020070123,0.5077319587628866,0.5397576110179891,1.0,0.5595637607765872,0.6166351086806374
spread,2019-20,2019-08-25,Spal,Atalanta,0.5391978291676407,0.5154639175257731,0.5273463236817624,0.0,0.7747864586038281,0.749392344042532
spread,2019-20,2019-08-25,Sampdoria,Lazio,0.5422548225659702,0.4716494845360826,0.5069869912662343,0.0,0.781442630853785,0.7072197184036685
spread,2019-20,2019-08-25,Cagliari,Brescia,0.38402440488755124,0.46272493573264784,0.42288547801959475,0.0,0.48454793455739054,0.5497145538659878
spread,2019-20,2019-08-25,Udinese,Milan,0.45988550105369097,0.4561855670103092,0.45803495547557704,1.0,0.7767777312352651,0.7808097757812512
spread,2019-20,2019-08-25,Roma,Genoa,0.5348445008471011,0.5295629820051414,0.5322046434988529,0.0,0.7653835225158382,0.7597243511294062
spread,2019-20,2019-08-26,Internazionale,Lecce,0.4104744408931122,0.5,0.4548725857963824,1.0,0.8904416153822697,0.7877379304639911
spread,2019-20,2019-08-30,Bologna,Spal,0.4499664655319041,0.5295629820051414,0.4896994359258354,1.0,0.7985822200348154,0.713963472151524
spread,2019-20,2019-08-31,Milan,Brescia,0.15418488429543228,0.5257731958762887,0.3101363210453654,0.5,1.0185286659458601,0.7710023002485349
spread,2019-20,2019-08-31,Juventus,Napoli,0.48295327402992155,0.48711340206185555,0.4850330787860916,1.0,0.7278353711481689,0.7235381866877562
spread,2019-20,2019-09-01,Lecce,Verona,0.13256930040530313,0.5077319587628866,0.28419444365972746,0.0,0.1422196555455478,0.334346718260288
spread,2019-20,2019-09-01,Sassuolo,Sampdoria,0.4478535530673558,0.4910025706940874,0.4693708209194851,1.0,0.8032889904821418,0.7563621600038054
spread,2019-20,2019-09-01,Udinese,Parma,0.4616471483260864,0.47680412371134023,0.4692185375763681,0.0,0.6192410756713522,0.6334049009778853
spread,2019-20,2019-09-01,Genoa,Fiorentina,0.4716815522106179,0.5141388174807198,0.4928973789439156,1.0,0.7514511986137575,0.7074542829073506
spread,2019-20,2019-09-01,Atalanta,Torino,0.38921864040955895,0.4690721649484536,0.428681250658846,0.0,0.4930162241281624,0.5598079950590089
spread,2019-20,2019-09-01,Lazio,Roma,0.47761462035889135,0.5192802056555269,0.4984447129701879,0.0,0.6493496883160192,0.6900414343268608
spread,2019-20,2019-09-01,Cagliari,Internazionale,0.5064366261677592,0.4716494845360826,0.4890297733986331,0.0,0.7061040112667615,0.6714439554438726
spread,2019-20,2019-09-14,Napoli,Sampdoria,0.458743689567276,0.4845360824742268,0.47162094595069914,1.0,0.7792636354196276,0.7515796966514926
spread,2019-20,2019-09-14,Internazionale,Udinese,0.4011188774632774,0.4793814432989691,0.43987653357382184,0.0,0.5126921604343696,0.5795980437931185
spread,2019-20,2019-09-14,Fiorentina,Juventus,0.5036935915835377,0.4922680412371133,0.4979805527809218,1.0,0.6857871489965215,0.6971942533606995
spread,2019-20,2019-09-15,Genoa,Atalanta,0.4191314872086086,0.46649484536082475,0.4426828792821217,0.0,0.5432308596335187,0.5846208640497428
spread,2019-20,2019-09-15,Brescia,Bologna,0.6144176721851202,0.5321336760925449,0.5737862990544706,0.0,0.9530005476515916,0.8528144130827221
spread,2019-20,2019-09-15,Parma,Cagliari,0.5287619749440945,0.4922680412371133,0.5105290369504999,0.0,0.7523919515647332,0.7144301383839199
spread,2019-20,2019-09-15,Spal,Lazio,0.622308630824189,0.5335051546391752,0.578541818327334,1.0,0.47431911826934947,0.547244447446184
spread,2019-20,2019-09-15,Roma,Sassuolo,0.5823455839977199,0.518041237113402,0.5504039641765429,1.0,0.5406912205347446,0.5971027900333025
spread,2019-20,2019-09-15,Verona,Milan,0.32788462758849213,0.48195876288659806,0.4025185029002239,0.0,0.39732526805902146,0.5150319628529922
spread,2019-20,2019-09-16,Torino,Lecce,0.9259014382088956,0.524547803617571,0.7878177062624369,0.0,2.6023591558953845,1.5503094976712246
spread,2019-20,2019-09-20,Cagliari,Genoa,0.5240850251175064,0.47557840616966585,0.4998313187547748,1.0,0.6461013461494659,0.6934845999699227
spread,2019-20,2019-09-21,Udinese,Brescia,0.5517634950903659,0.5103092783505154,0.5310900204403081,0.0,0.8024342731193438,0.757344470196265
spread,2019-20,2019-09-21,Juventus,Verona,0.6490360986433499,0.520618556701031,0.5862933209117682,0.0,1.047071905942944,0.8825980608826315
spread,2019-20,2019-09-21,Milan,Internazionale,0.5784130579159475,0.502577319587629,0.5407309908280525,0.0,0.8637292545210388,0.7781191639700884
spread,2019-20,2019-09-22,Sassuolo,Spal,0.44866555160386934,0.4922680412371133,0.4704103439136119,1.0,0.8014775427297852,0.7541498930272177
spread,2019-20,2019-09-22,Bologna,Roma,0.4546967726868221,0.5424164524421594,0.4985454198512154,0.0,0.6064132586499237,0.6902422436801111
spread,2019-20,2019-09-22,Lecce,Napoli,0.2691074176887084,0.5219638242894057,0.38802491863202027,0.0,0.3134887762525958,0.49106371401774646
spread,2019-20,2019-09-22,Sampdoria,Torino,0.46718673677553774,0.5283505154639175,0.4977602470187965,1.0,0.7610262366220774,0.6976367495720918
spread,2019-20,2019-09-22,Atalanta,Fiorentina,0.5755211476566008,0.4793814432989691,0.5277081793926524,0.0,0.8568930922728626,0.750158220444409
spread,2019-20,2019-09-22,Lazio,Parma,0.4467323617871824,0.5103092783505154,0.47843348587060164,1.0,0.8057956068922704,0.7372380832463727
spread,2019-20,2019-09-24,Brescia,Juventus,0.45040842413779036,0.5128865979381443,0.4815754931592415,0.5,0.6980901823019787,0.6938265668213046
spread,2019-20,2019-09-24,Verona,Udinese,0.26784849562495705,0.44245524296675187,0.35014891206881943,0.0,0.3117678132468718,0.43101203782932634
spread,2019-20,2019-09-25,Parma,Sassuolo,0.4727581350440112,0.5077319587628866,0.49023309578076824,1.0,0.7491713636719818,0.7128742953145015
spread,2019-20,2019-09-25,Spal,Lecce,0.7740070786808506,0.48711340206185555,0.6433100229934887,0.0,1.4872516017970667,1.0308882862368889
spread,2019-20,2019-09-25,Internazionale,Lazio,0.5070235490421808,0.47680412371134023,0.4919064432947747,1.0,0.6791978286546679,0.7094667364766848
spread,2019-20,2019-09-25,Napoli,Cagliari,0.4403761893053457,0.5,0.47008135307383614,0.0,0.5804904876059249,0.6350317805834709
spread,2019-20,2019-09-25,Genoa,Bologna,0.4279021906251579,0.4690721649484536,0.4483987754878125,0.0,0.5584453068098248,0.5949299131376307
spread,2019-20,2019-09-25,Fiorentina,Sampdoria,0.4065831708905143,0.5128865979381443,0.45927159737530615,1.0,0.8999667684858061,0.7781135285015196
spread,2019-20,2019-09-25,Roma,Atalanta,0.5233161799902828,0.48711340206185555,0.5052216354617586,0.0,0.7409018590094039,0.7036453650902895
spread,2019-20,2019-09-26,Torino,Milan,0.44780007288012824,0.45897435897435895,0.4533813438635696,1.0,0.8034084120659812,0.7910216889463457
spread,2019-20,2019-09-28,Sampdoria,Internazionale,0.5400350729529849,0.4780361757105944,0.5090705015331893,0.0,0.7766050379558033,0.7114547491412793
spread,2019-20,2019-09-28,Sassuolo,Atalanta,0.42535792780291604,0.4564102564102564,0.44082622425138446,0.0,0.5540079151433583,0.5812949851768251
spread,2019-20,2019-09-28,Juventus,Spal,0.47807972809473875,0.48711340206185555,0.48259514299248946,1.0,0.7379777652221723,0.7285771900928049
spread,2019-20,2019-09-29,Milan,Fiorentina,0.5498606333300694,0.48195876288659806,0.5159834675428344,0.0,0.7981980404551094,0.7256362148795251
spread,2019-20,2019-09-29,Udinese,Bologna,0.49380156198964786,0.4678663239074551,0.48082102347143674,1.0,0.7056215388730478,0.7322601706949708
spread,2019-20,2019-09-29,Cagliari,Verona,0.6939984346715466,0.5372750642673522,0.6187222717270892,0.0,1.1841650615903783,0.9642272238090468
spread,2019-20,2019-09-29,Lazio,Genoa,0.438921104837732,0.48711340206185555,0.4629306853452073,1.0,0.8234355976893448,0.7701779437809539
spread,2019-20,2019-09-29,Napoli,Brescia,0.5509240224135886,0.49095607235142114,0.5210157565709591,0.0,0.8005631904406434,0.7360875768324301
spread,2019-20,2019-09-29,Lecce,Roma,0.29355324583726095,0.5103092783505154,0.39688222519460636,0.0,0.3475074453555245,0.5056427865579174
spread,2019-20,2019-09-30,Parma,Torino,0.44756150784731763,0.520618556701031,0.48400457236656685,1.0,0.8039413030087941,0.7256609252717671
spread,2019-20,2019-10-05,Genoa,Milan,0.4659740659885003,0.5461538461538462,0.5061031981030437,0.0,0.6273108756366049,0.7054286866600932
spread,2019-20,2019-10-05,Spal,Parma,0.49403497933520935,0.46272493573264784,0.47835870238242795,1.0,0.7051489559301398,0.7373944045233316
spread,2019-20,2019-10-05,Verona,Sampdoria,0.2209322130659171,0.4512820512820513,0.32566295712181875,1.0,1.5098993527236226,1.1218923062911133
spread,2019-20,2019-10-06,Fiorentina,Udinese,0.4044864986502854,0.4896907216494846,0.44669722957000063,0.5,0.7117340695329699,0.6988620873117279
spread,2019-20,2019-10-06,Atalanta,Lecce,0.6625313138292452,0.49484536082474223,0.5810263079237924,1.0,0.4116874560814181,0.5429592427357448
spread,2019-20,2019-10-06,Bologna,Lazio,0.4652809513818059,0.4716494845360826,0.4684639338041254,1.0,0.7651138593279974,0.7582961625420268
