model,n_matches,log_loss,brier_score,ranked_probability_score
Elo-only baseline,141,1.0383837426667004,0.6226247181272959,0.21611544791939152
Simple Poisson baseline,141,1.4961127819210778,0.7619286452052875,0.2565606421666598
Dixon-Coles (main model),141,2.9657884026573496,0.8402643931948875,0.2506337174156733
