matchweek,horizon_bucket,outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency,generated_at
5,8-30,home_win,0.8,0.9,0,,,2026-09-21T07:39:04+00:00
5,8-30,home_win,0.9,1.0,0,,,2026-09-21T07:39:04+00:00
5,8-30,draw,0.0,0.1,0,,,2026-09-21T07:39:04+00:00
5,8-30,draw,0.1,0.2,0,,,2026-09-21T07:39:04+00:00
5,8-30,draw,0.2,0.3,0,,,2026-09-21T07:39:04+00:00
5,8-30,draw,0.3,0.4,0,,,2026-09-21T07:39:04+00:00
5,8-30,draw,0.4,0.5,0,,,2026-09-21T07:39:04+00:00
5,8-30,draw,0.5,0.6,0,,,2026-09-21T07:39:04+00:00
5,8-30,draw,0.6,0.7,0,,,2026-09-21T07:39:04+00:00
5,8-30,draw,0.7,0.8,0,,,2026-09-21T07:39:04+00:00
5,8-30,draw,0.8,0.9,0,,,2026-09-21T07:39:04+00:00
5,8-30,draw,0.9,1.0,0,,,2026-09-21T07:39:04+00:00
5,8-30,away_win,0.0,0.1,0,,,2026-09-21T07:39:04+00:00
5,8-30,away_win,0.1,0.2,0,,,2026-09-21T07:39:04+00:00
5,8-30,away_win,0.2,0.3,0,,,2026-09-21T07:39:04+00:00
5,8-30,away_win,0.3,0.4,0,,,2026-09-21T07:39:04+00:00
5,8-30,away_win,0.4,0.5,0,,,2026-09-21T07:39:04+00:00
5,8-30,away_win,0.5,0.6,0,,,2026-09-21T07:39:04+00:00
5,8-30,away_win,0.6,0.7,0,,,2026-09-21T07:39:04+00:00
5,8-30,away_win,0.7,0.8,0,,,2026-09-21T07:39:04+00:00
5,8-30,away_win,0.8,0.9,0,,,2026-09-21T07:39:04+00:00
5,8-30,away_win,0.9,1.0,0,,,2026-09-21T07:39:04+00:00
5,31+,home_win,0.0,0.1,0,,,2026-09-21T07:39:04+00:00
5,31+,home_win,0.1,0.2,0,,,2026-09-21T07:39:04+00:00
5,31+,home_win,0.2,0.3,1,0.2003,0.0,2026-09-21T07:39:04+00:00
5,31+,home_win,0.3,0.4,1,0.341,0.0,2026-09-21T07:39:04+00:00
5,31+,home_win,0.4,0.5,2,0.4463,0.0,2026-09-21T07:39:04+00:00
5,31+,home_win,0.5,0.6,0,,,2026-09-21T07:39:04+00:00
5,31+,home_win,0.6,0.7,0,,,2026-09-21T07:39:04+00:00
5,31+,home_win,0.7,0.8,0,,,2026-09-21T07:39:04+00:00
5,31+,home_win,0.8,0.9,0,,,2026-09-21T07:39:04+00:00
5,31+,home_win,0.9,1.0,0,,,2026-09-21T07:39:04+00:00
5,31+,draw,0.0,0.1,0,,,2026-09-21T07:39:04+00:00
5,31+,draw,0.1,0.2,0,,,2026-09-21T07:39:04+00:00
5,31+,draw,0.2,0.3,4,0.278,0.5,2026-09-21T07:39:04+00:00
5,31+,draw,0.3,0.4,0,,,2026-09-21T07:39:04+00:00
5,31+,draw,0.4,0.5,0,,,2026-09-21T07:39:04+00:00
5,31+,draw,0.5,0.6,0,,,2026-09-21T07:39:04+00:00
5,31+,draw,0.6,0.7,0,,,2026-09-21T07:39:04+00:00
5,31+,draw,0.7,0.8,0,,,2026-09-21T07:39:04+00:00
5,31+,draw,0.8,0.9,0,,,2026-09-21T07:39:04+00:00
5,31+,draw,0.9,1.0,0,,,2026-09-21T07:39:04+00:00
5,31+,away_win,0.0,0.1,0,,,2026-09-21T07:39:04+00:00
5,31+,away_win,0.1,0.2,0,,,2026-09-21T07:39:04+00:00
5,31+,away_win,0.2,0.3,2,0.2638,0.5,2026-09-21T07:39:04+00:00
5,31+,away_win,0.3,0.4,1,0.381,0.0,2026-09-21T07:39:04+00:00
5,31+,away_win,0.4,0.5,0,,,2026-09-21T07:39:04+00:00
5,31+,away_win,0.5,0.6,1,0.5454,1.0,2026-09-21T07:39:04+00:00
5,31+,away_win,0.6,0.7,0,,,2026-09-21T07:39:04+00:00
5,31+,away_win,0.7,0.8,0,,,2026-09-21T07:39:04+00:00
5,31+,away_win,0.8,0.9,0,,,2026-09-21T07:39:04+00:00
5,31+,away_win,0.9,1.0,0,,,2026-09-21T07:39:04+00:00
