season,date,home_team,away_team,actual_home_goals,actual_away_goals,actual_result,dc_home_win,dc_draw,dc_away_win,dc_predicted_score,dc_top10_scorelines_json,dc_lambda,dc_mu,dc_rho,elo_home_win,elo_draw,elo_away_win,prevseason_home_win,prevseason_draw,prevseason_away_win,simplepoisson_home_win,simplepoisson_draw,simplepoisson_away_win,simplepoisson_predicted_score,dc_log_loss,dc_brier,dc_rps,elo_log_loss,elo_brier,elo_rps,prevseason_log_loss,prevseason_brier,prevseason_rps,simplepoisson_log_loss,simplepoisson_brier,simplepoisson_rps,market_home_win,market_draw,market_away_win,blend_home_win,blend_draw,blend_away_win,dc_log_loss_recomputed,blend_log_loss,dc_brier_recomputed,blend_brier,dc_rps_recomputed,blend_rps
2019-20,2019-08-24,Parma,Juventus,0,1,away_win,0.110862115063246,0.2126040625354928,0.6765338224012611,0-2,"[{""score"": ""0-2"", ""probability"": 0.134194}, {""score"": ""0-1"", ""probability"": 0.124615}, {""score"": ""1-1"", ""probability"": 0.10072}, {""score"": ""1-2"", ""probability"": 0.094164}, {""score"": ""0-3"", ""probability"": 0.090663}, {""score"": ""0-0"", ""probability"": 0.073135}, {""score"": ""1-3"", ""probability"": 0.063618}, {""score"": ""0-4"", ""probability"": 0.04594}, {""score"": ""1-0"", ""probability"": 0.038041}, {""score"": ""2-2"", ""probability"": 0.033037}]",0.7016967903545966,2.0268334987172967,-0.0839742257807763,0.248894071191894,0.2104368137797042,0.5406691150284018,0.3333723127146883,0.05,0.6166276872853116,0.046014091657416,0.1209748925425809,0.8330110158000031,0-2,0.3907728364625075,0.162121264013231,0.0584603883033176,0.6149478045725614,0.3172167731570211,0.1364665602816336,0.4834898613833031,0.2606114290409488,0.1290557145204744,0.1827084126530303,0.0446375421008928,0.0150013087376019,0.0911094932667396,0.18488300680443653,0.7240074999288238,0.10058145677741763,0.1984299586871113,0.7009885845354711,0.39077283646250754,0.3552636766229788,0.16212126401323101,0.13889890453013734,0.058460388303317644,0.04976222801278432
2019-20,2019-08-24,Fiorentina,Napoli,3,4,away_win,0.2201109851324182,0.2644487121681665,0.5154403026994153,1-1,"[{""score"": ""1-1"", ""probability"": 0.126258}, {""score"": ""0-1"", ""probability"": 0.106163}, {""score"": ""1-2"", ""probability"": 0.096224}, {""score"": ""0-2"", ""probability"": 0.095784}, {""score"": ""0-0"", ""probability"": 0.079954}, {""score"": ""1-0"", ""probability"": 0.060715}, {""score"": ""2-1"", ""probability"": 0.058506}, {""score"": ""1-3"", ""probability"": 0.052995}, {""score"": ""0-3"", ""probability"": 0.052753}, {""score"": ""2-2"", ""probability"": 0.048333}]",1.0045992558921617,1.6522480951941452,-0.0839742257807763,0.3007913547517193,0.2218472626940778,0.4773613825542027,0.3435936753655957,0.05,0.6064063246344042,0.2179547382749415,0.2230917710620108,0.5589534906630476,1-1,0.6627337868878077,0.3531800673913997,0.1416234730119989,0.7394814595218705,0.4128427715038843,0.1818132817695146,0.5002050149022896,0.2754725950390364,0.1364862975195181,0.5816890102489888,0.2917962296503934,0.1210131456674044,0.20095137058964438,0.2589918209506861,0.5400568084596694,0.21040325072118274,0.26175094221861855,0.5278458070601987,0.6627337868878077,0.6389510700085049,0.3531800673913996,0.3357126655770106,0.1416234730119989,0.13359955491233802
2019-20,2019-08-25,Verona,Bologna,1,1,draw,0.1351857073927881,0.2228501289960039,0.6419641636112079,0-2,"[{""score"": ""0-2"", ""probability"": 0.12095}, {""score"": ""0-1"", ""probability"": 0.113521}, {""score"": ""1-1"", ""probability"": 0.10634}, {""score"": ""1-2"", ""probability"": 0.09745}, {""score"": ""0-3"", ""probability"": 0.080098}, {""score"": ""0-0"", ""probability"": 0.069525}, {""score"": ""1-3"", ""probability"": 0.064535}, {""score"": ""1-0"", ""probability"": 0.041141}, {""score"": ""0-4"", ""probability"": 0.039783}, {""score"": ""2-1"", ""probability"": 0.039521}]",0.8057046953882933,1.9867161851925883,-0.0839742257807763,0.3238357189033808,0.2270321757221218,0.4491321053744972,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2706538705652208,0.2689633944930054,0.4603827349417739,1-1,1.5012558007429642,1.0343550848458538,0.2151965814221631,1.4826635282761031,0.9040684782846746,0.153294610457899,1.0986122886681098,0.6666666666666667,0.1111111111111111,1.3131799885916675,0.8196202988755921,0.1426028901422014,0.2809438742746389,0.2994967716323981,0.41955935409296297,0.2001897515917144,0.2619919647777716,0.537818283630514,1.5012558007429644,1.3394414444784684,1.034355084845854,0.8739803029021984,0.21519658142216314,0.16466222142481216
2019-20,2019-08-25,Torino,Sassuolo,2,1,home_win,0.5714583020070124,0.2449190342249483,0.1836226637680391,1-1,"[{""score"": ""1-1"", ""probability"": 0.116871}, {""score"": ""1-0"", ""probability"": 0.104321}, {""score"": ""2-0"", ""probability"": 0.103803}, {""score"": ""2-1"", ""probability"": 0.098714}, {""score"": ""0-0"", ""probability"": 0.070968}, {""score"": ""3-0"", ""probability"": 0.063359}, {""score"": ""3-1"", ""probability"": 0.060253}, {""score"": ""1-2"", ""probability"": 0.051266}, {""score"": ""0-1"", ""probability"": 0.049825}, {""score"": ""2-2"", ""probability"": 0.046938}]",1.8311482640866976,0.9509797729260628,-0.0839742257807763,0.5696664335614058,0.2053060046912594,0.2250275617473347,0.5259797071790284,0.05,0.4240202928209716,0.4583117047785203,0.2492385662302261,0.2924497289912535,1-1,0.5595637607765871,0.2773506028936647,0.1086826347839916,0.5627042937306335,0.277974937511998,0.1179121909748552,0.6424926464961861,0.4069884467300621,0.202244223365031,0.7802057482371755,0.4410729160635093,0.1894765265835052,0.5040976142779093,0.2753596794755054,0.22054270624658528,0.5383536502598263,0.2600446228312216,0.20160172690895217,0.5595637607765871,0.6192395922849117,0.2773506028936647,0.3213838143845308,0.10868263478399157,0.12688030426054928
2019-20,2019-08-25,Spal,Atalanta,2,3,away_win,0.2314210782580842,0.2517184074963282,0.5168605142455874,1-1,"[{""score"": ""1-1"", ""probability"": 0.118899}, {""score"": ""1-2"", ""probability"": 0.097537}, {""score"": ""0-1"", ""probability"": 0.088063}, {""score"": ""0-2"", ""probability"": 0.086498}, {""score"": ""0-0"", ""probability"": 0.063907}, {""score"": ""2-1"", ""probability"": 0.061843}, {""score"": ""1-3"", ""probability"": 0.057822}, {""score"": ""2-2"", ""probability"": 0.054993}, {""score"": ""1-0"", ""probability"": 0.052465}, {""score"": ""0-3"", ""probability"": 0.051278}]",1.1276213347671504,1.77844776236455,-0.0839742257807763,0.310076709964851,0.2239273579652266,0.4659959320699223,0.3638489333322247,0.0500000000000001,0.5861510666677752,0.2280432321199286,0.2494352111620476,0.5225215567180239,0-1,0.6599822392402687,0.3503416348296601,0.1434897390785863,0.7635783743582792,0.4314513722737841,0.1906539553142487,0.5341777296795952,0.3061569859072179,0.1518284929536089,0.6490890391176117,0.3422073040821382,0.1399946897573414,0.19481861471994208,0.2638955750638551,0.5412858102162027,0.21267366519079275,0.2579158892110653,0.529410445598142,0.6599822392402687,0.6359912583710549,0.3503416348296601,0.3332052224853592,0.1434897390785863,0.13334230828891236
2019-20,2019-08-25,Sampdoria,Lazio,0,3,away_win,0.3542132473863369,0.2507221002395108,0.3950646523741522,1-1,"[{""score"": ""1-1"", ""probability"": 0.112307}, {""score"": ""1-2"", ""probability"": 0.085808}, {""score"": ""2-1"", ""probability"": 0.080839}, {""score"": ""2-2"", ""probability"": 0.066951}, {""score"": ""0-1"", ""probability"": 0.057694}, {""score"": ""0-2"", ""probability"": 0.054988}, {""score"": ""1-0"", ""probability"": 0.053849}, {""score"": ""2-0"", ""probability"": 0.048804}, {""score"": ""0-0"", ""probability"": 0.048783}, {""score"": ""1-3"", ""probability"": 0.047378}]",1.5604899004834547,1.6564069358178737,-0.0839742257807763,0.4177784662307495,0.2328647115995683,0.3493568221696821,0.4618995541296876,0.05,0.4881004458703123,0.2555248418539906,0.2258771908069381,0.5185979673390715,1-1,0.928705850578029,0.5542753709796909,0.2457068997155898,1.0516614659943524,0.6521013656116024,0.2989376958516261,0.7172340626079685,0.4778923516233773,0.2376961758116886,0.6566263254011212,0.3480613671814145,0.1485204309272902,0.26946854028904943,0.2839474469314461,0.4465840127795045,0.31091474068901637,0.2675774505502282,0.42150780876075533,0.928705850578029,0.8639169755890449,0.5542753709796909,0.5029188833454609,0.24570689971558982,0.2156605956512506
2019-20,2019-08-25,Cagliari,Brescia,0,1,away_win,0.4420343762342856,0.3025731912936859,0.2553924324720286,1-1,"[{""score"": ""1-1"", ""probability"": 0.14054}, {""score"": ""1-0"", ""probability"": 0.127518}, {""score"": ""0-0"", ""probability"": 0.116255}, {""score"": ""2-0"", ""probability"": 0.090902}, {""score"": ""0-1"", ""probability"": 0.087817}, {""score"": ""2-1"", ""probability"": 0.085153}, {""score"": ""1-2"", ""probability"": 0.060727}, {""score"": ""0-2"", ""probability"": 0.046231}, {""score"": ""2-2"", ""probability"": 0.039884}, {""score"": ""3-0"", ""probability"": 0.039801}]",1.3135500769702015,0.9367578519200754,-0.0839742257807763,0.37058929965859,0.2377928813501601,0.3916178189912499,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2527601130713892,0.2410277183691817,0.5062121685594292,1-1,1.3649539659243672,0.8413853554824018,0.3749174096963781,0.9374688663190068,0.5640107616112191,0.2537326535952039,1.0986122886681098,0.6666666666666667,0.2777777777777778,0.6807993921252198,0.3658084582608966,0.1538570486193215,0.5223174986143263,0.2640605131883539,0.21362198819731998,0.4826198438341212,0.28324873110147925,0.2341314250643996,1.3649539659243675,1.4518726757139226,0.8413853554824018,0.899706431406957,0.3749174096963782,0.40973829386817945
2019-20,2019-08-25,Udinese,Milan,1,0,home_win,0.2388815746938483,0.2946719018131237,0.4664465234930281,1-1,"[{""score"": ""1-1"", ""probability"": 0.137725}, {""score"": ""0-1"", ""probability"": 0.127274}, {""score"": ""0-0"", ""probability"": 0.110123}, {""score"": ""0-2"", ""probability"": 0.095664}, {""score"": ""1-2"", ""probability"": 0.088113}, {""score"": ""1-0"", ""probability"": 0.080935}, {""score"": ""2-1"", ""probability"": 0.058514}, {""score"": ""0-3"", ""probability"": 0.044229}, {""score"": ""2-0"", ""probability"": 0.042187}, {""score"": ""1-3"", ""probability"": 0.040738}]",0.9210722591053692,1.3870047484430323,-0.0839742257807763,0.3512224725082388,0.2332949316801356,0.4154825958116255,0.3907287852862461,0.05,0.5592712147137539,0.2195267358984115,0.2504648603413189,0.5300084037602695,0-1,1.43178735322601,0.8837051463374113,0.3984368083096241,1.0463354314885829,0.6479645927483286,0.2967690338003448,0.939741603448107,0.6864957046861709,0.3419978523430854,1.5162812502469614,0.9527800702996932,0.4450237120169482,0.2504573069944095,0.2875340684527964,0.46200862455279423,0.24463779947363834,0.2911075270864459,0.4642546734399158,1.4317873532260101,1.4079765317991715,0.8837051463374113,0.870848048121216,0.39843680830962414,0.39305222789741506
2019-20,2019-08-25,Roma,Genoa,3,3,draw,0.6590411475421907,0.2230930479895659,0.1178658044682433,2-0,"[{""score"": ""2-0"", ""probability"": 0.134509}, {""score"": ""1-0"", ""probability"": 0.130691}, {""score"": ""1-1"", ""probability"": 0.105115}, {""score"": ""2-1"", ""probability"": 0.09395}, {""score"": ""3-0"", ""probability"": 0.086879}, {""score"": ""0-0"", ""probability"": 0.079792}, {""score"": ""3-1"", ""probability"": 0.060682}, {""score"": ""4-0"", ""probability"": 0.042086}, {""score"": ""0-1"", ""probability"": 0.041902}, {""score"": ""1-2"", ""probability"": 0.033866}]",1.937688640581796,0.6984717779483322,-0.0839742257807763,0.5992550752667188,0.2001295703758774,0.2006153543574037,0.6003521272848293,0.05,0.3496478727151706,0.620345449315104,0.2200605258212579,0.159594024863638,1-0,1.5001663389903197,1.0518119940988166,0.2241137910083368,1.6087902703201489,1.039145869823946,0.1996765828184337,2.995732273553991,1.385176311629664,0.241338155814832,1.5138526530982648,1.0186043126403463,0.2051493646290668,0.6398380863667272,0.22645100918917424,0.13371090444409867,0.6496026543129545,0.22480304658358014,0.1255942991034654,1.50016633899032,1.4925306086363732,1.0518119940988166,1.0386878530438255,0.22411379100833695,0.2188787682288633
2019-20,2019-08-26,Internazionale,Lecce,4,0,home_win,0.713094393226037,0.2007709174674513,0.0861346893065116,2-0,"[{""score"": ""2-0"", ""probability"": 0.15125}, {""score"": ""1-0"", ""probability"": 0.139974}, {""score"": ""3-0"", ""probability"": 0.103635}, {""score"": ""1-1"", ""probability"": 0.09276}, {""score"": ""2-1"", ""probability"": 0.087952}, {""score"": ""0-0"", ""probability"": 0.078777}, {""score"": ""3-1"", ""probability"": 0.060264}, {""score"": ""4-0"", ""probability"": 0.053258}, {""score"": ""0-1"", ""probability"": 0.034444}, {""score"": ""4-1"", ""probability"": 0.030969}]",2.055581017353433,0.5815011603162438,-0.0839742257807763,0.5209878847121062,0.2139528482840216,0.2650592670038721,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5018807546599614,0.2511296455360243,0.2469895998040144,1-1,0.3381414785141459,0.1300429732009873,0.0448670059501325,0.6520284914106509,0.345484842906058,0.1498545108086062,1.0986122886681098,0.6666666666666667,0.2777777777777778,0.6893927280256305,0.3721927438565259,0.1545633224947384,0.772433476998705,0.1557529797882635,0.07181354321303153,0.7441062410392416,0.1771941981228939,0.0786995608378645,0.33814147851414594,0.29557145724782513,0.13004297320098734,0.10307302059955482,0.04486700595013255,0.03583761837556973
