model,trial,half_life_days,l2_reg,log_loss,brier,k_factor,home_advantage_elo_points
dixon_coles,0,657.4201381047731,0.0973564052786933,1.0501101397165282,0.6332525385513755,,
dixon_coles,1,234.11796962674453,0.030401350082911952,1.0408618555219045,0.62696822045298,,
dixon_coles,2,304.8027769240684,0.008144222717287488,1.0524310869743119,0.6348910026855411,,
dixon_coles,3,305.08252334159073,0.0706749659260849,1.0415645554919384,0.6275566653809613,,
dixon_coles,4,251.808886223853,0.005794850190564965,1.045888804797504,0.6305740822843211,,
dixon_coles,5,334.4972735208432,0.061928790027300645,1.0448779116852251,0.6298701815694009,,
dixon_coles,6,265.1416029052815,0.060439008087732504,1.0399327344164184,0.626344790477116,,
dixon_coles,7,564.7721137057814,0.10374797449872628,1.0495401220544307,0.632881861742485,,
dixon_coles,8,690.0961262424195,0.09160958188521622,1.0502760690780804,0.633362780421674,,
dixon_coles,9,244.33513167630272,0.02651175048801389,1.041033815952366,0.6271186413961138,,
dixon_coles,10,451.9303166083417,0.015364535620204511,1.0521652907328993,0.6345816567853726,,
dixon_coles,11,155.02938801670192,0.03510870243206007,1.044578569323058,0.6293375209005155,,
dixon_coles,12,150.5519486070853,0.040826328438854406,1.0446792366178512,0.6293752323230414,,
dixon_coles,13,423.26036720090667,0.01987789755788903,1.0518735645682769,0.6344080704366574,,
dixon_coles,14,424.0302412062256,0.14698624427209134,1.0455957203790534,0.6303109493026988,,
dixon_coles,15,215.04612527374601,0.0475500288422208,1.0406647078942868,0.6267581840774533,,
dixon_coles,16,365.8397359709841,0.049182057573398504,1.0480818282819773,0.6320083643147173,,
dixon_coles,17,219.5259500281248,0.016750668170345463,1.0415641255048473,0.6274424513887323,,
dixon_coles,18,508.0649805091613,0.050928959761933915,1.050534718954955,0.6335335861317053,,
dixon_coles,19,368.7162641974609,0.011871846245929617,1.0529207810662629,0.635100848076633,,
dixon_coles,20,198.74964611651092,0.13859483340962467,1.040000436454165,0.6261689242075257,,
dixon_coles,21,204.68115040574017,0.12228937394464856,1.0399394677214966,0.6261584028375531,,
dixon_coles,22,189.8420487615802,0.14830826506716527,1.0402449252164716,0.6262999443638613,,
dixon_coles,23,301.287532380009,0.07696140933682889,1.0410014898794722,0.627151540974362,,
dixon_coles,24,269.24257619987804,0.12339327244047638,1.0385815887993077,0.6253480601479711,,
dixon_coles,25,259.93324186219496,0.11219007867994113,1.0387952960273885,0.6254913575154493,,
dixon_coles,26,275.0389485125067,0.07732945330798467,1.0397610271171756,0.6262305499901814,,
dixon_coles,27,361.194177488626,0.08545212750463624,1.0449539777368413,0.6299070367391398,,
dixon_coles,28,291.38071961770777,0.10515696600078789,1.0394622360594235,0.6260264194981351,,
dixon_coles,29,326.58983298220755,0.11796414240410931,1.0407585747581247,0.6269810430485788,,
dixon_coles,30,621.5191738687297,0.10012686843457784,1.0499142827218377,0.6331238713157712,,
dixon_coles,31,277.8590878646942,0.1088504134028896,1.0389961670071712,0.6256696848554025,,
dixon_coles,32,268.6870134659491,0.10229197921795911,1.0389804249322974,0.6256452384159821,,
dixon_coles,33,340.9476203232497,0.11750885059516845,1.041712808849113,0.627660230282117,,
dixon_coles,34,271.5610631662535,0.0650534726194894,1.0398301535477927,0.6262835437241503,,
dixon_coles,35,235.91813483918648,0.08585956973292032,1.0394114878030554,0.6258918875853605,,
dixon_coles,36,401.00056384750536,0.1224827962952046,1.0453749061121533,0.6301739375676751,,
dixon_coles,37,316.83768024053336,0.06960717859724352,1.0425464743700252,0.628254395136008,,
dixon_coles,38,280.63501119897654,0.055683947130098076,1.040900612399501,0.6270692077854053,,
dixon_coles,39,182.2687082593305,0.08896455221475687,1.0414348161974938,0.6271616578639221,,
elo,0,,,1.039585683083351,0.6247275976987589,37.522626217004984,89.83283309856037
elo,1,,,1.041558350343547,0.624556755801123,12.894136414646955,62.45679160747641
elo,2,,,1.0422607278628722,0.6249646255118467,17.006707021036707,31.47527390296439
elo,3,,,1.0406471364227108,0.6246360389958481,17.022983176238007,82.29931901758334
elo,4,,,1.045134471815359,0.6268668141348294,13.923426107569629,23.470112339146834
elo,5,,,1.039710031561587,0.6239554022819582,18.734386823030874,79.19203109224385
elo,6,,,1.0413865303958756,0.6249332496586589,14.699147805398198,78.61928100386481
elo,7,,,1.0396433790211057,0.6246730330247988,32.13219570651819,91.32845014952476
elo,8,,,1.0395113808126484,0.6246937613428676,39.423774617740776,88.40174522509619
elo,9,,,1.0411504463109638,0.6242372323907645,13.488589479348523,59.23677340021162
elo,10,,,1.0386474158996317,0.6229286231290441,25.566854784485336,46.63708155225972
elo,11,,,1.0384839218788786,0.6228855855370096,26.843448903000056,47.56494546593081
elo,12,,,1.0389171328406248,0.6231235890985883,25.900499053601656,43.809780357054976
elo,13,,,1.0383396375209326,0.6227302636875433,25.395953342667596,50.363028467105906
elo,14,,,1.0379955995302461,0.6225422118456871,24.782697791828642,57.88033517662136
elo,15,,,1.0382292904248411,0.6226988146634423,21.96800561905639,64.72302885292163
elo,16,,,1.0382801980599357,0.6227772268370939,21.7596726136843,67.10886376945213
elo,17,,,1.037591358171423,0.6227131606625755,30.335298630623903,69.84262219244837
elo,18,,,1.0376709892992313,0.6228683294889076,31.809658582425875,72.16661959661624
elo,19,,,1.0409363754559302,0.6257651988705631,31.67961486117806,98.76865011530342
elo,20,,,1.0473980718403577,0.628653276671175,8.17394337797058,71.84861245074902
elo,21,,,1.0377495702095891,0.6227085152575171,32.16246701624666,56.729358347286215
elo,22,,,1.0376753149774562,0.6228716759224052,31.760910710182173,72.28025593099385
elo,23,,,1.037692304597976,0.622987816370815,35.026831638331245,71.11527955526225
elo,24,,,1.0377818388299282,0.6228815198417791,29.155485378553884,73.88480623561915
elo,25,,,1.0386347910110338,0.6238742129985596,34.9515973102915,83.70757157286475
elo,26,,,1.037758108724415,0.6228834919781702,29.69331841463012,73.78936709904474
elo,27,,,1.0380637305850575,0.6230119060176015,34.63513158532261,53.03637202554265
elo,28,,,1.0375665636881302,0.6225847502257573,29.057359052221017,66.66405990292323
elo,29,,,1.0394868587596893,0.6241154520136074,37.37882525770346,41.28398242143052
elo,30,,,1.0376000961672622,0.6225843369532118,28.221194664834037,67.24276282034606
elo,31,,,1.0375767304749275,0.6225734855725056,28.64591883007285,66.57962368567476
elo,32,,,1.0375998757562142,0.6225180169854266,28.503634811079518,62.83423810597801
elo,33,,,1.038088723142027,0.6225989685417651,23.14508846555018,62.07421499738155
elo,34,,,1.0378986377181543,0.622597274531405,28.08895595249068,54.50958377043729
elo,35,,,1.037540727332295,0.6225707118812159,30.560780764705065,62.95896520123152
elo,36,,,1.0397206234451775,0.6239399033413239,30.626199898286345,37.06282937233598
elo,37,,,1.0379320512769046,0.623193864344149,33.65282729262066,76.29402005886995
elo,38,,,1.0385233966399914,0.6238032652257989,36.304809898671024,82.09062842825597
elo,39,,,1.037641351753682,0.622587549409553,27.499850381847647,67.49552302661051
