season,n_matches,dc_log_loss,ensemble_log_loss,ensemble_wins_season
2019-20,380,1.0004,0.984,True
2020-21,380,0.9586,0.9531,True
2021-22,380,1.0058,0.989,True
2022-23,380,1.0027,0.9924,True
2023-24,380,0.9994,0.9826,True
2024-25,380,0.986,0.9651,True
2025-26,380,0.9956,0.9932,True
