match_id,home_team,away_team,top_factors_favoring_home,top_factors_favoring_draw,top_factors_favoring_away,top_factors_affecting_scoreline,market_disagreement_explanation,squad_injury_explanation,schedule_congestion_explanation,uncertainty_explanation,data_quality_notes,model_version,generated_at
LALIGA2627_MW24_235_R.RacingClub_GetafeCF,R. Racing Club,Getafe CF,Dixon-Coles attack/defense edge (lambda=1.37 expected goals) plus home advantage.,Scoreline entropy 2.88 nats; teams of similar fitted strength.,Dixon-Coles attack/defense edge (mu=1.17 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Promoted club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Promoted-club opponent: wide team-strength uncertainty (see la_liga_2026_27_dynamic_team_strength.csv).,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW24_236_RealMadrid_AthleticClub,Real Madrid,Athletic Club,Dixon-Coles attack/defense edge (lambda=2.21 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=0.76 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Both clubs have substantial recent La Liga history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW24_237_RealSociedad_RealBetis,Real Sociedad,Real Betis,Dixon-Coles attack/defense edge (lambda=1.48 expected goals) plus home advantage.,Scoreline entropy 3.05 nats; teams of similar fitted strength.,Dixon-Coles attack/defense edge (mu=1.44 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Both clubs have substantial recent La Liga history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW24_238_SevillaFC_RCDEspanyoldeBarcelona,Sevilla FC,RCD Espanyol de Barcelona,Dixon-Coles attack/defense edge (lambda=1.43 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=1.09 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Both clubs have substantial recent La Liga history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW24_239_ValenciaCF_DeportivoAlavés,Valencia CF,Deportivo Alavés,Dixon-Coles attack/defense edge (lambda=1.27 expected goals) plus home advantage.,Scoreline entropy 2.81 nats; teams of similar fitted strength.,Dixon-Coles attack/defense edge (mu=1.11 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Both clubs have substantial recent La Liga history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW24_240_VillarrealCF_FCBarcelona,Villarreal CF,FC Barcelona,Dixon-Coles attack/defense edge (lambda=1.52 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=2.25 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Both clubs have substantial recent La Liga history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW25_241_DeportivoAlavés_R.RacingClub,Deportivo Alavés,R. Racing Club,Dixon-Coles attack/defense edge (lambda=2.41 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=1.33 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs promoted club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Promoted-club opponent: wide team-strength uncertainty (see la_liga_2026_27_dynamic_team_strength.csv).,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW25_242_AthleticClub_CeltaVigo,Athletic Club,Celta Vigo,Dixon-Coles attack/defense edge (lambda=1.48 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=1.04 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Both clubs have substantial recent La Liga history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW25_243_AtléticodeMadrid_ElcheCF,Atlético de Madrid,Elche CF,Dixon-Coles attack/defense edge (lambda=2.37 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=0.91 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Both clubs have substantial recent La Liga history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW25_244_RCDeportivo_RealSociedad,RC Deportivo,Real Sociedad,Dixon-Coles attack/defense edge (lambda=2.12 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=1.43 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Promoted club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Promoted-club opponent: wide team-strength uncertainty (see la_liga_2026_27_dynamic_team_strength.csv).,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW25_245_RCDEspanyoldeBarcelona_CAOsasuna,RCD Espanyol de Barcelona,CA Osasuna,Dixon-Coles attack/defense edge (lambda=1.40 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=1.01 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Both clubs have substantial recent La Liga history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW25_246_FCBarcelona_LevanteUD,FC Barcelona,Levante UD,Dixon-Coles attack/defense edge (lambda=3.57 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=0.84 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Both clubs have substantial recent La Liga history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW25_247_MálagaCF_RealBetis,Málaga CF,Real Betis,Dixon-Coles attack/defense edge (lambda=0.45 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=1.33 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Promoted club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Promoted-club opponent: wide team-strength uncertainty (see la_liga_2026_27_dynamic_team_strength.csv).,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW25_248_RayoVallecano_GetafeCF,Rayo Vallecano,Getafe CF,Dixon-Coles attack/defense edge (lambda=1.01 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=0.68 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Both clubs have substantial recent La Liga history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW25_249_SevillaFC_RealMadrid,Sevilla FC,Real Madrid,Dixon-Coles attack/defense edge (lambda=1.00 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=1.94 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Both clubs have substantial recent La Liga history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW25_250_VillarrealCF_ValenciaCF,Villarreal CF,Valencia CF,Dixon-Coles attack/defense edge (lambda=2.15 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=0.95 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Both clubs have substantial recent La Liga history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
LALIGA2627_MW26_251_AthleticClub_FCBarcelona,Athletic Club,FC Barcelona,Dixon-Coles attack/defense edge (lambda=1.07 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=2.04 expected goals).,"Fitted home advantage log-coefficient=0.296, low-score correlation rho=-0.005.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=0.0, congestion_diff=0 (matches in last 7 days, home minus away).",Both clubs have substantial recent La Liga history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T07:42:11+00:00
