model,n_matches,log_loss,brier_score,ranked_probability_score,accuracy,favorite_accuracy,draw_calibration_bias,expected_calibration_error
Dixon-Coles (main model),2337,1.0108,0.604,0.2095,0.5139,0.6081,-0.0025,
Elo-only baseline,2337,1.015,0.6065,0.2103,0.5066,0.5819,-0.03,
Previous-season-table baseline,2337,1.2211,0.6794,0.2319,0.469,0.5424,-0.1279,
Simple Poisson baseline,2337,1.0239,0.6139,0.2142,0.4959,0.6327,-0.0019,
