team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability,finish_19_probability,finish_20_probability
Athletic Club,0.00086,0.01752,0.05898,0.08739,0.10185,0.10409,0.09852,0.09029,0.08064,0.07148,0.06197,0.05364,0.04525,0.03756,0.02954,0.02274,0.01696,0.01151,0.00658,0.00262
Atlético de Madrid,0.01617,0.13236,0.26516,0.18648,0.12577,0.08508,0.05734,0.03953,0.02871,0.02016,0.01427,0.01004,0.00693,0.00478,0.00316,0.00186,0.00122,0.00065,0.00026,7e-05
CA Osasuna,0.0002,0.0054,0.02171,0.03793,0.0527,0.06503,0.07351,0.07749,0.08046,0.0794,0.07877,0.07527,0.07148,0.06532,0.0586,0.05067,0.04185,0.03198,0.02146,0.01075
Celta Vigo,7e-05,0.00221,0.01142,0.02366,0.03594,0.04728,0.05728,0.06504,0.07073,0.07459,0.07762,0.0775,0.07794,0.07624,0.07242,0.06657,0.058,0.04953,0.03621,0.01976
Deportivo Alavés,0.00048,0.01087,0.04081,0.06567,0.08262,0.09243,0.09394,0.09168,0.08595,0.07862,0.0722,0.06354,0.05483,0.04664,0.03838,0.0305,0.0227,0.01553,0.00919,0.00342
Elche CF,1e-05,0.00038,0.00289,0.00674,0.01166,0.01691,0.02286,0.02869,0.03409,0.04184,0.0486,0.05499,0.06417,0.0716,0.08021,0.09012,0.10273,0.11073,0.11296,0.09782
FC Barcelona,0.84048,0.13179,0.02052,0.00506,0.00139,0.00042,0.0002,0.0001,3e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Getafe CF,3e-05,0.00074,0.00416,0.0097,0.01647,0.02378,0.03237,0.0406,0.04864,0.05764,0.06507,0.07228,0.07796,0.08374,0.08829,0.09177,0.09062,0.08573,0.06911,0.04131
Levante UD,0.00018,0.0048,0.01921,0.03232,0.04476,0.05266,0.06016,0.0643,0.06739,0.06948,0.0709,0.07065,0.07069,0.06863,0.06628,0.06254,0.05752,0.05149,0.04122,0.02482
Málaga CF,2e-05,0.00035,0.00172,0.00353,0.00559,0.00819,0.01028,0.0136,0.01664,0.02036,0.0248,0.02988,0.03703,0.044,0.05496,0.06839,0.08685,0.11662,0.17042,0.28677
R. Racing Club,2e-05,0.00046,0.00214,0.00424,0.00644,0.00912,0.01211,0.01553,0.01913,0.02325,0.02779,0.03432,0.04012,0.04939,0.06051,0.07457,0.09282,0.12175,0.16693,0.23936
RC Deportivo,7e-05,0.00136,0.00525,0.00924,0.01321,0.01775,0.02202,0.02718,0.03219,0.03613,0.04201,0.0488,0.05534,0.06377,0.07378,0.0852,0.09896,0.11568,0.12936,0.1227
RCD Espanyol de Barcelona,4e-05,0.00102,0.00659,0.0144,0.02287,0.0327,0.04197,0.04977,0.05798,0.06494,0.06998,0.07614,0.07886,0.08163,0.08311,0.0807,0.07774,0.06883,0.05598,0.03476
Rayo Vallecano,6e-05,0.00206,0.0112,0.02241,0.03355,0.04557,0.05449,0.06365,0.06952,0.0743,0.07722,0.07802,0.07851,0.07778,0.07312,0.06894,0.0617,0.05014,0.03705,0.02071
Real Betis,0.00724,0.06973,0.17771,0.17517,0.14178,0.10846,0.08285,0.06233,0.0475,0.03554,0.02682,0.02053,0.0152,0.0105,0.00752,0.00511,0.00318,0.00167,0.00092,0.00025
Real Madrid,0.13017,0.56314,0.17496,0.06861,0.03121,0.0151,0.00773,0.00414,0.00218,0.0013,0.00068,0.0004,0.00016,0.0001,6e-05,2e-05,2e-05,1e-05,0.0,0.0
Real Sociedad,0.00029,0.00729,0.03168,0.05618,0.07368,0.08505,0.08875,0.08798,0.08464,0.08087,0.07384,0.06699,0.05968,0.05292,0.04466,0.03695,0.02868,0.02092,0.01303,0.00592
Sevilla FC,0.00019,0.00394,0.01717,0.03324,0.04694,0.05872,0.06843,0.0742,0.07786,0.07879,0.07843,0.07646,0.07385,0.0684,0.06336,0.05657,0.0472,0.0373,0.02597,0.01298
Valencia CF,0.0,0.00031,0.00208,0.00524,0.00994,0.01475,0.022,0.02877,0.03616,0.0442,0.05236,0.06104,0.06928,0.07946,0.08885,0.09762,0.10525,0.10592,0.10138,0.07538
Villarreal CF,0.00342,0.04426,0.12466,0.15279,0.14164,0.1169,0.0932,0.07514,0.05954,0.04707,0.03665,0.02952,0.02272,0.01753,0.01319,0.00917,0.00599,0.004,0.00198,0.00062
