team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
FC Bayern München,0.69767,0.99242,0.0,81.71,0.83201,0.99822,0.0,83.15,0.13434000000000001,0.005800000000000027,0.0,1.440000000000012
Borussia Dortmund,0.09494,0.80878,2e-05,69.02,0.13392,0.92631,0.0,71.76,0.038980000000000015,0.11752999999999991,-2e-05,2.740000000000009
Bayer 04 Leverkusen,0.0168,0.49371,0.0006,60.91,0.02213,0.68549,0.00038,62.93,0.005330000000000001,0.19178000000000006,-0.00021999999999999993,2.020000000000003
1. FSV Mainz 05,0.00029,0.04862,0.03842,45.91,0.00054,0.11015,0.02556,48.59,0.00025,0.06153,-0.012860000000000003,2.680000000000007
SV Werder Bremen,1e-05,0.01051,0.13316,39.86,4e-05,0.02378,0.1152,41.94,3.0000000000000004e-05,0.013269999999999999,-0.017960000000000004,2.0799999999999983
1. FC Union Berlin,0.0,0.00225,0.29652,34.68,0.0,0.00182,0.46358,32.69,0.0,-0.0004299999999999998,0.16706,-1.990000000000002
Hamburger SV,0.0,0.00144,0.50695,30.33,0.0,0.00312,0.48439,32.48,0.0,0.0016799999999999999,-0.022560000000000024,2.1499999999999986
1. FC Köln,3e-05,0.00998,0.17647,38.67,0.0,0.00759,0.29049,36.54,-3e-05,-0.002389999999999999,0.11402000000000004,-2.1300000000000026
Borussia Mönchengladbach,3e-05,0.00436,0.22169,36.81,0.0,0.00386,0.34267,35.14,-3e-05,-0.0005,0.12097999999999998,-1.6700000000000017
Sport-Club Freiburg,0.00232,0.16245,0.0081,52.44,0.00215,0.23041,0.00816,52.98,-0.00017,0.06795999999999999,6.0000000000001025e-05,0.5399999999999991
Eintracht Frankfurt,0.00054,0.07252,0.028,47.86,0.0003,0.08346,0.03952,47.24,-0.00024000000000000003,0.010940000000000005,0.011519999999999999,-0.6199999999999974
TSG Hoffenheim,0.00036,0.06512,0.03138,47.34,9e-05,0.05228,0.06454,44.9,-0.00027,-0.012839999999999997,0.03316,-2.440000000000005
FC Augsburg,0.00039,0.05305,0.03212,46.64,0.00011,0.05351,0.05898,45.08,-0.00028,0.0004600000000000021,0.026859999999999995,-1.5600000000000023
VfB Stuttgart,0.00601,0.31174,0.00268,56.84,0.00257,0.3343,0.00465,55.54,-0.00344,0.02255999999999997,0.0019699999999999995,-1.3000000000000043
RB Leipzig,0.01032,0.37451,0.00157,58.3,0.00527,0.40078,0.00278,56.95,-0.005049999999999999,0.026270000000000016,0.00121,-1.3499999999999943
SC Paderborn 07,0.04358,0.178,0.54897,34.07,0.0002,0.02187,0.40898,34.72,-0.04338,-0.15613,-0.13998999999999995,0.6499999999999986
FC Schalke 04,0.05639,0.19803,0.50562,37.07,0.00023,0.02497,0.38901,35.28,-0.05616,-0.17306000000000002,-0.11660999999999994,-1.7899999999999991
SV Elversberg,0.07032,0.21251,0.46773,39.39,0.00042,0.03807,0.30111,37.92,-0.06989999999999999,-0.17444,-0.16662,-1.4699999999999989
