team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
FC Barcelona,0.71266,0.99414,0.0,83.58,0.84048,0.99785,0.0,87.92,0.12782000000000004,0.003709999999999991,0.0,4.340000000000003
Real Betis,0.00572,0.32605,0.0062,57.63,0.00724,0.42985,0.00284,61.17,0.0015199999999999997,0.1038,-0.0033599999999999997,3.539999999999999
Athletic Club,0.00054,0.08895,0.04864,49.1,0.00086,0.16476,0.02071,53.78,0.00031999999999999997,0.07580999999999999,-0.027930000000000003,4.68
Deportivo Alavés,0.00028,0.06145,0.06104,47.51,0.00048,0.11783,0.02813,51.93,0.00020000000000000004,0.056380000000000006,-0.032909999999999995,4.420000000000002
Rayo Vallecano,2e-05,0.0228,0.16015,42.54,6e-05,0.03573,0.1079,45.85,3.9999999999999996e-05,0.012929999999999997,-0.05224999999999999,3.3100000000000023
Real Sociedad,0.00025,0.06016,0.06688,47.41,0.00029,0.09544,0.03987,50.95,3.9999999999999996e-05,0.03528,-0.027009999999999992,3.5400000000000063
Málaga CF,0.0,0.00461,0.58415,32.18,2e-05,0.00562,0.57381,33.73,2e-05,0.0010099999999999996,-0.010339999999999905,1.5499999999999972
RC Deportivo,5e-05,0.00883,0.45977,35.34,7e-05,0.01592,0.36773,38.87,1.999999999999999e-05,0.007090000000000001,-0.09204000000000001,3.529999999999994
R. Racing Club,3e-05,0.00676,0.5027,34.28,2e-05,0.00685,0.52805,34.86,-9.999999999999999e-06,8.99999999999998e-05,0.025349999999999984,0.5799999999999983
Elche CF,2e-05,0.0148,0.27219,39.62,1e-05,0.01002,0.32151,39.41,-1e-05,-0.004780000000000001,0.04932000000000003,-0.21000000000000085
Valencia CF,2e-05,0.0159,0.18622,41.51,0.0,0.00763,0.28268,40.01,-2e-05,-0.008270000000000001,0.09645999999999999,-1.5
Getafe CF,5e-05,0.01618,0.18714,41.53,3e-05,0.01463,0.19615,42.35,-2e-05,-0.0015499999999999993,0.00900999999999999,0.8200000000000003
RCD Espanyol de Barcelona,7e-05,0.02534,0.14766,43.06,4e-05,0.02204,0.15956,43.66,-2.999999999999999e-05,-0.003300000000000001,0.011899999999999994,0.5999999999999943
Celta Vigo,0.00012,0.03909,0.10066,45.08,7e-05,0.03736,0.1055,45.99,-5.000000000000001e-05,-0.0017300000000000024,0.004839999999999997,0.9100000000000037
Sevilla FC,0.0003,0.05672,0.07358,46.99,0.00019,0.05454,0.07625,47.96,-0.00010999999999999996,-0.0021800000000000014,0.002669999999999992,0.9699999999999989
Levante UD,0.00042,0.06694,0.10162,46.46,0.00018,0.05651,0.11753,46.71,-0.00024,-0.010430000000000002,0.015909999999999994,0.25
CA Osasuna,0.00088,0.10456,0.03736,50.14,0.0002,0.06524,0.0642,48.82,-0.00068,-0.039319999999999994,0.026839999999999996,-1.3200000000000003
Villarreal CF,0.00869,0.41774,0.00365,59.3,0.00342,0.32513,0.0066,58.34,-0.00527,-0.09261000000000003,0.00295,-0.9599999999999937
Atlético de Madrid,0.04164,0.71484,0.0004,66.1,0.01617,0.60016,0.00098,64.61,-0.025470000000000003,-0.11468,0.00058,-1.4899999999999949
Real Madrid,0.22822,0.95414,0.0,75.77,0.13017,0.93688,1e-05,75.47,-0.09805,-0.017259999999999942,1e-05,-0.29999999999999716
