team,expected_position,median_position,position_5th_percentile,position_25th_percentile,position_75th_percentile,position_95th_percentile,expected_points,points_5th_percentile,points_25th_percentile,median_points,points_75th_percentile,points_95th_percentile,expected_wins,expected_draws,expected_losses,expected_goals_for,expected_goals_against,expected_goal_difference,title_probability,top_4_probability,top_5_probability,top_half_probability,relegation_probability,most_likely_finish,model_version,generated_at
FC Barcelona,1.2,1,1,1,1,2,92.04,80.0,87.0,92.0,97.0,103.0,29.12,4.67,4.2,116.29,38.11,78.18,0.83655,0.99918,0.99985,1.0,0.0,1,0.1.0-phase1,2026-09-22T10:26:31+00:00
Real Madrid,2.362,2,1,2,3,4,80.06,67.0,75.0,80.0,86.0,93.0,24.74,5.84,7.42,86.34,38.48,47.86,0.12481,0.96431,0.9861,0.99964,0.0,2,0.1.0-phase1,2026-09-22T10:26:31+00:00
Atlético de Madrid,3.395,3,2,2,4,6,73.21,59.0,68.0,73.0,79.0,87.0,21.85,7.66,8.49,73.37,41.39,31.98,0.03196,0.83933,0.92022,0.99572,1e-05,3,0.1.0-phase1,2026-09-22T10:26:31+00:00
Real Betis,5.077,4,2,4,6,10,65.63,51.0,60.0,66.0,71.0,80.0,19.13,8.22,10.64,57.57,45.33,12.24,0.0053,0.51287,0.68867,0.96146,0.00061,4,0.1.0-phase1,2026-09-22T10:26:31+00:00
Villarreal CF,6.63,6,3,4,8,13,59.95,46.0,54.0,60.0,66.0,74.0,17.16,8.47,12.37,71.19,55.8,15.39,0.00095,0.26372,0.44908,0.87954,0.00389,5,0.1.0-phase1,2026-09-22T10:26:31+00:00
Athletic Club,9.091,8,4,6,12,16,53.66,39.0,48.0,54.0,60.0,68.0,14.47,10.25,13.28,48.22,44.96,3.26,0.0002,0.09182,0.18924,0.67137,0.02617,6,0.1.0-phase1,2026-09-22T10:26:31+00:00
Real Sociedad,9.439,9,4,6,12,17,53.08,39.0,47.0,53.0,59.0,67.0,14.98,8.14,14.88,54.55,59.32,-4.77,7e-05,0.0725,0.15934,0.63934,0.02911,7,0.1.0-phase1,2026-09-22T10:26:31+00:00
Sevilla FC,9.616,9,4,7,12,17,52.64,39.0,47.0,53.0,58.0,67.0,14.74,8.44,14.83,49.8,54.85,-5.05,4e-05,0.06774,0.14611,0.61996,0.02992,7,0.1.0-phase1,2026-09-22T10:26:31+00:00
Deportivo Alavés,10.495,10,5,7,13,17,50.36,37.0,44.0,50.0,56.0,65.0,13.57,9.64,14.79,48.85,49.93,-1.08,3e-05,0.04409,0.09996,0.52825,0.04745,9,0.1.0-phase1,2026-09-22T10:26:31+00:00
Celta Vigo,10.614,10,5,7,14,18,49.95,36.0,44.0,50.0,56.0,64.0,12.84,11.44,13.73,50.58,49.27,1.31,2e-05,0.0433,0.0991,0.51779,0.05436,8,0.1.0-phase1,2026-09-22T10:26:31+00:00
Rayo Vallecano,11.571,11,5,8,15,18,48.19,34.0,42.0,48.0,54.0,63.0,12.71,10.06,15.23,48.01,56.77,-8.75,2e-05,0.02688,0.06557,0.41962,0.08401,11,0.1.0-phase1,2026-09-22T10:26:31+00:00
Levante UD,12.819,13,6,9,16,19,45.36,30.0,39.0,45.0,52.0,61.0,12.04,9.23,16.72,52.16,64.16,-12.0,2e-05,0.01966,0.04826,0.31703,0.168,16,0.1.0-phase1,2026-09-22T10:26:31+00:00
RCD Espanyol de Barcelona,13.134,13,6,10,16,19,44.61,31.0,39.0,44.0,50.0,59.0,12.01,8.58,17.41,46.78,56.05,-9.27,0.0,0.01127,0.03065,0.27619,0.16054,15,0.1.0-phase1,2026-09-22T10:26:31+00:00
CA Osasuna,13.255,14,6,10,16,19,44.71,31.0,39.0,45.0,50.0,59.0,11.75,9.47,16.78,42.95,60.57,-17.62,0.0,0.01067,0.02888,0.26335,0.1657,15,0.1.0-phase1,2026-09-22T10:26:31+00:00
Elche CF,13.425,14,6,10,17,19,44.03,30.0,38.0,44.0,50.0,59.0,11.7,8.91,17.38,54.49,68.68,-14.19,0.0,0.0122,0.0317,0.26179,0.19504,16,0.1.0-phase1,2026-09-22T10:26:31+00:00
Getafe CF,13.782,14,7,11,17,19,43.27,30.0,38.0,43.0,49.0,57.0,10.64,11.35,16.01,29.53,42.05,-12.52,0.0,0.00653,0.01866,0.21624,0.19242,16,0.1.0-phase1,2026-09-22T10:26:31+00:00
Valencia CF,14.662,15,8,12,18,20,41.36,28.0,36.0,41.0,47.0,56.0,10.91,8.63,18.46,40.15,58.6,-18.45,0.0,0.00377,0.01204,0.16069,0.27718,18,0.1.0-phase1,2026-09-22T10:26:31+00:00
RC Deportivo,15.655,17,8,13,19,20,38.64,24.0,32.0,38.0,45.0,55.0,9.22,11.0,17.79,40.84,64.14,-23.3,1e-05,0.00487,0.01299,0.12518,0.41811,19,0.1.0-phase1,2026-09-22T10:26:31+00:00
R. Racing Club,16.299,17,9,14,19,20,37.06,22.0,30.0,37.0,43.0,53.0,9.63,8.18,20.19,42.67,74.64,-31.96,0.0,0.00393,0.00968,0.09554,0.49701,20,0.1.0-phase1,2026-09-22T10:26:31+00:00
Málaga CF,17.478,19,10,16,20,20,32.99,18.0,26.0,33.0,39.0,49.0,7.58,10.24,20.17,34.48,65.75,-31.27,0.0,0.00135,0.0039,0.05129,0.65049,20,0.1.0-phase1,2026-09-22T10:26:31+00:00
