team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability
AJ Auxerre,0.00051,0.00203,0.00407,0.00739,0.01255,0.01786,0.02596,0.03589,0.04738,0.06084,0.07526,0.0862,0.09777,0.10691,0.11192,0.11333,0.1082,0.08592
AS Monaco,0.07673,0.12402,0.129,0.12323,0.11364,0.09953,0.08581,0.06981,0.05443,0.04194,0.02951,0.02042,0.01354,0.00864,0.00531,0.00286,0.00114,0.00043
Angers SCO,0.00016,0.00066,0.00156,0.00288,0.00474,0.00829,0.0134,0.02006,0.02935,0.04062,0.05534,0.06996,0.08787,0.10595,0.12632,0.14329,0.15381,0.13573
Estac Troyes,0.001,0.00276,0.00451,0.00689,0.0097,0.01324,0.01855,0.02468,0.03184,0.04114,0.05081,0.06046,0.07202,0.08538,0.10227,0.12241,0.15426,0.19806
FC Lorient,0.00227,0.00714,0.01248,0.01894,0.0265,0.03626,0.04686,0.05868,0.07044,0.08077,0.08918,0.09447,0.094,0.09234,0.08613,0.07727,0.06394,0.04233
Havre Athletic Club,0.00022,0.00108,0.00239,0.00439,0.00778,0.01207,0.01804,0.02687,0.03788,0.05116,0.06642,0.08115,0.09472,0.10882,0.12013,0.12972,0.13062,0.10654
LOSC Lille,0.0774,0.13326,0.13377,0.12708,0.11333,0.09944,0.08373,0.06751,0.05162,0.03785,0.02766,0.01851,0.01257,0.00794,0.0044,0.0024,0.00119,0.00034
Le Mans FC,0.00056,0.00155,0.00253,0.00411,0.00595,0.00869,0.01211,0.01644,0.02292,0.02983,0.03806,0.04827,0.05952,0.07308,0.09251,0.11975,0.16572,0.2984
OGC Nice,0.00073,0.00245,0.00552,0.00983,0.01539,0.02273,0.03225,0.04408,0.05771,0.07283,0.08583,0.0977,0.10442,0.10645,0.10414,0.0967,0.08391,0.05733
Olympique Lyonnais,0.0486,0.08992,0.10446,0.11087,0.10942,0.10543,0.09543,0.08447,0.07103,0.0552,0.04131,0.0303,0.02158,0.01422,0.00899,0.00532,0.00248,0.00098
Olympique de Marseille,0.065,0.11288,0.12285,0.12115,0.11462,0.10228,0.08922,0.07466,0.05971,0.04434,0.0324,0.02306,0.01574,0.00996,0.00632,0.00341,0.00182,0.00058
Paris FC,0.0277,0.05046,0.06286,0.07168,0.0795,0.08405,0.08918,0.08919,0.0861,0.07813,0.0688,0.05852,0.0469,0.03748,0.02878,0.02077,0.01342,0.00648
Paris Saint-Germain,0.54509,0.20082,0.10324,0.05978,0.03632,0.02262,0.01355,0.00788,0.00493,0.00284,0.00145,0.00068,0.00042,0.00023,8e-05,4e-05,2e-05,0.0
RC Lens,0.10148,0.15241,0.14404,0.12714,0.11074,0.09434,0.07481,0.05886,0.04438,0.03218,0.02269,0.01512,0.00958,0.0057,0.00361,0.00188,0.00075,0.00026
RC Strasbourg Alsace,0.01758,0.03946,0.05756,0.07142,0.08429,0.09341,0.09829,0.0993,0.09514,0.08347,0.06961,0.05765,0.04544,0.03428,0.02413,0.0156,0.00935,0.00402
Stade Brestois 29,0.00126,0.00429,0.00881,0.01417,0.02144,0.03097,0.04187,0.0552,0.06892,0.08301,0.09297,0.10016,0.10232,0.09949,0.09154,0.08081,0.06404,0.03874
Stade Rennais FC,0.03099,0.0664,0.08476,0.09427,0.09989,0.10213,0.10073,0.09339,0.081,0.06782,0.05453,0.04149,0.03045,0.02218,0.01462,0.00902,0.00467,0.00166
Toulouse FC,0.00272,0.00842,0.01559,0.02479,0.03419,0.04664,0.0602,0.07301,0.08522,0.09603,0.09816,0.09588,0.09113,0.08095,0.06878,0.05543,0.04066,0.02219
