team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
Manchester City,0.41574,0.95661,0.0,81.23,0.53674,0.96386,0.0,82.18,0.121,0.00725000000000009,0.0,0.9500000000000028
Liverpool,0.02156,0.43503,0.00238,63.58,0.03859,0.50929,0.00086,65.7,0.01703,0.07426000000000005,-0.00152,2.1200000000000045
Brighton & Hove Albion,0.00814,0.26364,0.00742,59.18,0.02358,0.41624,0.00179,63.41,0.01544,0.1526,-0.0056300000000000005,4.229999999999997
Brentford,0.00413,0.1742,0.01632,56.38,0.00883,0.24147,0.00634,59.13,0.004699999999999999,0.06727,-0.009980000000000001,2.75
Newcastle United,0.00283,0.14197,0.02092,55.37,0.00473,0.15984,0.01299,56.6,0.0018999999999999998,0.017869999999999997,-0.007930000000000001,1.230000000000004
Aston Villa,0.00051,0.05502,0.06699,49.86,0.00116,0.0686,0.04077,51.77,0.00065,0.013579999999999995,-0.026219999999999993,1.9100000000000037
Everton,0.00098,0.06963,0.04562,51.35,0.00132,0.07226,0.03184,52.2,0.00034,0.0026300000000000073,-0.01378,0.8500000000000014
Crystal Palace,4e-05,0.01232,0.19663,43.42,6e-05,0.01047,0.1829,43.54,1.9999999999999998e-05,-0.0018499999999999992,-0.013729999999999992,0.11999999999999744
Tottenham Hotspur,6e-05,0.01027,0.21265,42.9,3e-05,0.0051,0.25674,41.25,-3e-05,-0.005169999999999999,0.04409000000000002,-1.6499999999999986
Fulham,0.00014,0.01689,0.15907,44.62,0.0001,0.01273,0.15587,44.35,-3.999999999999998e-05,-0.004159999999999999,-0.0031999999999999806,-0.269999999999996
Sunderland,0.00038,0.0344,0.14335,46.2,0.00033,0.02721,0.1493,45.62,-5.000000000000002e-05,-0.0071899999999999985,0.005949999999999983,-0.5800000000000054
Coventry City,0.00016,0.00625,0.77434,26.52,4e-05,0.00252,0.73798,29.07,-0.00012000000000000002,-0.0037300000000000002,-0.03636000000000006,2.5500000000000007
Manchester United,0.0036,0.17334,0.01626,56.23,0.00335,0.14452,0.01632,55.61,-0.0002499999999999998,-0.028819999999999985,6.0000000000001025e-05,-0.6199999999999974
Ipswich Town,0.00066,0.01345,0.64363,32.34,7e-05,0.00423,0.66092,31.85,-0.00059,-0.009219999999999999,0.017289999999999917,-0.490000000000002
Hull City,0.00078,0.01711,0.59589,33.95,0.00014,0.00562,0.60239,33.52,-0.0006399999999999999,-0.01149,0.00649999999999995,-0.4299999999999997
Leeds United,0.0059,0.18658,0.0215,56.46,0.00505,0.14447,0.02212,55.31,-0.0008500000000000001,-0.04211000000000001,0.0006200000000000025,-1.1499999999999986
AFC Bournemouth,0.00175,0.10674,0.0333,53.39,0.00088,0.06865,0.04128,51.66,-0.00087,-0.03809,0.007979999999999994,-1.730000000000004
Nottingham Forest,0.00163,0.09376,0.03506,52.86,0.00056,0.04176,0.06551,49.26,-0.00107,-0.052,0.030449999999999998,-3.6000000000000014
Chelsea,0.00797,0.26115,0.00868,59.29,0.00441,0.16224,0.01407,56.61,-0.00356,-0.09891,0.005389999999999999,-2.6799999999999997
Arsenal,0.52304,0.97162,0.0,83.01,0.37006,0.93891,0.0,79.51,-0.15297999999999995,-0.03271000000000002,0.0,-3.5
