team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability
1. FC Köln,0.00014,0.00156,0.00521,0.01152,0.02046,0.0312,0.04211,0.05406,0.06553,0.07642,0.08648,0.09514,0.10243,0.1067,0.1044,0.09248,0.06877,0.03539
1. FC Union Berlin,3e-05,0.00053,0.00205,0.00566,0.01111,0.01912,0.0289,0.03969,0.05196,0.06469,0.0789,0.09321,0.10618,0.11763,0.12328,0.11804,0.0907,0.04831
1. FSV Mainz 05,0.00188,0.01712,0.0421,0.06873,0.09327,0.10772,0.11182,0.10701,0.09738,0.08529,0.07228,0.05962,0.04815,0.0372,0.0255,0.01537,0.00737,0.0022
Bayer 04 Leverkusen,0.0377,0.17585,0.22337,0.18329,0.13133,0.08792,0.05828,0.03772,0.02476,0.01601,0.00993,0.00629,0.00377,0.00208,0.00107,0.00047,0.00014,3e-05
Borussia Dortmund,0.11055,0.35302,0.22239,0.13396,0.07738,0.04437,0.02511,0.01441,0.0085,0.00467,0.00278,0.0015,0.00078,0.00033,0.00014,8e-05,3e-05,0.0
Borussia Mönchengladbach,9e-05,0.00136,0.00491,0.01113,0.0201,0.03208,0.0452,0.05822,0.07021,0.08277,0.09109,0.09981,0.10337,0.10614,0.10127,0.08551,0.05912,0.02762
Eintracht Frankfurt,0.00053,0.00593,0.01675,0.03241,0.05075,0.06907,0.08216,0.09238,0.09754,0.09809,0.0934,0.08858,0.07984,0.06719,0.05422,0.03863,0.02309,0.00944
FC Augsburg,0.0007,0.00687,0.01956,0.03662,0.05667,0.07546,0.08972,0.09804,0.09936,0.09957,0.09447,0.08574,0.07431,0.06184,0.04691,0.03181,0.01698,0.00536
FC Bayern München,0.77866,0.15759,0.04304,0.0137,0.00454,0.00154,0.0005,0.00026,0.00011,3e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0
FC Schalke 04,0.01074,0.02683,0.02414,0.02264,0.02133,0.0223,0.02284,0.02377,0.02452,0.02734,0.03006,0.03492,0.042,0.05219,0.07039,0.1014,0.16703,0.27556
Hamburger SV,6e-05,0.00054,0.00168,0.00395,0.00743,0.0126,0.01794,0.02512,0.03233,0.0423,0.05422,0.06699,0.08285,0.1028,0.126,0.14907,0.15417,0.11995
RB Leipzig,0.00966,0.06473,0.11673,0.14516,0.14886,0.12853,0.10437,0.08058,0.06173,0.04596,0.03277,0.02325,0.01628,0.01036,0.00621,0.00308,0.00137,0.00036
SC Paderborn 07,0.01016,0.02328,0.02289,0.02142,0.02139,0.02092,0.02195,0.0229,0.02437,0.02638,0.02971,0.0344,0.04129,0.05172,0.06893,0.10149,0.16576,0.29106
SV Elversberg,0.01972,0.0328,0.02842,0.02715,0.02758,0.02787,0.02818,0.02904,0.03183,0.03505,0.03877,0.04511,0.05343,0.06731,0.08819,0.12004,0.15441,0.14509
SV Werder Bremen,7e-05,0.00133,0.00438,0.00972,0.01901,0.03019,0.04228,0.056,0.06917,0.08099,0.09281,0.10093,0.10785,0.10765,0.10225,0.0872,0.05984,0.02834
Sport-Club Freiburg,0.0017,0.01605,0.03849,0.06313,0.08646,0.1035,0.10947,0.1059,0.0998,0.08778,0.07756,0.064,0.0519,0.03918,0.02699,0.01703,0.00865,0.00241
TSG Hoffenheim,0.00046,0.00556,0.01774,0.0347,0.05372,0.0719,0.08614,0.09475,0.0984,0.09686,0.09364,0.08656,0.0766,0.06443,0.0509,0.03674,0.0221,0.00881
VfB Stuttgart,0.01716,0.10905,0.16615,0.17509,0.1486,0.11369,0.08304,0.06016,0.0425,0.0298,0.02112,0.01396,0.00897,0.00526,0.00333,0.00155,0.00048,8e-05
