team,expected_position,median_position,position_5th_percentile,position_25th_percentile,position_75th_percentile,position_95th_percentile,expected_points,points_5th_percentile,points_25th_percentile,median_points,points_75th_percentile,points_95th_percentile,expected_wins,expected_draws,expected_losses,expected_goals_for,expected_goals_against,expected_goal_difference,title_probability,top_4_probability,top_5_probability,top_half_probability,relegation_probability,most_likely_finish,model_version,generated_at
Arsenal,1.862,2,1,1,2,4,81.49,66.0,76.0,82.0,88.0,96.0,24.62,7.63,5.75,72.1,28.41,43.7,0.49952,0.95722,0.97691,0.99865,0.0,1,0.1.0-phase1,2026-09-10T10:07:52+00:00
Manchester City,2.109,2,1,1,2,5,79.73,64.0,74.0,80.0,86.0,94.0,24.19,7.16,6.65,79.14,36.21,42.93,0.40411,0.93528,0.96285,0.99733,2e-05,1,0.1.0-phase1,2026-09-10T10:07:52+00:00
Liverpool,5.658,5,2,3,7,13,64.53,48.0,58.0,65.0,71.0,80.0,18.33,9.54,10.13,71.55,50.21,21.35,0.03564,0.47296,0.58923,0.89404,0.00281,3,0.1.0-phase1,2026-09-10T10:07:52+00:00
Chelsea,7.404,7,2,4,10,15,59.93,44.0,53.0,60.0,67.0,76.0,17.36,7.85,12.79,67.13,56.48,10.65,0.01301,0.28155,0.38927,0.77844,0.00958,4,0.1.0-phase1,2026-09-10T10:07:52+00:00
Newcastle United,8.229,8,3,5,11,16,57.75,42.0,51.0,58.0,64.0,74.0,15.94,9.93,12.13,63.01,53.32,9.69,0.00823,0.21046,0.30805,0.71237,0.0152,5,0.1.0-phase1,2026-09-10T10:07:52+00:00
Manchester United,8.411,8,3,5,11,16,57.3,41.0,51.0,57.0,64.0,73.0,16.16,8.82,13.02,65.92,56.59,9.33,0.00822,0.20212,0.29458,0.69474,0.01735,5,0.1.0-phase1,2026-09-10T10:07:52+00:00
Brighton & Hove Albion,8.909,8,3,6,12,16,56.01,40.0,49.0,56.0,63.0,72.0,15.63,9.13,13.25,62.62,53.16,9.46,0.00546,0.16548,0.24956,0.65294,0.02279,6,0.1.0-phase1,2026-09-10T10:07:52+00:00
Brentford,8.996,9,3,6,12,16,55.87,40.0,49.0,56.0,62.0,72.0,15.24,10.15,12.61,58.7,51.07,7.63,0.00542,0.16414,0.24588,0.64186,0.0234,6,0.1.0-phase1,2026-09-10T10:07:52+00:00
AFC Bournemouth,9.934,10,3,6,13,17,53.67,38.0,47.0,54.0,60.0,70.0,14.48,10.24,13.29,57.76,52.8,4.96,0.00277,0.11559,0.18185,0.55715,0.03924,9,0.1.0-phase1,2026-09-10T10:07:52+00:00
Aston Villa,10.757,11,4,7,14,18,51.86,36.0,45.0,52.0,59.0,68.0,14.19,9.29,14.52,52.46,53.04,-0.58,0.00164,0.08311,0.13571,0.47768,0.05572,12,0.1.0-phase1,2026-09-10T10:07:52+00:00
Leeds United,10.818,11,4,7,14,18,51.79,35.0,45.0,52.0,59.0,69.0,13.74,10.58,13.68,49.39,50.27,-0.88,0.00315,0.09493,0.14781,0.47209,0.06696,12,0.1.0-phase1,2026-09-10T10:07:52+00:00
Everton,10.914,11,4,8,14,18,51.49,36.0,45.0,51.0,58.0,67.0,13.5,10.98,13.52,48.26,48.18,0.08,0.00164,0.07391,0.12289,0.4614,0.05496,11,0.1.0-phase1,2026-09-10T10:07:52+00:00
Nottingham Forest,11.607,12,4,8,15,18,49.82,34.0,43.0,50.0,56.0,66.0,13.03,10.74,14.24,48.29,49.32,-1.03,0.0011,0.05597,0.0953,0.39658,0.07736,13,0.1.0-phase1,2026-09-10T10:07:52+00:00
Sunderland,12.551,13,5,9,16,19,47.57,31.0,40.0,47.0,54.0,65.0,12.46,10.19,15.35,42.45,48.67,-6.22,0.00127,0.0475,0.07851,0.31828,0.13164,16,0.1.0-phase1,2026-09-10T10:07:52+00:00
Crystal Palace,13.285,14,6,11,17,19,46.07,31.0,39.0,46.0,52.0,62.0,12.56,8.4,17.04,48.52,60.57,-12.05,0.00031,0.02438,0.04509,0.2491,0.15165,17,0.1.0-phase1,2026-09-10T10:07:52+00:00
Fulham,14.106,15,7,12,17,19,43.75,28.0,37.0,44.0,50.0,60.0,11.78,8.42,17.81,49.01,58.87,-9.86,0.00012,0.01498,0.029,0.18786,0.20815,17,0.1.0-phase1,2026-09-10T10:07:52+00:00
Tottenham Hotspur,14.436,15,7,12,17,19,43.09,28.0,37.0,43.0,49.0,59.0,11.34,9.08,17.58,45.89,61.06,-15.18,0.00013,0.01243,0.02402,0.1645,0.23562,17,0.1.0-phase1,2026-09-10T10:07:52+00:00
Hull City,15.989,18,5,14,19,20,35.61,14.0,24.0,34.0,45.0,63.0,9.0,8.62,20.39,34.29,68.5,-34.21,0.00418,0.03915,0.054,0.1451,0.55627,19,0.1.0-phase1,2026-09-10T10:07:52+00:00
Ipswich Town,16.765,19,7,16,20,20,32.19,10.0,21.0,31.0,42.0,60.0,8.17,7.68,22.15,35.71,75.62,-39.91,0.00244,0.02682,0.03799,0.10968,0.63733,20,0.1.0-phase1,2026-09-10T10:07:52+00:00
Coventry City,17.259,19,7,17,20,20,29.4,7.0,18.0,28.0,39.0,57.0,7.21,7.78,23.02,32.03,71.88,-39.85,0.00164,0.02202,0.0315,0.0902,0.69394,20,0.1.0-phase1,2026-09-10T10:07:52+00:00
