team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
SV Elversberg,0.01972,0.10809,0.41954,37.65,0.07032,0.21251,0.46773,39.39,0.05059999999999999,0.10442,0.048189999999999955,1.740000000000002
FC Schalke 04,0.01074,0.08436,0.54399,33.09,0.05639,0.19803,0.50562,37.07,0.04565,0.11367000000000001,-0.038370000000000015,3.979999999999997
SC Paderborn 07,0.01016,0.07774,0.55831,32.43,0.04358,0.178,0.54897,34.07,0.03342,0.10025999999999999,-0.009340000000000015,1.6400000000000006
RB Leipzig,0.00966,0.33628,0.00482,56.24,0.01032,0.37451,0.00157,58.3,0.0006599999999999991,0.038229999999999986,-0.0032499999999999994,2.059999999999995
Sport-Club Freiburg,0.0017,0.11938,0.02808,49.21,0.00232,0.16245,0.0081,52.44,0.0006200000000000001,0.04307000000000001,-0.01998,3.229999999999997
Eintracht Frankfurt,0.00053,0.05562,0.07116,44.99,0.00054,0.07252,0.028,47.86,1.0000000000000026e-05,0.0169,-0.043160000000000004,2.8699999999999974
1. FC Union Berlin,3e-05,0.00828,0.25706,37.13,0.0,0.00225,0.29652,34.68,-3e-05,-0.006029999999999999,0.039459999999999995,-2.450000000000003
SV Werder Bremen,7e-05,0.0155,0.17537,39.69,1e-05,0.01051,0.13316,39.86,-5.9999999999999995e-05,-0.00499,-0.04221,0.1700000000000017
Hamburger SV,6e-05,0.00624,0.42319,33.44,0.0,0.00144,0.50695,30.33,-6e-05,-0.0048,0.08376,-3.1099999999999994
Borussia Mönchengladbach,9e-05,0.01749,0.17225,39.79,3e-05,0.00436,0.22169,36.81,-6.000000000000001e-05,-0.01313,0.04944000000000001,-2.979999999999997
TSG Hoffenheim,0.00046,0.05846,0.06764,45.22,0.00036,0.06512,0.03138,47.34,-9.999999999999999e-05,0.006659999999999999,-0.03626000000000001,2.1200000000000045
1. FC Köln,0.00014,0.01842,0.19664,39.42,3e-05,0.00998,0.17647,38.67,-0.00010999999999999999,-0.00844,-0.02017000000000002,-0.75
FC Augsburg,0.0007,0.06375,0.05416,45.89,0.00039,0.05305,0.03212,46.64,-0.00031,-0.010700000000000001,-0.022039999999999997,0.75
1. FSV Mainz 05,0.00188,0.12982,0.02494,49.55,0.00029,0.04862,0.03842,45.91,-0.0015899999999999998,-0.0812,0.013480000000000002,-3.6400000000000006
VfB Stuttgart,0.01716,0.46744,0.00212,59.28,0.00601,0.31174,0.00268,56.84,-0.011150000000000002,-0.1557,0.0005600000000000002,-2.4399999999999977
Borussia Dortmund,0.11055,0.81993,0.0001,68.32,0.09494,0.80878,2e-05,69.02,-0.015609999999999999,-0.011149999999999993,-8e-05,0.7000000000000028
Bayer 04 Leverkusen,0.0377,0.6202,0.00064,62.55,0.0168,0.49371,0.0006,60.91,-0.0209,-0.12649,-4.0000000000000105e-05,-1.6400000000000006
FC Bayern München,0.77866,0.99299,0.0,81.07,0.69767,0.99242,0.0,81.71,-0.08099,-0.0005700000000000705,0.0,0.6400000000000006
