team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
FC Barcelona,0.77916,0.99869,0.0,91.23,0.83655,0.99918,0.0,92.04,0.05739000000000005,0.0004899999999999904,0.0,0.8100000000000023
Atlético de Madrid,0.02396,0.77284,0.00012,71.08,0.03196,0.83933,1e-05,73.21,0.008000000000000004,0.06649000000000005,-0.00011,2.1299999999999955
Rayo Vallecano,1e-05,0.03276,0.0845,48.59,2e-05,0.02688,0.08401,48.19,1e-05,-0.005879999999999996,-0.0004900000000000043,-0.4000000000000057
Celta Vigo,1e-05,0.02557,0.10788,47.17,2e-05,0.0433,0.05436,49.95,1e-05,0.01773,-0.053520000000000005,2.780000000000001
Real Sociedad,6e-05,0.04736,0.05901,50.44,7e-05,0.0725,0.02911,53.08,9.999999999999992e-06,0.025139999999999996,-0.0299,2.6400000000000006
Málaga CF,0.0,0.00249,0.59704,34.43,0.0,0.00135,0.65049,32.99,0.0,-0.00114,0.05345,-1.4399999999999977
Elche CF,0.0,0.00665,0.32086,40.74,0.0,0.0122,0.19504,44.03,0.0,0.005550000000000001,-0.12582,3.289999999999999
Getafe CF,0.0,0.00535,0.2462,41.99,0.0,0.00653,0.19242,43.27,0.0,0.0011800000000000005,-0.053779999999999994,1.2800000000000011
Valencia CF,0.0,0.0077,0.22023,43.14,0.0,0.00377,0.27718,41.36,0.0,-0.00393,0.05694999999999997,-1.7800000000000011
RC Deportivo,2e-05,0.00707,0.40202,39.15,1e-05,0.00487,0.41811,38.64,-1e-05,-0.0021999999999999997,0.016089999999999993,-0.509999999999998
CA Osasuna,1e-05,0.01454,0.157,45.35,0.0,0.01067,0.1657,44.71,-1e-05,-0.00387,0.008699999999999986,-0.6400000000000006
Villarreal CF,0.00096,0.24014,0.0067,59.07,0.00095,0.26372,0.00389,59.95,-1.0000000000000026e-05,0.023580000000000018,-0.0028100000000000004,0.8800000000000026
R. Racing Club,2e-05,0.0061,0.44624,38.22,0.0,0.00393,0.49701,37.06,-2e-05,-0.00217,0.05076999999999998,-1.1599999999999966
RCD Espanyol de Barcelona,2e-05,0.02798,0.10188,47.5,0.0,0.01127,0.16054,44.61,-2e-05,-0.016710000000000003,0.05865999999999999,-2.8900000000000006
Deportivo Alavés,6e-05,0.05108,0.05262,50.44,3e-05,0.04409,0.04745,50.36,-3e-05,-0.006990000000000003,-0.005170000000000001,-0.0799999999999983
Levante UD,5e-05,0.03105,0.14806,46.52,2e-05,0.01966,0.168,45.36,-3e-05,-0.01139,0.019940000000000013,-1.1600000000000037
Athletic Club,0.00033,0.11532,0.02414,54.47,0.0002,0.09182,0.02617,53.66,-0.00013,-0.023500000000000007,0.002029999999999997,-0.8100000000000023
Sevilla FC,0.00022,0.08896,0.02483,53.67,4e-05,0.06774,0.02992,52.64,-0.00018,-0.021220000000000003,0.005089999999999997,-1.0300000000000011
Real Betis,0.00744,0.54455,0.00064,66.21,0.0053,0.51287,0.00061,65.63,-0.0021400000000000004,-0.03167999999999993,-3.000000000000008e-05,-0.5799999999999983
Real Madrid,0.18768,0.9738,0.0,81.81,0.12481,0.96431,0.0,80.06,-0.06287000000000001,-0.009489999999999998,0.0,-1.75
