match_id,matchweek,home_team,away_team,actual_result,predicted_probability_of_actual_outcome,home_win_prob,draw_prob,away_win_prob,surprise_log_loss,generated_at
EPL2627_MW04_035_CrystalPalace_IpswichTown,4,Crystal Palace,Ipswich Town,away_win,0.1633,0.6129,0.2238,0.1633,1.8122,2026-09-15T02:23:33+00:00
EPL2627_MW04_037_Liverpool_Fulham,4,Liverpool,Fulham,draw,0.2166,0.6224,0.2166,0.161,1.5297,2026-09-15T02:23:33+00:00
EPL2627_MW04_031_AFCBournemouth_Brentford,4,AFC Bournemouth,Brentford,draw,0.2589,0.3938,0.2589,0.3473,1.3513,2026-09-15T02:23:33+00:00
EPL2627_MW04_040_TottenhamHotspur_Everton,4,Tottenham Hotspur,Everton,draw,0.2714,0.4311,0.2714,0.2975,1.3042,2026-09-15T02:23:33+00:00
EPL2627_MW04_032_AstonVilla_NottinghamForest,4,Aston Villa,Nottingham Forest,away_win,0.3081,0.4139,0.2781,0.3081,1.1773,2026-09-15T02:23:33+00:00
EPL2627_MW04_033_Chelsea_HullCity,4,Chelsea,Hull City,draw,0.325,0.4765,0.325,0.1985,1.1239,2026-09-15T02:23:33+00:00
EPL2627_MW04_036_LeedsUnited_NewcastleUnited,4,Leeds United,Newcastle United,home_win,0.3964,0.3964,0.2627,0.3409,0.9253,2026-09-15T02:23:33+00:00
EPL2627_MW04_038_ManchesterUnited_ManchesterCity,4,Manchester United,Manchester City,away_win,0.4571,0.2986,0.2443,0.4571,0.7829,2026-09-15T02:23:33+00:00
EPL2627_MW04_034_CoventryCity_Brighton&HoveAlbion,4,Coventry City,Brighton & Hove Albion,away_win,0.5946,0.1492,0.2563,0.5946,0.5199,2026-09-15T02:23:33+00:00
EPL2627_MW04_039_Sunderland_Arsenal,4,Sunderland,Arsenal,away_win,0.5951,0.1412,0.2638,0.5951,0.519,2026-09-15T02:23:33+00:00
