team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
AS Monaco,0.04392,0.34342,0.00996,55.16,0.07673,0.45298,0.00444,57.78,0.032810000000000006,0.10955999999999999,-0.00552,2.6200000000000045
Paris FC,0.01174,0.12244,0.08935,46.24,0.0277,0.2127,0.04067,50.42,0.01596,0.09026,-0.04868,4.18
RC Strasbourg Alsace,0.0093,0.12918,0.05043,48.11,0.01758,0.18602,0.02896,50.58,0.00828,0.05684,-0.021470000000000003,2.469999999999999
LOSC Lille,0.07098,0.45403,0.0043,57.89,0.0774,0.47151,0.00393,58.11,0.006419999999999995,0.017479999999999996,-0.00036999999999999967,0.21999999999999886
Stade Rennais FC,0.02505,0.25306,0.01959,52.53,0.03099,0.27642,0.01535,53.21,0.005940000000000001,0.023359999999999992,-0.004239999999999999,0.6799999999999997
Paris Saint-Germain,0.54297,0.91244,5e-05,71.26,0.54509,0.90892,6e-05,70.5,0.0021200000000000108,-0.0035200000000000786,9.999999999999999e-06,-0.7600000000000051
Estac Troyes,0.00068,0.01025,0.5321,31.3,0.001,0.01516,0.47474,33.46,0.00031999999999999997,0.0049099999999999994,-0.05736000000000002,2.16
Toulouse FC,0.00253,0.05501,0.1147,43.33,0.00272,0.05151,0.11828,43.14,0.00019000000000000006,-0.003500000000000003,0.00358,-0.18999999999999773
Angers SCO,6e-05,0.00203,0.60064,29.92,0.00016,0.00526,0.43283,33.87,0.00010000000000000002,0.00323,-0.16780999999999996,3.9499999999999957
Havre Athletic Club,0.00019,0.00689,0.39446,34.39,0.00022,0.00808,0.36688,35.31,2.9999999999999997e-05,0.00119,-0.027579999999999993,0.9200000000000017
Stade Brestois 29,0.00131,0.03209,0.17112,40.69,0.00126,0.02852,0.18359,40.39,-4.9999999999999914e-05,-0.0035700000000000003,0.012470000000000009,-0.29999999999999716
Le Mans FC,0.00067,0.00998,0.5387,31.15,0.00056,0.00875,0.58387,30.45,-0.00011000000000000007,-0.0012299999999999985,0.04517000000000004,-0.6999999999999993
OGC Nice,0.00152,0.03514,0.15946,41.18,0.00073,0.01853,0.23794,38.71,-0.0007900000000000001,-0.016609999999999996,0.07848000000000002,-2.469999999999999
AJ Auxerre,0.0014,0.033,0.18787,40.42,0.00051,0.014,0.30745,36.98,-0.00089,-0.019000000000000003,0.11957999999999999,-3.440000000000005
FC Lorient,0.00479,0.0733,0.11577,43.9,0.00227,0.04083,0.18355,40.9,-0.00252,-0.032470000000000006,0.06777999999999999,-3.0
Olympique Lyonnais,0.0608,0.41316,0.00617,56.91,0.0486,0.35384,0.00878,55.26,-0.012200000000000003,-0.05932000000000004,0.0026099999999999995,-1.6499999999999986
Olympique de Marseille,0.08892,0.50614,0.00373,58.97,0.065,0.42188,0.00581,56.84,-0.023919999999999997,-0.08426000000000006,0.0020800000000000003,-2.1299999999999955
RC Lens,0.13318,0.60846,0.0016,61.45,0.10148,0.52508,0.00289,59.21,-0.03169999999999999,-0.08338000000000001,0.0012900000000000001,-2.240000000000002
