team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability,finish_19_probability,finish_20_probability
Atalanta,0.01114,0.03627,0.06952,0.09685,0.1197,0.13645,0.14096,0.1255,0.09406,0.0631,0.04172,0.02657,0.01651,0.01013,0.00566,0.00324,0.00154,0.00072,0.00032,4e-05
Bologna,0.00021,0.00132,0.0041,0.00857,0.01688,0.02921,0.04823,0.07264,0.1008,0.11635,0.11696,0.10975,0.09726,0.08162,0.06591,0.05076,0.03636,0.02432,0.01374,0.005
Cagliari,0.00056,0.0029,0.00802,0.01623,0.02753,0.04532,0.06744,0.09641,0.12271,0.12619,0.11685,0.10118,0.08367,0.06501,0.04796,0.03262,0.02111,0.01147,0.00534,0.00148
Como,0.06478,0.12714,0.1644,0.15589,0.13787,0.11412,0.08769,0.06094,0.03785,0.02224,0.01282,0.00688,0.00368,0.00194,0.00092,0.00056,0.00018,4e-05,4e-05,0.0
Fiorentina,0.00014,0.00065,0.00198,0.00548,0.01068,0.01971,0.0331,0.05393,0.07778,0.09696,0.10868,0.11116,0.10743,0.09796,0.08418,0.06997,0.05431,0.03714,0.02117,0.00757
Frosinone,3e-05,0.00021,0.00048,0.00108,0.00222,0.00466,0.00841,0.01435,0.02356,0.03341,0.04406,0.05624,0.06722,0.08015,0.09393,0.10779,0.11944,0.13086,0.12844,0.08346
Genoa,0.0,4e-05,0.00015,0.00041,0.00132,0.00276,0.00602,0.01233,0.02275,0.03472,0.04848,0.06465,0.0803,0.09652,0.11094,0.12108,0.12536,0.11848,0.09772,0.05596
Internazionale,0.56972,0.22541,0.1005,0.05098,0.02713,0.01412,0.00692,0.00315,0.0013,0.00049,0.00019,4e-05,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juventus,0.05376,0.11702,0.15897,0.16119,0.14432,0.12175,0.09296,0.06353,0.03901,0.02191,0.0123,0.00659,0.0034,0.00169,0.00089,0.00044,0.00018,9e-05,1e-05,0.0
Lazio,0.01224,0.03496,0.06411,0.08983,0.11378,0.13133,0.13974,0.1302,0.09986,0.06906,0.04548,0.02853,0.01846,0.01081,0.00612,0.0032,0.00143,0.00066,0.00018,4e-05
Lecce,0.0,1e-05,6e-05,0.00012,0.00046,0.00092,0.00232,0.00538,0.0102,0.01828,0.02936,0.04157,0.05788,0.07688,0.09892,0.12253,0.14674,0.16169,0.14731,0.07936
Milan,0.0336,0.08,0.12267,0.14138,0.14584,0.13457,0.1144,0.08716,0.05664,0.03577,0.0211,0.01256,0.00673,0.00407,0.00197,0.0009,0.00042,0.00015,6e-05,0.0
Monza,0.0,2e-05,0.0001,0.00024,0.00049,0.00125,0.00239,0.00464,0.00819,0.01261,0.0195,0.02579,0.03599,0.04665,0.0624,0.07998,0.10531,0.14277,0.20759,0.24408
Napoli,0.02512,0.07231,0.1168,0.13871,0.14546,0.13963,0.12147,0.09332,0.0602,0.03736,0.02173,0.01268,0.00729,0.00406,0.00204,0.00114,0.00041,0.00018,6e-05,1e-05
Parma,1e-05,7e-05,0.00018,0.0005,0.00127,0.00276,0.00605,0.01241,0.02215,0.03426,0.04828,0.06262,0.07982,0.09721,0.1116,0.12434,0.12694,0.12051,0.09728,0.05173
Roma,0.2282,0.29911,0.1804,0.1164,0.07382,0.04644,0.02753,0.01516,0.00707,0.00329,0.00144,0.0007,0.00026,0.00012,5e-05,1e-05,0.0,1e-05,0.0,0.0
Sassuolo,0.00038,0.00187,0.00512,0.01008,0.01804,0.03018,0.04825,0.07032,0.09364,0.1089,0.11246,0.108,0.09772,0.08353,0.06899,0.05412,0.04024,0.02727,0.01517,0.00569
Torino,3e-05,0.00018,0.00066,0.00189,0.00421,0.00838,0.01671,0.02872,0.04686,0.06723,0.0851,0.09966,0.10774,0.11177,0.1093,0.09791,0.08388,0.06621,0.04416,0.01941
Udinese,8e-05,0.00051,0.00177,0.00409,0.00881,0.01604,0.02847,0.04806,0.07184,0.09218,0.10433,0.11136,0.10874,0.10217,0.09027,0.0753,0.05959,0.04165,0.02514,0.00958
Venezia,0.0,1e-05,1e-05,7e-05,0.00017,0.00038,0.00094,0.00182,0.00351,0.0057,0.00915,0.01347,0.01985,0.0277,0.03795,0.05408,0.07656,0.11578,0.19628,0.43657
