team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability,finish_19_probability,finish_20_probability
Atalanta,0.06217,0.10916,0.12834,0.13443,0.12972,0.11784,0.0983,0.0748,0.05221,0.0357,0.02302,0.01457,0.00894,0.00534,0.00284,0.00149,0.00076,0.0003,6e-05,3e-05
Bologna,0.00285,0.00894,0.0178,0.02893,0.04405,0.06183,0.08159,0.10117,0.11199,0.10868,0.09911,0.08619,0.07249,0.05703,0.04412,0.03232,0.0213,0.01232,0.00557,0.00172
Cagliari,0.00028,0.00115,0.00284,0.00558,0.01014,0.01746,0.02774,0.04204,0.05788,0.07434,0.08835,0.0984,0.10342,0.1038,0.10084,0.09128,0.07529,0.05522,0.03192,0.01202
Como,0.07596,0.12359,0.1357,0.13324,0.1265,0.11104,0.0905,0.06829,0.04762,0.03268,0.02138,0.01374,0.00857,0.00524,0.00302,0.00156,0.00085,0.00034,0.00014,3e-05
Fiorentina,0.00134,0.0047,0.00986,0.01718,0.02767,0.04191,0.06086,0.081,0.09747,0.10481,0.10498,0.09789,0.08753,0.07674,0.06336,0.04905,0.0362,0.02264,0.01118,0.00362
Frosinone,4e-05,8e-05,0.00022,0.00045,0.00077,0.00138,0.00276,0.00445,0.00736,0.01105,0.01566,0.02192,0.02896,0.03926,0.05196,0.07168,0.10198,0.1505,0.21446,0.27507
Genoa,0.00022,0.001,0.00248,0.00489,0.00921,0.01713,0.02678,0.04098,0.05649,0.07243,0.08488,0.09418,0.10251,0.10297,0.10142,0.09266,0.07958,0.05945,0.03633,0.0144
Internazionale,0.52192,0.20767,0.11122,0.0671,0.04002,0.02428,0.01362,0.00709,0.00362,0.00184,0.0008,0.00051,0.00016,9e-05,6e-05,2e-05,0.0,0.0,0.0,0.0
Juventus,0.07075,0.12184,0.13771,0.13648,0.12986,0.11539,0.09264,0.06844,0.04694,0.03153,0.01991,0.0123,0.00744,0.00436,0.00228,0.00124,0.00054,0.00026,8e-05,2e-05
Lazio,0.00737,0.02048,0.03507,0.05249,0.07015,0.08927,0.10976,0.1194,0.11406,0.0974,0.08039,0.06301,0.04769,0.03495,0.0248,0.01624,0.00976,0.00521,0.00203,0.00046
Lecce,2e-05,0.00016,0.00048,0.00111,0.00227,0.00451,0.00844,0.01551,0.02402,0.0355,0.04854,0.06474,0.07989,0.0979,0.11423,0.12948,0.13344,0.11998,0.08258,0.03719
Milan,0.03386,0.06966,0.09274,0.11133,0.12077,0.12479,0.11755,0.09698,0.0746,0.05386,0.03798,0.02592,0.01637,0.01057,0.00638,0.0037,0.00185,0.00078,0.00028,4e-05
Monza,3e-05,0.0001,0.00026,0.00043,0.00093,0.0016,0.00295,0.00478,0.00766,0.01168,0.01652,0.02249,0.0302,0.04159,0.05395,0.0728,0.10272,0.15081,0.21063,0.26786
Napoli,0.08408,0.13548,0.14457,0.14013,0.1279,0.10944,0.08625,0.06231,0.04278,0.0272,0.01698,0.00995,0.0061,0.0032,0.00188,0.00101,0.00048,0.00021,5e-05,1e-05
Parma,2e-05,0.0002,0.00063,0.00132,0.00272,0.00523,0.0094,0.01564,0.02462,0.03536,0.04799,0.06216,0.07767,0.09306,0.10875,0.12221,0.12999,0.12235,0.09244,0.04823
Roma,0.13754,0.19011,0.16702,0.13949,0.11366,0.08656,0.06273,0.04148,0.02633,0.0153,0.00888,0.00523,0.00286,0.00148,0.00076,0.00036,0.00014,8e-05,1e-05,0.0
Sassuolo,0.00065,0.00226,0.00474,0.00905,0.01511,0.02404,0.03686,0.0523,0.06737,0.07968,0.08918,0.09412,0.09655,0.0936,0.0888,0.08146,0.0684,0.05132,0.03132,0.01318
Torino,0.00011,0.00065,0.00167,0.00352,0.00672,0.01194,0.02074,0.03256,0.04679,0.06258,0.0779,0.08954,0.09962,0.10623,0.10687,0.10331,0.09226,0.07118,0.04638,0.01942
Udinese,0.00077,0.0027,0.00651,0.01241,0.0212,0.03294,0.04842,0.067,0.08393,0.0989,0.10388,0.10322,0.09702,0.08654,0.07526,0.06147,0.04682,0.02976,0.01577,0.00548
Venezia,2e-05,4e-05,0.00017,0.00042,0.00064,0.00142,0.00212,0.00376,0.00627,0.00947,0.01367,0.01994,0.02603,0.03604,0.04841,0.06664,0.09765,0.14729,0.21876,0.30123
