team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability,finish_19_probability,finish_20_probability
Athletic Club,0.00028,0.00296,0.01184,0.0246,0.04046,0.05398,0.06492,0.071,0.07381,0.07672,0.07712,0.077,0.07434,0.0735,0.07081,0.06564,0.05959,0.04649,0.02664,0.0083
Atlético de Madrid,0.03264,0.12076,0.20751,0.19217,0.14475,0.09792,0.06497,0.04329,0.03005,0.02031,0.01492,0.01067,0.00721,0.00514,0.0035,0.00212,0.0012,0.00057,0.00026,4e-05
CA Osasuna,0.00056,0.00558,0.01846,0.03482,0.05235,0.07001,0.07701,0.08099,0.08211,0.0812,0.07735,0.07538,0.07024,0.06615,0.05932,0.05294,0.0431,0.03096,0.01686,0.0046
Celta Vigo,0.00049,0.00438,0.01699,0.03327,0.05073,0.06643,0.07746,0.08197,0.08303,0.08129,0.07891,0.07558,0.07059,0.06599,0.06011,0.05364,0.04449,0.0329,0.01704,0.00473
Deportivo Alavés,0.00021,0.00235,0.00968,0.02008,0.03383,0.04768,0.05869,0.06589,0.07136,0.07661,0.07755,0.0791,0.07926,0.07799,0.07683,0.07261,0.06444,0.05008,0.02798,0.0078
Elche CF,7e-05,0.00083,0.00411,0.0093,0.01656,0.02422,0.03145,0.03808,0.044,0.04988,0.05525,0.06134,0.06938,0.07738,0.08704,0.09826,0.11348,0.11308,0.07848,0.0278
FC Barcelona,0.65937,0.2213,0.07567,0.02724,0.01009,0.00378,0.0014,0.00064,0.00028,0.00012,5e-05,2e-05,3e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0
Getafe CF,0.00016,0.00133,0.00572,0.01267,0.0222,0.03326,0.04351,0.05165,0.06042,0.06624,0.07087,0.07557,0.08122,0.08592,0.08805,0.09132,0.08786,0.07129,0.03997,0.01076
Levante UD,0.00016,0.00186,0.00684,0.01369,0.02219,0.03153,0.03908,0.04568,0.05046,0.05562,0.06202,0.06373,0.07081,0.07648,0.08312,0.09092,0.0984,0.09563,0.06714,0.02461
Málaga CF,0.02652,0.02776,0.02802,0.02436,0.02245,0.02047,0.01912,0.01809,0.01808,0.01792,0.01838,0.0196,0.02156,0.02446,0.02834,0.03492,0.05139,0.0979,0.1932,0.28749
R. Racing Club,0.0235,0.02648,0.02569,0.02248,0.021,0.02043,0.01906,0.01786,0.0179,0.01767,0.01839,0.01924,0.02088,0.0236,0.02789,0.03588,0.05154,0.09932,0.18578,0.30542
RC Deportivo,0.0263,0.02839,0.02715,0.02405,0.02169,0.0204,0.01987,0.01865,0.01812,0.01818,0.01856,0.0197,0.02171,0.02482,0.02942,0.03751,0.05326,0.10244,0.19754,0.27223
RCD Espanyol de Barcelona,9e-05,0.00191,0.00815,0.0177,0.02981,0.04232,0.05356,0.06218,0.06765,0.07192,0.07556,0.07846,0.07894,0.08008,0.07895,0.07771,0.07232,0.05753,0.03416,0.01098
Rayo Vallecano,0.00014,0.00169,0.00766,0.01725,0.02912,0.0419,0.05256,0.06072,0.0666,0.07202,0.07466,0.07857,0.08063,0.07988,0.08036,0.07864,0.07436,0.05874,0.03413,0.01038
Real Betis,0.01638,0.06839,0.14605,0.16775,0.15399,0.11973,0.08816,0.0641,0.04725,0.03578,0.02704,0.02032,0.01506,0.01108,0.00773,0.00529,0.00324,0.00174,0.00078,0.00016
Real Madrid,0.19332,0.39488,0.20652,0.10294,0.05054,0.02463,0.01228,0.00665,0.00352,0.00196,0.00122,0.00072,0.00042,0.00018,0.00012,7e-05,3e-05,1e-05,0.0,0.0
Real Sociedad,0.0002,0.00212,0.00953,0.02114,0.03547,0.05127,0.06197,0.06825,0.07311,0.07532,0.07778,0.07774,0.07791,0.07488,0.07416,0.06924,0.06211,0.04933,0.02901,0.00945
Sevilla FC,0.0008,0.00674,0.02197,0.0409,0.06139,0.07691,0.0852,0.08611,0.08482,0.08051,0.07676,0.07147,0.0667,0.06021,0.05343,0.04603,0.03698,0.02586,0.01351,0.00371
Valencia CF,0.0001,0.00139,0.00608,0.01416,0.02578,0.03792,0.04809,0.0591,0.06396,0.06913,0.07416,0.07832,0.08018,0.08272,0.08405,0.08255,0.07924,0.06468,0.03698,0.0114
Villarreal CF,0.0187,0.0789,0.15637,0.17942,0.1556,0.11524,0.08164,0.05909,0.04347,0.0316,0.02344,0.01749,0.01291,0.00954,0.00676,0.0047,0.00296,0.00146,0.00056,0.00014
