team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
Borussia Dortmund,0.08195,0.82015,0.00018,67.35,0.11055,0.81993,0.0001,68.32,0.0286,-0.00021999999999999797,-8e-05,0.9699999999999989
SV Elversberg,0.0004,0.02628,0.42848,34.75,0.01972,0.10809,0.41954,37.65,0.01932,0.08181000000000001,-0.008940000000000003,2.8999999999999986
Bayer 04 Leverkusen,0.02197,0.57202,0.00208,60.51,0.0377,0.6202,0.00064,62.55,0.015729999999999997,0.04818,-0.0014399999999999999,2.039999999999999
FC Schalke 04,0.00016,0.01611,0.53906,31.54,0.01074,0.08436,0.54399,33.09,0.010579999999999999,0.06825,0.00492999999999999,1.5500000000000043
SC Paderborn 07,0.00019,0.01903,0.49937,32.63,0.01016,0.07774,0.55831,32.43,0.009970000000000001,0.058710000000000005,0.05893999999999999,-0.20000000000000284
VfB Stuttgart,0.01092,0.44718,0.00508,57.83,0.01716,0.46744,0.00212,59.28,0.0062400000000000025,0.02026,-0.0029600000000000004,1.4500000000000028
1. FSV Mainz 05,0.00057,0.07622,0.08045,45.36,0.00188,0.12982,0.02494,49.55,0.00131,0.053599999999999995,-0.05550999999999999,4.189999999999998
Sport-Club Freiburg,0.00094,0.10924,0.05213,47.48,0.0017,0.11938,0.02808,49.21,0.0007599999999999999,0.010139999999999996,-0.024050000000000002,1.730000000000004
FC Augsburg,0.00014,0.03179,0.15677,41.25,0.0007,0.06375,0.05416,45.89,0.00056,0.03196,-0.10260999999999999,4.640000000000001
SV Werder Bremen,2e-05,0.00978,0.32744,36.25,7e-05,0.0155,0.17537,39.69,4.9999999999999996e-05,0.005719999999999999,-0.15207,3.4399999999999977
1. FC Union Berlin,8e-05,0.01988,0.21412,39.27,3e-05,0.00828,0.25706,37.13,-5.000000000000001e-05,-0.0116,0.042940000000000006,-2.1400000000000006
1. FC Köln,0.0002,0.03735,0.17735,41.17,0.00014,0.01842,0.19664,39.42,-6.000000000000002e-05,-0.018930000000000002,0.01929,-1.75
Borussia Mönchengladbach,0.00016,0.0346,0.1547,41.59,9e-05,0.01749,0.17225,39.79,-7.000000000000001e-05,-0.01711,0.017549999999999982,-1.8000000000000043
Hamburger SV,0.00026,0.03123,0.2526,38.91,6e-05,0.00624,0.42319,33.44,-0.00019999999999999998,-0.024990000000000002,0.17059000000000002,-5.469999999999999
TSG Hoffenheim,0.00066,0.09233,0.06551,46.5,0.00046,0.05846,0.06764,45.22,-0.00019999999999999998,-0.03387,0.002130000000000007,-1.2800000000000011
Eintracht Frankfurt,0.00136,0.13776,0.04152,48.82,0.00053,0.05562,0.07116,44.99,-0.0008300000000000001,-0.08213999999999999,0.02964,-3.8299999999999983
RB Leipzig,0.01883,0.52226,0.00315,59.52,0.00966,0.33628,0.00482,56.24,-0.00917,-0.18597999999999992,0.0016699999999999996,-3.280000000000001
FC Bayern München,0.86118,0.99678,0.0,83.07,0.77866,0.99299,0.0,81.07,-0.08251999999999993,-0.00378999999999996,0.0,-2.0
