team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
Paris Saint-Germain,0.46615,0.87855,5e-05,68.64,0.52788,0.9179,2e-05,70.0,0.06173000000000001,0.039349999999999996,-3e-05,1.3599999999999994
Olympique Lyonnais,0.06396,0.39105,0.00315,56.63,0.10232,0.54955,0.00119,59.75,0.03835999999999999,0.15849999999999997,-0.00196,3.1199999999999974
AS Monaco,0.13326,0.57824,0.00087,60.9,0.1662,0.67685,0.00037,62.83,0.03294,0.09860999999999998,-0.0005,1.9299999999999997
Paris FC,0.03662,0.25017,0.01561,52.62,0.04315,0.31592,0.00938,54.52,0.006530000000000001,0.06574999999999998,-0.006230000000000001,1.9000000000000057
Toulouse FC,0.00127,0.02805,0.12352,41.62,0.00162,0.03875,0.10002,43.11,0.00034999999999999983,0.010700000000000001,-0.023500000000000007,1.490000000000002
AJ Auxerre,0.00041,0.01068,0.25301,37.45,0.00063,0.01787,0.19406,39.69,0.00022000000000000003,0.00719,-0.05895,2.239999999999995
OGC Nice,0.00017,0.00667,0.29671,36.05,0.00038,0.01283,0.21142,38.89,0.00021,0.00616,-0.08528999999999998,2.8400000000000034
Angers SCO,5e-05,0.002,0.45907,32.52,9e-05,0.00342,0.38583,34.62,4e-05,0.0014199999999999998,-0.07323999999999997,2.0999999999999943
Le Mans FC,0.00014,0.00272,0.59898,29.6,0.00014,0.00376,0.56853,31.08,0.0,0.0010399999999999997,-0.030449999999999977,1.4799999999999969
Havre Athletic Club,6e-05,0.00239,0.44691,32.64,2e-05,0.00152,0.51745,31.83,-3.9999999999999996e-05,-0.0008700000000000001,0.07053999999999999,-0.8100000000000023
Estac Troyes,0.00016,0.00346,0.553,30.87,6e-05,0.0024,0.64344,29.37,-0.00010000000000000002,-0.0010600000000000002,0.09043999999999996,-1.5
Stade Brestois 29,0.00124,0.03065,0.11716,41.84,0.00054,0.0197,0.16479,40.27,-0.0007,-0.010950000000000001,0.04762999999999999,-1.5700000000000003
FC Lorient,0.00321,0.04717,0.10168,43.13,0.00133,0.029,0.15331,41.05,-0.0018800000000000002,-0.018169999999999995,0.051629999999999995,-2.0800000000000054
RC Strasbourg Alsace,0.02677,0.23495,0.00999,52.83,0.01495,0.18554,0.01666,51.16,-0.011819999999999999,-0.04940999999999998,0.006670000000000001,-1.6700000000000017
Olympique de Marseille,0.02632,0.23906,0.01071,52.72,0.01404,0.19647,0.01568,51.32,-0.01228,-0.04258999999999999,0.004969999999999999,-1.3999999999999986
RC Lens,0.04427,0.32372,0.00558,54.87,0.0249,0.26592,0.00843,53.25,-0.01937,-0.05780000000000002,0.00285,-1.6199999999999974
Stade Rennais FC,0.06292,0.3922,0.00334,56.85,0.02996,0.28593,0.0078,54.18,-0.03296,-0.10626999999999998,0.0044599999999999996,-2.6700000000000017
LOSC Lille,0.13302,0.57827,0.00064,60.93,0.07176,0.47667,0.00163,58.33,-0.061259999999999995,-0.10159999999999997,0.00099,-2.6000000000000014
