team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability,finish_19_probability,finish_20_probability
Atalanta,0.03904,0.08623,0.12216,0.13929,0.14492,0.1372,0.11578,0.08691,0.05429,0.03299,0.01814,0.01098,0.00588,0.0033,0.00157,0.00076,0.00032,0.00016,4e-05,2e-05
Bologna,0.00064,0.00296,0.00722,0.01474,0.02652,0.04306,0.06854,0.09719,0.12387,0.1261,0.11495,0.0972,0.08105,0.06455,0.04851,0.03458,0.02365,0.01442,0.00748,0.00277
Cagliari,0.00015,0.0007,0.00209,0.00487,0.00966,0.01766,0.03105,0.051,0.07531,0.0946,0.10695,0.11114,0.10839,0.10147,0.08882,0.07312,0.05548,0.0376,0.02181,0.00813
Como,0.11171,0.17618,0.1753,0.1525,0.12404,0.09486,0.0687,0.04317,0.02496,0.01364,0.00709,0.00396,0.00189,0.001,0.0005,0.00031,0.00014,3e-05,1e-05,0.0
Fiorentina,0.0001,0.00028,0.00133,0.00303,0.0061,0.01196,0.02343,0.03972,0.06012,0.07999,0.09615,0.10518,0.10892,0.10573,0.09876,0.08612,0.07157,0.05174,0.03407,0.0157
Frosinone,2e-05,0.0001,0.00025,0.00061,0.00132,0.00266,0.00504,0.0093,0.01601,0.02432,0.03379,0.0435,0.05472,0.06813,0.08313,0.1034,0.12142,0.14345,0.15668,0.1322
Genoa,1e-05,0.00016,0.00039,0.0013,0.00269,0.00604,0.01212,0.02318,0.03928,0.05642,0.07222,0.08739,0.09872,0.10667,0.10974,0.10931,0.09903,0.08399,0.05953,0.03181
Internazionale,0.53728,0.21996,0.11132,0.06083,0.03474,0.01915,0.00938,0.00447,0.00167,0.00074,0.00028,0.0001,4e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.0
Juventus,0.05746,0.11294,0.14386,0.15262,0.1442,0.12595,0.09909,0.06816,0.0429,0.02396,0.01359,0.00729,0.00413,0.00207,0.00103,0.00042,0.00021,8e-05,4e-05,0.0
Lazio,0.00888,0.02606,0.04732,0.07019,0.09379,0.11937,0.13887,0.14377,0.11554,0.08321,0.05639,0.03778,0.02431,0.01536,0.00932,0.00543,0.00265,0.00117,0.00047,0.00012
Lecce,0.0,2e-05,3e-05,0.0002,0.0004,0.00103,0.00252,0.0057,0.01165,0.01924,0.02993,0.04294,0.0594,0.07755,0.09956,0.12236,0.14478,0.15465,0.13994,0.08812
Milan,0.02585,0.06121,0.09284,0.11974,0.13521,0.14144,0.13243,0.10623,0.07155,0.04585,0.02892,0.01669,0.01024,0.00566,0.00317,0.00173,0.00082,0.00028,0.00012,2e-05
Monza,0.0,2e-05,9e-05,0.00024,0.00047,0.00108,0.00226,0.00416,0.00782,0.01266,0.01789,0.02525,0.03429,0.04503,0.05962,0.07855,0.10281,0.13978,0.1959,0.27208
Napoli,0.02513,0.06593,0.10153,0.12567,0.14145,0.14202,0.12957,0.10023,0.06716,0.04192,0.02543,0.01479,0.0091,0.00505,0.00263,0.00142,0.00064,0.0002,0.00011,2e-05
Parma,0.0,4e-05,0.00012,0.00029,0.00092,0.00191,0.00449,0.00904,0.01698,0.02691,0.03936,0.05349,0.06783,0.08557,0.10554,0.1204,0.13418,0.1365,0.11915,0.07728
Roma,0.1929,0.24373,0.18447,0.13341,0.09438,0.06516,0.04023,0.02324,0.01194,0.00574,0.00266,0.00125,0.00053,0.00022,9e-05,3e-05,3e-05,0.0,0.0,0.0
Sassuolo,0.00047,0.00194,0.00492,0.00932,0.01738,0.02954,0.04619,0.07062,0.0949,0.10848,0.11193,0.10588,0.09512,0.08344,0.07007,0.0562,0.04187,0.02854,0.01643,0.00675
Torino,7e-05,0.00024,0.00105,0.00272,0.00575,0.01169,0.02144,0.03851,0.0588,0.08003,0.09557,0.10564,0.10998,0.10965,0.1004,0.08723,0.07149,0.05178,0.03326,0.0147
Udinese,0.00028,0.00129,0.0037,0.00829,0.01576,0.02754,0.0475,0.07244,0.0999,0.11435,0.11528,0.11043,0.09884,0.08361,0.06845,0.05297,0.03784,0.02401,0.01268,0.00483
Venezia,1e-05,2e-05,2e-05,0.00016,0.00029,0.00068,0.00136,0.00296,0.00535,0.00885,0.01347,0.01913,0.02663,0.03591,0.04908,0.06566,0.09107,0.13161,0.20228,0.34546
