team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability
AJ Auxerre,0.0003,0.00098,0.00202,0.00402,0.00674,0.01102,0.01646,0.02512,0.03714,0.05205,0.06985,0.08767,0.10293,0.11556,0.12574,0.12548,0.119,0.09792
AS Monaco,0.14948,0.16168,0.14416,0.12239,0.10279,0.08712,0.06912,0.05437,0.0392,0.02758,0.0185,0.011,0.00639,0.00346,0.00166,0.00077,0.00025,7e-05
Angers SCO,5e-05,0.00032,0.0007,0.00149,0.00273,0.00461,0.00821,0.01363,0.0215,0.0333,0.04803,0.067,0.08727,0.11134,0.13212,0.15342,0.16629,0.14798
Estac Troyes,0.00061,0.00126,0.00214,0.00372,0.00533,0.0077,0.01139,0.01616,0.02293,0.03222,0.04397,0.05813,0.07303,0.08965,0.11046,0.13466,0.16908,0.21756
FC Lorient,0.00478,0.0107,0.01699,0.02533,0.03566,0.04578,0.05852,0.07279,0.08822,0.09881,0.10484,0.10201,0.09288,0.07888,0.06493,0.04905,0.03261,0.01721
Havre Athletic Club,0.00014,0.00044,0.00092,0.00202,0.00368,0.00642,0.0104,0.01744,0.02554,0.03939,0.05581,0.07502,0.09521,0.1163,0.13225,0.14425,0.14846,0.12632
LOSC Lille,0.12049,0.14346,0.13787,0.12534,0.11017,0.0925,0.0776,0.06157,0.04694,0.03302,0.02132,0.01359,0.00791,0.00441,0.00229,0.001,0.00042,8e-05
Le Mans FC,0.0004,0.00076,0.00148,0.00255,0.00404,0.00582,0.00826,0.01226,0.01746,0.02564,0.03513,0.04617,0.06175,0.07852,0.1013,0.13173,0.17797,0.28875
OGC Nice,0.00052,0.00155,0.00347,0.00606,0.01021,0.01598,0.02365,0.035,0.04996,0.06886,0.08722,0.10287,0.1151,0.11924,0.11525,0.10556,0.08518,0.05433
Olympique Lyonnais,0.07298,0.09787,0.10903,0.112,0.11002,0.10372,0.0946,0.08218,0.06726,0.05259,0.03802,0.02502,0.01575,0.00969,0.00517,0.00273,0.00108,0.0003
Olympique de Marseille,0.04412,0.06953,0.08784,0.0995,0.10468,0.10728,0.10304,0.09532,0.08248,0.06499,0.04922,0.03552,0.02372,0.01515,0.00917,0.00502,0.00256,0.00086
Paris FC,0.04579,0.0638,0.07472,0.08326,0.08949,0.09312,0.09442,0.09312,0.08612,0.07466,0.06071,0.04764,0.0347,0.02465,0.01639,0.01002,0.00536,0.00203
Paris Saint-Germain,0.41068,0.21519,0.1306,0.08484,0.05659,0.03824,0.0254,0.01588,0.01033,0.00585,0.00325,0.00161,0.00087,0.00037,0.00021,6e-05,3e-05,0.0
RC Lens,0.06399,0.09181,0.10622,0.1121,0.11102,0.10466,0.09839,0.08548,0.0714,0.05362,0.03809,0.0257,0.01642,0.01031,0.00594,0.00296,0.00141,0.00049
RC Strasbourg Alsace,0.03462,0.05724,0.07406,0.0865,0.09676,0.10305,0.10489,0.10116,0.08972,0.07542,0.05936,0.04373,0.02972,0.02007,0.01226,0.00694,0.00324,0.00124
Stade Brestois 29,0.00227,0.00608,0.01107,0.01745,0.02596,0.03684,0.04877,0.06484,0.08224,0.09798,0.1087,0.11149,0.10424,0.09244,0.07544,0.05716,0.03887,0.01816
Stade Rennais FC,0.04714,0.07265,0.08781,0.09648,0.10124,0.10365,0.10188,0.09331,0.08318,0.06736,0.05082,0.03694,0.02487,0.01504,0.0093,0.00519,0.00241,0.00073
Toulouse FC,0.00163,0.00468,0.0089,0.01494,0.02288,0.03249,0.045,0.06038,0.07837,0.09665,0.10714,0.10892,0.10724,0.09494,0.08013,0.06398,0.04576,0.02598
