team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
Real Madrid,0.13017,0.93688,1e-05,75.47,0.14096,0.96124,0.0,79.06,0.010789999999999994,0.024359999999999937,-1e-05,3.5900000000000034
Atlético de Madrid,0.01617,0.60016,0.00098,64.61,0.02101,0.72443,0.00031,68.98,0.0048400000000000006,0.12426999999999999,-0.00067,4.3700000000000045
Real Betis,0.00724,0.42985,0.00284,61.17,0.00827,0.53186,0.00113,64.89,0.0010299999999999997,0.10200999999999999,-0.0017100000000000001,3.719999999999999
RCD Espanyol de Barcelona,4e-05,0.02204,0.15956,43.66,6e-05,0.0387,0.09321,47.8,1.9999999999999998e-05,0.016659999999999998,-0.06635,4.140000000000001
Valencia CF,0.0,0.00763,0.28268,40.01,0.0,0.00408,0.35092,39.51,0.0,-0.0035499999999999993,0.06824000000000002,-0.5
R. Racing Club,2e-05,0.00685,0.52805,34.86,1e-05,0.00823,0.42748,38.47,-1e-05,0.0013799999999999993,-0.10056999999999999,3.6099999999999994
Elche CF,1e-05,0.01002,0.32151,39.41,0.0,0.00929,0.3127,40.78,-1e-05,-0.0007299999999999997,-0.00881000000000004,1.3700000000000045
Getafe CF,3e-05,0.01463,0.19615,42.35,1e-05,0.01244,0.20014,43.34,-1.9999999999999998e-05,-0.002190000000000001,0.003990000000000021,0.990000000000002
Málaga CF,2e-05,0.00562,0.57381,33.73,0.0,0.0045,0.5502,35.42,-2e-05,-0.0011200000000000003,-0.02361000000000002,1.6900000000000048
RC Deportivo,7e-05,0.01592,0.36773,38.87,2e-05,0.01353,0.34394,40.51,-4.9999999999999996e-05,-0.0023899999999999998,-0.023789999999999978,1.6400000000000006
Celta Vigo,7e-05,0.03736,0.1055,45.99,2e-05,0.02741,0.1242,46.22,-4.9999999999999996e-05,-0.009949999999999997,0.01870000000000001,0.22999999999999687
Sevilla FC,0.00019,0.05454,0.07625,47.96,0.00014,0.07137,0.04963,51.11,-5.000000000000002e-05,0.016830000000000005,-0.026619999999999998,3.1499999999999986
Rayo Vallecano,6e-05,0.03573,0.1079,45.85,0.0,0.02135,0.14966,45.3,-6e-05,-0.014379999999999997,0.04175999999999999,-0.5500000000000043
Levante UD,0.00018,0.05651,0.11753,46.71,4e-05,0.03953,0.14268,46.66,-0.00014000000000000001,-0.016979999999999995,0.025150000000000006,-0.05000000000000426
CA Osasuna,0.0002,0.06524,0.0642,48.82,3e-05,0.03383,0.10945,47.34,-0.00017,-0.03141000000000001,0.04525000000000001,-1.4799999999999969
Real Sociedad,0.00029,0.09544,0.03987,50.95,6e-05,0.05117,0.06849,49.61,-0.00023,-0.04427,0.028619999999999993,-1.3400000000000034
Deportivo Alavés,0.00048,0.11783,0.02813,51.93,0.00017,0.07842,0.04114,51.39,-0.00031,-0.03941,0.013010000000000004,-0.5399999999999991
Athletic Club,0.00086,0.16476,0.02071,53.78,0.00043,0.13564,0.02374,54.33,-0.00043,-0.02911999999999998,0.0030300000000000014,0.5499999999999972
Villarreal CF,0.00342,0.32513,0.0066,58.34,0.00109,0.23444,0.01098,57.62,-0.0023299999999999996,-0.09068999999999997,0.00438,-0.720000000000006
FC Barcelona,0.84048,0.99785,0.0,87.92,0.82767,0.99855,0.0,90.84,-0.012809999999999988,0.0007000000000000339,0.0,2.9200000000000017
