team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability
AJ Auxerre,0.0014,0.00512,0.01014,0.01633,0.02382,0.03394,0.04461,0.05484,0.06709,0.07856,0.08848,0.0952,0.09899,0.09932,0.09428,0.08264,0.06506,0.04017
AS Monaco,0.04392,0.085,0.10343,0.11107,0.11067,0.10576,0.09553,0.08323,0.06981,0.05555,0.0429,0.0321,0.02409,0.01642,0.01056,0.00605,0.00297,0.00095
Angers SCO,6e-05,0.00021,0.00047,0.00129,0.00223,0.00381,0.00631,0.01031,0.01518,0.02236,0.03144,0.04532,0.06146,0.08461,0.11432,0.15729,0.20833,0.23502
Estac Troyes,0.00068,0.00169,0.00306,0.00482,0.00706,0.01041,0.01426,0.01906,0.02563,0.03337,0.04311,0.05348,0.06563,0.08352,0.10211,0.12906,0.16596,0.23709
FC Lorient,0.00479,0.01349,0.0224,0.03263,0.04249,0.05249,0.0641,0.07516,0.08195,0.0876,0.09034,0.08941,0.08385,0.07674,0.0668,0.05502,0.03891,0.02184
Havre Athletic Club,0.00019,0.00089,0.00188,0.00393,0.00682,0.01109,0.0169,0.02402,0.03372,0.04432,0.05862,0.07396,0.09102,0.10908,0.1291,0.14032,0.14112,0.11302
LOSC Lille,0.07098,0.1224,0.13268,0.12798,0.1161,0.10165,0.08435,0.06756,0.05276,0.03951,0.02959,0.02106,0.01444,0.00912,0.00553,0.00278,0.00115,0.00037
Le Mans FC,0.00067,0.00163,0.00294,0.00474,0.0069,0.01032,0.0139,0.01881,0.02489,0.03266,0.04123,0.05184,0.0653,0.08289,0.10259,0.13054,0.16775,0.24042
OGC Nice,0.00152,0.00524,0.01061,0.01777,0.02616,0.03662,0.04792,0.06036,0.0726,0.08452,0.09332,0.09764,0.10111,0.09644,0.08873,0.07456,0.05447,0.03042
Olympique Lyonnais,0.0608,0.10841,0.12254,0.12141,0.11607,0.10472,0.08835,0.07366,0.05834,0.04531,0.03424,0.02494,0.017,0.01131,0.00674,0.00378,0.00177,0.00062
Olympique de Marseille,0.08892,0.14132,0.14362,0.13228,0.11401,0.09516,0.07736,0.06066,0.04543,0.03358,0.02467,0.01677,0.01081,0.00729,0.0044,0.00236,0.00102,0.00035
Paris FC,0.01174,0.02595,0.03715,0.0476,0.05743,0.06628,0.0743,0.07916,0.0834,0.08251,0.08075,0.07768,0.07101,0.0627,0.053,0.04265,0.03028,0.01642
Paris Saint-Germain,0.54297,0.20533,0.10546,0.05868,0.03572,0.02121,0.01296,0.0076,0.00467,0.0025,0.00138,0.00077,0.00045,0.00016,8e-05,3e-05,1e-05,1e-05
RC Lens,0.13318,0.1859,0.15841,0.13096,0.10398,0.08167,0.06219,0.0459,0.0332,0.02376,0.01563,0.01038,0.00667,0.00414,0.00241,0.00101,0.00049,0.0001
RC Strasbourg Alsace,0.0093,0.02502,0.04014,0.05473,0.06882,0.07976,0.09005,0.09498,0.09549,0.08995,0.08211,0.0714,0.06151,0.04865,0.03766,0.02665,0.01646,0.00732
Stade Brestois 29,0.00131,0.00523,0.00946,0.01608,0.02386,0.03427,0.0446,0.05715,0.06976,0.08208,0.09136,0.09857,0.10274,0.09951,0.0929,0.07856,0.05955,0.033
Stade Rennais FC,0.02505,0.05805,0.07824,0.09172,0.10021,0.10202,0.09998,0.0923,0.08206,0.0692,0.05699,0.04568,0.03465,0.02597,0.0183,0.01138,0.00598,0.00224
Toulouse FC,0.00253,0.00912,0.01738,0.02598,0.03765,0.04883,0.06233,0.07525,0.08405,0.09264,0.09384,0.0938,0.08928,0.08212,0.0705,0.05533,0.03873,0.02064
