team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
Manchester City,0.38486,0.88416,7e-05,77.56,0.39802,0.89842,7e-05,77.97,0.013160000000000005,0.01426000000000005,0.0,0.4099999999999966
Arsenal,0.43811,0.90456,3e-05,78.63,0.44961,0.91678,4e-05,78.99,0.01150000000000001,0.012220000000000009,1.0000000000000003e-05,0.35999999999999943
Brighton & Hove Albion,0.00872,0.14618,0.0306,55.23,0.01686,0.24196,0.01507,58.71,0.00814,0.09578,-0.015529999999999999,3.480000000000004
Brentford,0.00851,0.14286,0.03188,54.96,0.01312,0.20279,0.02062,57.38,0.0046099999999999995,0.05993000000000001,-0.01126,2.4200000000000017
Chelsea,0.01324,0.1866,0.02194,56.88,0.01696,0.24471,0.0153,58.81,0.0037199999999999993,0.05811000000000002,-0.006640000000000002,1.9299999999999997
Leeds United,0.00404,0.06865,0.11202,49.06,0.00589,0.10504,0.07514,51.95,0.00185,0.03638999999999999,-0.036879999999999996,2.8900000000000006
Everton,0.00203,0.05449,0.08337,49.43,0.00336,0.08199,0.0608,51.71,0.00133,0.027499999999999997,-0.02257,2.280000000000001
Ipswich Town,8e-05,0.00331,0.72137,29.69,0.00065,0.01146,0.61828,33.37,0.00057,0.00815,-0.1030899999999999,3.679999999999996
Hull City,0.00015,0.0034,0.7196,29.73,0.00061,0.01221,0.60768,33.69,0.00046,0.00881,-0.11192000000000002,3.9599999999999973
Coventry City,0.0001,0.0032,0.71996,29.75,0.00036,0.00863,0.67441,31.19,0.00026000000000000003,0.005430000000000001,-0.04555000000000009,1.4400000000000013
Crystal Palace,0.00124,0.03875,0.11476,47.57,0.00056,0.0228,0.18208,45.14,-0.00068,-0.01595,0.06731999999999999,-2.4299999999999997
Tottenham Hotspur,0.00145,0.04248,0.11127,47.96,0.00058,0.0245,0.17986,45.42,-0.0008699999999999999,-0.017979999999999996,0.06859,-2.539999999999999
Fulham,0.00263,0.06432,0.07669,50.12,0.00135,0.04222,0.11888,47.96,-0.0012799999999999999,-0.0221,0.042190000000000005,-2.1599999999999966
AFC Bournemouth,0.00932,0.15125,0.02976,55.38,0.0068,0.13719,0.03787,54.58,-0.0025200000000000005,-0.01405999999999999,0.00811,-0.8000000000000043
Newcastle United,0.01228,0.18276,0.02202,56.75,0.00972,0.17097,0.0272,56.16,-0.0025599999999999998,-0.011789999999999995,0.005179999999999997,-0.5900000000000034
Sunderland,0.00408,0.06536,0.12569,48.42,0.00129,0.03529,0.212,44.89,-0.0027900000000000004,-0.03007,0.08631,-3.530000000000001
Nottingham Forest,0.0057,0.10789,0.04357,53.23,0.0022,0.06586,0.08078,50.29,-0.0035,-0.04203,0.03721000000000001,-2.9399999999999977
Aston Villa,0.01384,0.19616,0.02022,57.24,0.00506,0.11142,0.04744,53.46,-0.00878,-0.08474,0.027220000000000005,-3.780000000000001
Manchester United,0.02172,0.26079,0.01245,59.47,0.01102,0.19323,0.02288,56.93,-0.0107,-0.06756000000000001,0.010430000000000002,-2.539999999999999
Liverpool,0.0679,0.49284,0.00272,65.65,0.05598,0.47252,0.00361,64.82,-0.01192,-0.020320000000000005,0.0008899999999999997,-0.8300000000000125
