team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
FC Barcelona,0.59223,0.97682,0.0,84.69,0.65937,0.98358,0.0,80.18,0.06713999999999998,0.006759999999999988,0.0,-4.509999999999991
Málaga CF,0.00016,0.00902,0.52676,36.08,0.02652,0.10665,0.57858,32.74,0.026359999999999998,0.09763,0.05181999999999998,-3.3399999999999963
RC Deportivo,0.00014,0.00886,0.52383,36.17,0.0263,0.10589,0.5722,33.03,0.02616,0.09703,0.048370000000000024,-3.1400000000000006
R. Racing Club,0.00013,0.00984,0.50686,36.67,0.0235,0.09815,0.59052,32.03,0.02337,0.08831,0.08366000000000007,-4.640000000000001
Real Betis,0.01304,0.322,0.008,61.28,0.01638,0.39856,0.00268,59.13,0.0033399999999999992,0.07656000000000002,-0.00532,-2.1499999999999986
Sevilla FC,0.00042,0.03822,0.12333,47.77,0.0008,0.0704,0.04308,47.91,0.00038,0.03218000000000001,-0.08024999999999999,0.13999999999999346
Getafe CF,0.00018,0.01871,0.19447,44.48,0.00016,0.01988,0.12202,42.08,-1.9999999999999998e-05,0.0011699999999999974,-0.07245,-2.3999999999999986
Levante UD,0.00028,0.0236,0.26178,43.35,0.00016,0.02256,0.18738,40.71,-0.00011999999999999996,-0.0010399999999999993,-0.07440000000000002,-2.6400000000000006
Valencia CF,0.00042,0.03469,0.1295,47.39,0.0001,0.02174,0.11306,42.55,-0.00032,-0.01295,-0.01644000000000001,-4.840000000000003
Rayo Vallecano,0.00049,0.04084,0.11509,48.03,0.00014,0.02674,0.10325,43.06,-0.00035,-0.014100000000000001,-0.011840000000000003,-4.969999999999999
RCD Espanyol de Barcelona,0.00062,0.04714,0.11235,48.45,9e-05,0.02785,0.10267,43.28,-0.00053,-0.01929,-0.009680000000000008,-5.170000000000002
Deportivo Alavés,0.0009,0.05575,0.09334,49.44,0.00021,0.03232,0.08585,44.05,-0.00069,-0.02343,-0.0074900000000000105,-5.390000000000001
Real Sociedad,0.00099,0.07187,0.07544,50.91,0.0002,0.033,0.08779,44.3,-0.00079,-0.03887,0.012350000000000014,-6.609999999999999
Athletic Club,0.00114,0.08219,0.0626,51.76,0.00028,0.03968,0.08143,44.86,-0.00086,-0.04251,0.01883,-6.899999999999999
Elche CF,0.00093,0.0495,0.15558,47.27,7e-05,0.01431,0.21936,39.28,-0.0008600000000000001,-0.03519,0.06378,-7.990000000000002
CA Osasuna,0.00156,0.08826,0.0551,52.3,0.00056,0.05942,0.05243,46.86,-0.001,-0.028840000000000005,-0.0026700000000000057,-5.439999999999998
Celta Vigo,0.00184,0.0981,0.05198,52.71,0.00049,0.05513,0.05467,46.42,-0.00135,-0.04297000000000001,0.002690000000000005,-6.289999999999999
Villarreal CF,0.03067,0.4961,0.00268,65.37,0.0187,0.4334,0.00216,59.65,-0.011969999999999998,-0.06269999999999998,-0.0005200000000000001,-5.720000000000006
Atlético de Madrid,0.05059,0.60126,0.00127,68.02,0.03264,0.55308,0.00088,62.32,-0.01795,-0.04818,-0.00039000000000000005,-5.699999999999996
Real Madrid,0.30328,0.92724,3e-05,79.53,0.19332,0.89766,1e-05,72.07,-0.10996,-0.02957999999999994,-1.9999999999999998e-05,-7.460000000000008
