match_id,home_goals,away_goals,source_name,source_timestamp
LALIGA2627_MW02_019_RayoVallecano_DeportivoAlavés,1,1,football-data.co.uk,2026-09-16T07:27:26+00:00
LALIGA2627_MW02_013_RealBetis_RealSociedad,1,0,football-data.co.uk,2026-09-16T07:27:26+00:00
LALIGA2627_MW02_011_AthleticClub_SevillaFC,1,3,football-data.co.uk,2026-09-16T07:27:26+00:00
LALIGA2627_MW02_020_ValenciaCF_CeltaVigo,0,0,football-data.co.uk,2026-09-16T07:27:26+00:00
LALIGA2627_MW02_015_RCDEspanyoldeBarcelona_RealMadrid,1,2,football-data.co.uk,2026-09-16T07:27:26+00:00
LALIGA2627_MW02_012_AtléticodeMadrid_VillarrealCF,2,2,football-data.co.uk,2026-09-16T07:27:26+00:00
LALIGA2627_MW02_016_GetafeCF_R.RacingClub,1,0,football-data.co.uk,2026-09-16T07:27:26+00:00
LALIGA2627_MW02_014_ElcheCF_FCBarcelona,0,5,football-data.co.uk,2026-09-16T07:27:26+00:00
LALIGA2627_MW02_018_CAOsasuna_LevanteUD,0,0,football-data.co.uk,2026-09-16T07:27:26+00:00
LALIGA2627_MW02_017_MálagaCF_RCDeportivo,1,1,football-data.co.uk,2026-09-16T07:27:26+00:00
