team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability,finish_19_probability,finish_20_probability
Athletic Club,0.00114,0.00794,0.02627,0.04684,0.06447,0.07423,0.07887,0.0789,0.07745,0.07596,0.07268,0.06776,0.0645,0.05958,0.05319,0.04824,0.03938,0.03128,0.02117,0.01015
Atlético de Madrid,0.05059,0.1372,0.23428,0.17919,0.12198,0.08168,0.05632,0.04069,0.02885,0.02039,0.01534,0.01119,0.00786,0.00555,0.00369,0.00247,0.00145,0.00085,0.00036,6e-05
CA Osasuna,0.00156,0.00895,0.02834,0.0494,0.06651,0.07618,0.08018,0.08112,0.07992,0.07684,0.07258,0.06891,0.06306,0.05762,0.05156,0.04479,0.03736,0.02835,0.01833,0.00842
Celta Vigo,0.00184,0.00981,0.03255,0.0539,0.0717,0.07964,0.08408,0.08259,0.07963,0.07619,0.07057,0.06563,0.05961,0.0553,0.04864,0.04163,0.03472,0.02656,0.01739,0.00803
Deportivo Alavés,0.0009,0.00495,0.01748,0.03242,0.0453,0.05765,0.06421,0.06852,0.07218,0.07358,0.07416,0.07349,0.0718,0.06824,0.06576,0.06172,0.0543,0.04545,0.03174,0.01615
Elche CF,0.00093,0.00496,0.01574,0.02786,0.03825,0.04711,0.05151,0.05651,0.06016,0.06139,0.06478,0.06587,0.06899,0.069,0.07107,0.07008,0.0702,0.0651,0.05516,0.03532
FC Barcelona,0.59223,0.26658,0.08618,0.03184,0.01237,0.00561,0.00264,0.00115,0.00065,0.00032,0.0002,0.00012,7e-05,3e-05,1e-05,0.0,1e-05,0.0,0.0,0.0
Getafe CF,0.00018,0.00117,0.00548,0.01188,0.01964,0.02743,0.03642,0.04364,0.05004,0.05736,0.06317,0.07013,0.07513,0.08026,0.08595,0.08854,0.08909,0.08422,0.06875,0.0415
Levante UD,0.00028,0.00201,0.00709,0.01422,0.0216,0.02801,0.03426,0.03938,0.04421,0.04866,0.05452,0.05868,0.06376,0.07017,0.07731,0.0835,0.09057,0.09523,0.09299,0.07356
Málaga CF,0.00016,0.00071,0.00281,0.00535,0.00826,0.01153,0.01479,0.01777,0.02133,0.02503,0.0292,0.03364,0.04022,0.0472,0.05716,0.06968,0.08842,0.11777,0.16492,0.24407
R. Racing Club,0.00013,0.00088,0.00304,0.00578,0.00955,0.01246,0.01593,0.01915,0.02251,0.02638,0.03069,0.03543,0.0415,0.049,0.05841,0.07142,0.09088,0.12014,0.1637,0.22303
RC Deportivo,0.00014,0.00071,0.00258,0.00542,0.0085,0.01097,0.01483,0.01772,0.02093,0.0245,0.02842,0.03372,0.04017,0.04872,0.05744,0.07036,0.09104,0.11982,0.16817,0.23583
RCD Espanyol de Barcelona,0.00062,0.0041,0.01458,0.02784,0.04139,0.05111,0.05822,0.06286,0.06812,0.06928,0.0727,0.07255,0.07379,0.0723,0.07092,0.0667,0.06056,0.05277,0.039,0.02058
Rayo Vallecano,0.00049,0.00323,0.01236,0.02475,0.03772,0.04817,0.05731,0.06297,0.06701,0.07136,0.07245,0.07443,0.07558,0.07436,0.07213,0.06826,0.06233,0.05333,0.04038,0.02138
Real Betis,0.01304,0.05023,0.11647,0.14227,0.13693,0.1129,0.09102,0.07408,0.0598,0.04864,0.03878,0.03162,0.02395,0.01916,0.01446,0.01083,0.00784,0.00468,0.00258,0.00075
Real Madrid,0.30328,0.3888,0.16196,0.0732,0.03416,0.01711,0.00894,0.00512,0.00298,0.00193,0.00108,0.00068,0.00037,0.00017,0.0001,7e-05,3e-05,2e-05,0.0,0.0
Real Sociedad,0.00099,0.00601,0.02311,0.04176,0.05702,0.06826,0.07241,0.07576,0.07545,0.0745,0.07274,0.06994,0.06714,0.06355,0.05838,0.05267,0.04488,0.03671,0.02571,0.01302
Sevilla FC,0.00042,0.00287,0.01192,0.02301,0.03536,0.04573,0.0539,0.05961,0.06494,0.0691,0.07233,0.0752,0.07549,0.07487,0.07322,0.07207,0.06664,0.0574,0.04304,0.02289
Valencia CF,0.00042,0.00264,0.01036,0.02127,0.03384,0.04589,0.05347,0.06032,0.06438,0.06876,0.0711,0.07416,0.07461,0.07554,0.07397,0.0722,0.06758,0.05862,0.04581,0.02506
Villarreal CF,0.03067,0.09626,0.18739,0.18177,0.13545,0.09832,0.0707,0.05216,0.03947,0.02982,0.02252,0.01686,0.01239,0.00938,0.00665,0.00477,0.00274,0.00168,0.00081,0.00019
