team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability
1. FC Köln,0.0002,0.0043,0.01154,0.02131,0.03406,0.0457,0.05614,0.06531,0.07383,0.07925,0.08376,0.08679,0.08802,0.08786,0.08458,0.07622,0.06321,0.03792
1. FC Union Berlin,8e-05,0.00172,0.00577,0.0123,0.0221,0.03355,0.04502,0.05654,0.06591,0.07515,0.08354,0.09089,0.09638,0.09818,0.09874,0.09148,0.07581,0.04682
1. FSV Mainz 05,0.00057,0.00956,0.02449,0.0416,0.0611,0.07694,0.08718,0.09188,0.09214,0.08904,0.08388,0.07794,0.07036,0.06133,0.05154,0.04048,0.02738,0.01259
Bayer 04 Leverkusen,0.02197,0.1648,0.20741,0.17784,0.13401,0.09236,0.06426,0.04486,0.03115,0.02147,0.0146,0.01005,0.0065,0.00421,0.00243,0.0013,0.00062,0.00016
Borussia Dortmund,0.08195,0.39374,0.21568,0.12878,0.07403,0.04207,0.02571,0.01554,0.00913,0.00567,0.00337,0.00195,0.00123,0.00067,0.00031,0.00013,4e-05,2e-05
Borussia Mönchengladbach,0.00016,0.00343,0.01024,0.02078,0.03405,0.04813,0.06075,0.07065,0.07808,0.08442,0.08929,0.09087,0.08883,0.08626,0.07937,0.0695,0.05481,0.0304
Eintracht Frankfurt,0.00136,0.02058,0.04593,0.06988,0.09164,0.10413,0.10531,0.09984,0.0903,0.08024,0.06936,0.0596,0.04965,0.0406,0.03007,0.0216,0.01398,0.00595
FC Augsburg,0.00014,0.00316,0.00955,0.01894,0.03171,0.0449,0.05644,0.06903,0.0771,0.08424,0.08977,0.09279,0.09191,0.08993,0.08361,0.07219,0.05546,0.02912
FC Bayern München,0.86118,0.10587,0.02338,0.00636,0.00206,0.00071,0.00028,9e-05,4e-05,2e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC Schalke 04,0.00016,0.00223,0.0051,0.00862,0.01198,0.01664,0.02104,0.025,0.02986,0.036,0.04146,0.04998,0.05792,0.06964,0.08531,0.11501,0.16134,0.26271
Hamburger SV,0.00026,0.00343,0.00971,0.01783,0.02668,0.0366,0.04636,0.05358,0.06058,0.06808,0.07397,0.07893,0.08639,0.09012,0.09489,0.09531,0.08963,0.06766
RB Leipzig,0.01883,0.14152,0.18788,0.17403,0.13807,0.10232,0.07203,0.05197,0.0366,0.02565,0.01823,0.01261,0.00854,0.00524,0.00334,0.00192,0.00095,0.00028
SC Paderborn 07,0.00019,0.00286,0.00606,0.00991,0.0144,0.01947,0.02432,0.02836,0.03427,0.03902,0.04568,0.05256,0.06091,0.07263,0.08999,0.11457,0.15676,0.22804
SV Elversberg,0.0004,0.00389,0.0085,0.01349,0.01895,0.02417,0.03048,0.03544,0.04056,0.04597,0.05248,0.05841,0.06744,0.07848,0.09286,0.11287,0.1422,0.17341
SV Werder Bremen,2e-05,0.00067,0.00263,0.00647,0.0116,0.0192,0.02812,0.03768,0.04753,0.0577,0.06934,0.07966,0.09166,0.10408,0.1162,0.12339,0.11726,0.08678
Sport-Club Freiburg,0.00094,0.01537,0.03543,0.0575,0.07826,0.09389,0.09859,0.09834,0.09352,0.08624,0.07683,0.06785,0.05856,0.04862,0.03793,0.02771,0.01726,0.00716
TSG Hoffenheim,0.00066,0.01231,0.03004,0.04932,0.07074,0.0881,0.0946,0.09474,0.09334,0.08845,0.07966,0.07153,0.06365,0.05399,0.04336,0.0332,0.02187,0.01044
VfB Stuttgart,0.01092,0.11056,0.16066,0.16504,0.14457,0.11113,0.08338,0.06117,0.04605,0.03339,0.02476,0.01759,0.01208,0.00815,0.00547,0.00314,0.0014,0.00054
