team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
Olympique de Marseille,0.05466,0.4054,0.01113,56.03,0.08892,0.50614,0.00373,58.97,0.03426,0.10074000000000005,-0.0073999999999999995,2.9399999999999977
RC Lens,0.09977,0.55394,0.00432,59.7,0.13318,0.60846,0.0016,61.45,0.033409999999999995,0.05452000000000001,-0.00272,1.75
Olympique Lyonnais,0.03894,0.33803,0.0161,54.32,0.0608,0.41316,0.00617,56.91,0.021859999999999997,0.07513000000000003,-0.00993,2.5899999999999963
LOSC Lille,0.05176,0.40272,0.01014,56.03,0.07098,0.45403,0.0043,57.89,0.01922,0.05130999999999997,-0.00584,1.8599999999999994
AS Monaco,0.03585,0.31563,0.01871,53.68,0.04392,0.34342,0.00996,55.16,0.00807,0.02778999999999998,-0.00875,1.4799999999999969
Estac Troyes,0.00028,0.00743,0.60236,30.2,0.00068,0.01025,0.5321,31.3,0.0004000000000000001,0.0028200000000000005,-0.07025999999999999,1.1000000000000014
Le Mans FC,0.00031,0.00729,0.60246,30.19,0.00067,0.00998,0.5387,31.15,0.00036,0.0026899999999999997,-0.06376000000000004,0.9599999999999973
Angers SCO,0.00015,0.00462,0.53899,31.73,6e-05,0.00203,0.60064,29.92,-8.999999999999999e-05,-0.00259,0.06164999999999998,-1.8099999999999987
Havre Athletic Club,0.00046,0.01482,0.35057,36.11,0.00019,0.00689,0.39446,34.39,-0.00027,-0.00793,0.043889999999999985,-1.7199999999999989
Stade Brestois 29,0.00206,0.0442,0.17945,41.26,0.00131,0.03209,0.17112,40.69,-0.0007500000000000002,-0.012110000000000003,-0.008330000000000004,-0.5700000000000003
Stade Rennais FC,0.02592,0.25903,0.02608,52.07,0.02505,0.25306,0.01959,52.53,-0.0008699999999999992,-0.005969999999999975,-0.006489999999999999,0.46000000000000085
OGC Nice,0.00242,0.05118,0.1596,42.02,0.00152,0.03514,0.15946,41.18,-0.0008999999999999998,-0.016040000000000006,-0.00014000000000000123,-0.8400000000000034
AJ Auxerre,0.00313,0.05851,0.15527,42.38,0.0014,0.033,0.18787,40.42,-0.00173,-0.025509999999999998,0.03260000000000002,-1.9600000000000009
FC Lorient,0.00669,0.09192,0.12542,44.31,0.00479,0.0733,0.11577,43.9,-0.0018999999999999998,-0.018619999999999998,-0.009650000000000006,-0.4100000000000037
Toulouse FC,0.00665,0.1068,0.08364,46.01,0.00253,0.05501,0.1147,43.33,-0.0041199999999999995,-0.05179,0.03105999999999999,-2.6799999999999997
Paris FC,0.01748,0.16955,0.08474,47.68,0.01174,0.12244,0.08935,46.24,-0.005739999999999999,-0.04711000000000001,0.004610000000000003,-1.4399999999999977
RC Strasbourg Alsace,0.0213,0.23368,0.03098,51.24,0.0093,0.12918,0.05043,48.11,-0.012,-0.10450000000000001,0.019450000000000002,-3.1300000000000026
Paris Saint-Germain,0.63218,0.93525,7e-05,72.84,0.54297,0.91244,5e-05,71.26,-0.08921000000000001,-0.022809999999999997,-1.999999999999999e-05,-1.5799999999999983
