team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
Roma,0.09751,0.53708,0.00036,69.53,0.13754,0.63416,9e-05,72.65,0.040029999999999996,0.09707999999999994,-0.00027,3.1200000000000045
Napoli,0.06979,0.45291,0.00072,67.46,0.08408,0.50426,0.00026,69.62,0.014289999999999997,0.05135000000000006,-0.00046000000000000007,2.160000000000011
Milan,0.03129,0.29047,0.00223,63.08,0.03386,0.30758,0.0011,64.65,0.002570000000000003,0.017110000000000014,-0.0011300000000000001,1.5700000000000074
Lazio,0.00574,0.09264,0.01699,54.97,0.00737,0.11541,0.00771,57.6,0.0016299999999999995,0.02277,-0.009280000000000002,2.6300000000000026
Atalanta,0.06119,0.42718,0.00086,66.81,0.06217,0.4341,0.00038,67.91,0.0009800000000000017,0.006919999999999982,-0.00047999999999999996,1.0999999999999943
Cagliari,0.00022,0.00783,0.16473,42.77,0.00028,0.00986,0.09916,45.18,5.999999999999997e-05,0.0020300000000000006,-0.06556999999999999,2.4099999999999966
Frosinone,1e-05,0.00059,0.59164,31.28,4e-05,0.00079,0.64003,29.55,3.0000000000000004e-05,0.00019999999999999998,0.04838999999999993,-1.7300000000000004
Monza,0.0,0.00052,0.59253,31.27,3e-05,0.00083,0.6293,29.87,3e-05,0.00031000000000000005,0.03676999999999997,-1.3999999999999986
Venezia,0.0,0.00055,0.59282,31.24,2e-05,0.00066,0.66728,28.83,2e-05,0.00010999999999999996,0.07445999999999997,-2.41
Lecce,2e-05,0.00106,0.38364,35.95,2e-05,0.00177,0.23975,39.13,0.0,0.0007100000000000001,-0.14389,3.1799999999999997
Parma,0.00017,0.0057,0.21631,40.89,2e-05,0.00218,0.26302,38.76,-0.00015000000000000001,-0.00352,0.046709999999999974,-2.1300000000000026
Torino,0.00034,0.01091,0.13192,44.18,0.00011,0.00595,0.13698,43.24,-0.00023,-0.004959999999999999,0.005059999999999981,-0.9399999999999977
Udinese,0.00108,0.02622,0.06832,48.15,0.00077,0.02238,0.05102,48.84,-0.00031000000000000005,-0.0038399999999999997,-0.017300000000000003,0.6900000000000048
Genoa,0.00058,0.01862,0.09459,46.24,0.00022,0.00859,0.11019,44.68,-0.00035999999999999997,-0.01003,0.015600000000000003,-1.5600000000000023
Sassuolo,0.00117,0.026,0.10063,46.74,0.00065,0.0167,0.09582,46.24,-0.0005200000000000001,-0.0093,-0.004809999999999995,-0.5
Fiorentina,0.00376,0.07058,0.02475,53.33,0.00134,0.03308,0.03743,50.69,-0.00242,-0.037500000000000006,0.012679999999999997,-2.6400000000000006
Juventus,0.07372,0.4705,0.00052,67.88,0.07075,0.46678,0.00035,68.76,-0.0029700000000000004,-0.003720000000000001,-0.00016999999999999996,0.8800000000000097
Bologna,0.00678,0.10389,0.01602,55.59,0.00285,0.05852,0.0196,53.55,-0.0039299999999999995,-0.045369999999999994,0.00358,-2.0400000000000063
Internazionale,0.53652,0.90982,0.0,81.6,0.52192,0.9079,0.0,82.03,-0.014599999999999946,-0.0019199999999999218,0.0,0.4300000000000068
Como,0.11009,0.54694,0.00043,69.78,0.07596,0.46849,0.00052,68.6,-0.034129999999999994,-0.07844999999999996,8.999999999999997e-05,-1.1800000000000068
