match_id,matchweek,home_team,away_team,actual_result,predicted_probability_of_actual_outcome,home_win_prob,draw_prob,away_win_prob,surprise_log_loss,generated_at
LALIGA2627_MW07_065_RCDEspanyoldeBarcelona_ElcheCF,7,RCD Espanyol de Barcelona,Elche CF,away_win,0.2144,0.5028,0.2828,0.2144,1.5399,2026-09-22T10:26:32+00:00
LALIGA2627_MW07_064_RCDeportivo_RealBetis,7,RC Deportivo,Real Betis,draw,0.2879,0.385,0.2879,0.3271,1.2451,2026-09-22T10:26:32+00:00
LALIGA2627_MW07_061_AthleticClub_DeportivoAlavés,7,Athletic Club,Deportivo Alavés,draw,0.2896,0.4888,0.2896,0.2216,1.2393,2026-09-22T10:26:32+00:00
LALIGA2627_MW07_067_CAOsasuna_RayoVallecano,7,CA Osasuna,Rayo Vallecano,draw,0.2986,0.4008,0.2986,0.3006,1.2087,2026-09-22T10:26:32+00:00
LALIGA2627_MW07_069_ValenciaCF_RealSociedad,7,Valencia CF,Real Sociedad,away_win,0.328,0.379,0.2929,0.328,1.1147,2026-09-22T10:26:32+00:00
LALIGA2627_MW07_062_AtléticodeMadrid_RealMadrid,7,Atlético de Madrid,Real Madrid,home_win,0.3416,0.3416,0.3076,0.3508,1.0741,2026-09-22T10:26:32+00:00
LALIGA2627_MW07_063_CeltaVigo_R.RacingClub,7,Celta Vigo,R. Racing Club,home_win,0.4853,0.4853,0.2426,0.2721,0.723,2026-09-22T10:26:32+00:00
LALIGA2627_MW07_066_GetafeCF_MálagaCF,7,Getafe CF,Málaga CF,home_win,0.5235,0.5235,0.3102,0.1663,0.6472,2026-09-22T10:26:32+00:00
LALIGA2627_MW07_070_VillarrealCF_LevanteUD,7,Villarreal CF,Levante UD,home_win,0.6242,0.6242,0.2114,0.1645,0.4713,2026-09-22T10:26:32+00:00
LALIGA2627_MW07_068_SevillaFC_FCBarcelona,7,Sevilla FC,FC Barcelona,away_win,0.7028,0.1134,0.1838,0.7028,0.3527,2026-09-22T10:26:32+00:00
