team,expected_position,median_position,position_5th_percentile,position_25th_percentile,position_75th_percentile,position_95th_percentile,expected_points,points_5th_percentile,points_25th_percentile,median_points,points_75th_percentile,points_95th_percentile,expected_wins,expected_draws,expected_losses,expected_goals_for,expected_goals_against,expected_goal_difference,title_probability,top_4_probability,top_5_probability,top_half_probability,relegation_probability,most_likely_finish,model_version,generated_at
Internazionale,1.84,1,1,1,2,5,83.72,70.0,78.0,84.0,90.0,97.0,25.63,6.84,5.53,93.8,41.68,52.12,0.56972,0.94662,0.97375,0.99973,0.0,1,0.1.0-phase1,2026-09-21T07:39:04+00:00
Roma,2.922,2,1,2,4,7,77.56,63.0,72.0,78.0,84.0,91.0,23.06,8.37,6.57,73.55,32.12,41.42,0.2282,0.82411,0.89793,0.99742,1e-05,2,0.1.0-phase1,2026-09-21T07:39:04+00:00
Como,4.8,4,1,3,6,9,69.83,54.0,64.0,70.0,76.0,85.0,20.41,8.59,9.0,65.39,39.61,25.79,0.06478,0.51221,0.65008,0.97293,8e-05,3,0.1.0-phase1,2026-09-21T07:39:04+00:00
Juventus,4.898,5,1,3,6,9,69.36,54.0,63.0,69.0,76.0,84.0,20.13,8.98,8.89,60.52,35.05,25.48,0.05376,0.49094,0.63525,0.97442,0.0001,4,0.1.0-phase1,2026-09-21T07:39:04+00:00
Milan,5.612,5,2,4,7,10,66.85,52.0,61.0,67.0,73.0,82.0,18.98,9.92,9.11,62.08,39.95,22.13,0.0336,0.37765,0.52349,0.95204,0.00022,5,0.1.0-phase1,2026-09-21T07:39:04+00:00
Napoli,5.756,6,2,4,7,10,66.26,51.0,60.0,66.0,72.0,81.0,19.09,9.0,9.91,59.54,37.14,22.4,0.02512,0.35294,0.4984,0.95039,0.00025,5,0.1.0-phase1,2026-09-21T07:39:04+00:00
Atalanta,6.882,7,3,5,9,12,62.6,48.0,56.0,63.0,69.0,77.0,18.23,7.92,11.86,57.19,41.88,15.32,0.01114,0.21378,0.33347,0.89355,0.00108,7,0.1.0-phase1,2026-09-21T07:39:04+00:00
Lazio,7.017,7,3,5,9,12,62.36,47.0,56.0,62.0,69.0,77.0,17.6,9.56,10.84,51.19,40.11,11.07,0.01224,0.20113,0.31492,0.8851,0.00087,7,0.1.0-phase1,2026-09-21T07:39:04+00:00
Cagliari,10.55,10,5,8,13,16,51.92,38.0,46.0,52.0,58.0,67.0,14.47,8.52,15.01,41.39,46.51,-5.12,0.00056,0.0277,0.05523,0.51331,0.01829,10,0.1.0-phase1,2026-09-21T07:39:04+00:00
Bologna,11.527,11,6,9,14,17,48.83,34.0,43.0,49.0,55.0,64.0,12.83,10.34,14.83,45.96,46.91,-0.95,0.00021,0.0142,0.03108,0.39832,0.04306,11,0.1.0-phase1,2026-09-21T07:39:04+00:00
Sassuolo,11.614,12,6,9,14,17,48.82,34.0,42.0,49.0,55.0,65.0,13.39,8.64,15.97,53.15,59.93,-6.78,0.00038,0.01746,0.0355,0.3868,0.04813,11,0.1.0-phase1,2026-09-21T07:39:04+00:00
Fiorentina,12.359,12,7,10,15,18,46.76,32.0,40.0,47.0,53.0,62.0,12.56,9.07,16.37,48.17,58.77,-10.6,0.00014,0.00825,0.01893,0.30041,0.06588,12,0.1.0-phase1,2026-09-21T07:39:04+00:00
Udinese,12.634,13,7,10,15,18,45.9,31.0,40.0,46.0,52.0,61.0,12.26,9.11,16.62,48.94,57.6,-8.66,8e-05,0.00646,0.01527,0.27186,0.07638,12,0.1.0-phase1,2026-09-21T07:39:04+00:00
Torino,13.67,14,8,11,16,19,43.09,29.0,37.0,43.0,49.0,58.0,11.33,9.09,17.58,43.09,56.53,-13.45,3e-05,0.00276,0.00697,0.17487,0.12978,14,0.1.0-phase1,2026-09-21T07:39:04+00:00
Genoa,15.263,16,10,13,18,20,38.42,24.0,32.0,38.0,44.0,53.0,9.69,9.35,18.96,37.99,57.43,-19.44,0.0,0.00061,0.00192,0.0805,0.27216,17,0.1.0-phase1,2026-09-21T07:39:04+00:00
Parma,15.264,16,10,13,18,20,38.42,25.0,32.0,38.0,44.0,53.0,9.51,9.89,18.6,33.22,51.91,-18.69,1e-05,0.00076,0.00204,0.07966,0.26952,17,0.1.0-phase1,2026-09-21T07:39:04+00:00
Frosinone,15.55,16,9,13,18,20,37.56,23.0,31.0,37.0,44.0,54.0,9.78,8.23,20.0,39.22,65.9,-26.67,3e-05,0.00179,0.00401,0.0884,0.34276,18,0.1.0-phase1,2026-09-21T07:39:04+00:00
Lecce,16.228,17,11,15,18,20,35.8,23.0,30.0,35.0,41.0,50.0,9.11,8.45,20.43,31.49,59.75,-28.26,0.0,0.00019,0.00064,0.03775,0.38836,18,0.1.0-phase1,2026-09-21T07:39:04+00:00
Monza,17.312,18,12,16,19,20,31.37,16.0,24.0,31.0,38.0,48.0,7.72,8.19,22.08,38.13,73.52,-35.39,0.0,0.00036,0.00085,0.02993,0.59444,20,0.1.0-phase1,2026-09-21T07:39:04+00:00
Venezia,18.302,19,13,17,20,20,26.98,12.0,20.0,26.0,33.0,44.0,6.61,7.15,24.24,34.02,75.73,-41.72,0.0,9e-05,0.00026,0.01261,0.74863,20,0.1.0-phase1,2026-09-21T07:39:04+00:00
