team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
Paris Saint-Germain,0.41068,0.84131,9e-05,67.55,0.46615,0.87855,5e-05,68.64,0.05547000000000002,0.03724000000000005,-4e-05,1.0900000000000034
Stade Rennais FC,0.04714,0.30408,0.00833,54.7,0.06292,0.3922,0.00334,56.85,0.015780000000000002,0.08811999999999998,-0.0049900000000000005,2.1499999999999986
LOSC Lille,0.12049,0.52717,0.0015,59.99,0.13302,0.57827,0.00064,60.93,0.01253,0.05109999999999992,-0.00086,0.9399999999999977
AJ Auxerre,0.0003,0.00732,0.3424,35.45,0.00041,0.01068,0.25301,37.45,0.00011000000000000002,0.00336,-0.08938999999999997,2.0
Angers SCO,5e-05,0.00256,0.4677,32.58,5e-05,0.002,0.45907,32.52,0.0,-0.0005600000000000002,-0.008630000000000027,-0.05999999999999517
Havre Athletic Club,0.00014,0.00352,0.41903,33.48,6e-05,0.00239,0.44691,32.64,-7.999999999999999e-05,-0.00113,0.02787999999999996,-0.8399999999999963
Le Mans FC,0.0004,0.0052,0.59845,29.78,0.00014,0.00272,0.59898,29.6,-0.00026000000000000003,-0.0024799999999999996,0.0005299999999999194,-0.17999999999999972
OGC Nice,0.00052,0.0116,0.24507,37.78,0.00017,0.00667,0.29671,36.05,-0.00034999999999999994,-0.0049299999999999995,0.051639999999999964,-1.730000000000004
Toulouse FC,0.00163,0.03014,0.13572,41.57,0.00127,0.02805,0.12352,41.62,-0.00035999999999999986,-0.0020900000000000016,-0.012200000000000003,0.04999999999999716
Estac Troyes,0.00061,0.00774,0.5213,31.88,0.00016,0.00346,0.553,30.87,-0.00045,-0.004280000000000001,0.03170000000000006,-1.009999999999998
Stade Brestois 29,0.00227,0.03687,0.1142,42.47,0.00124,0.03065,0.11716,41.84,-0.0010299999999999999,-0.00622,0.0029600000000000043,-0.6299999999999955
FC Lorient,0.00478,0.0578,0.09887,43.84,0.00321,0.04717,0.10168,43.13,-0.0015700000000000002,-0.01063,0.002810000000000007,-0.7100000000000009
RC Strasbourg Alsace,0.03462,0.25242,0.01143,53.33,0.02677,0.23495,0.00999,52.83,-0.00785,-0.017469999999999986,-0.0014399999999999986,-0.5
Olympique Lyonnais,0.07298,0.39188,0.0041,56.8,0.06396,0.39105,0.00315,56.63,-0.00902,-0.0008299999999999974,-0.0009500000000000003,-0.1699999999999946
Paris FC,0.04579,0.26756,0.01741,53.15,0.03662,0.25017,0.01561,52.62,-0.009169999999999998,-0.017390000000000017,-0.0017999999999999978,-0.5300000000000011
AS Monaco,0.14948,0.57771,0.00109,61.19,0.13326,0.57824,0.00087,60.9,-0.016220000000000012,0.0005300000000000304,-0.00022000000000000003,-0.28999999999999915
Olympique de Marseille,0.04412,0.30098,0.00844,54.44,0.02632,0.23906,0.01071,52.72,-0.0178,-0.06192000000000003,0.002270000000000001,-1.7199999999999989
RC Lens,0.06399,0.37412,0.00486,56.22,0.04427,0.32372,0.00558,54.87,-0.01972000000000001,-0.0504,0.0007200000000000002,-1.3500000000000014
