team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
FC Barcelona,0.77916,0.99869,0.0,91.23,0.77916,0.99869,0.0,91.23,0.0,0.0,0.0,0.0
Real Madrid,0.18768,0.9738,0.0,81.81,0.18768,0.9738,0.0,81.81,0.0,0.0,0.0,0.0
R. Racing Club,2e-05,0.0061,0.44624,38.22,2e-05,0.0061,0.44624,38.22,0.0,0.0,0.0,0.0
RC Deportivo,2e-05,0.00707,0.40202,39.15,2e-05,0.00707,0.40202,39.15,0.0,0.0,0.0,0.0
Elche CF,0.0,0.00665,0.32086,40.74,0.0,0.00665,0.32086,40.74,0.0,0.0,0.0,0.0
Getafe CF,0.0,0.00535,0.2462,41.99,0.0,0.00535,0.2462,41.99,0.0,0.0,0.0,0.0
Valencia CF,0.0,0.0077,0.22023,43.14,0.0,0.0077,0.22023,43.14,0.0,0.0,0.0,0.0
CA Osasuna,1e-05,0.01454,0.157,45.35,1e-05,0.01454,0.157,45.35,0.0,0.0,0.0,0.0
Levante UD,5e-05,0.03105,0.14806,46.52,5e-05,0.03105,0.14806,46.52,0.0,0.0,0.0,0.0
Celta Vigo,1e-05,0.02557,0.10788,47.17,1e-05,0.02557,0.10788,47.17,0.0,0.0,0.0,0.0
RCD Espanyol de Barcelona,2e-05,0.02798,0.10188,47.5,2e-05,0.02798,0.10188,47.5,0.0,0.0,0.0,0.0
Rayo Vallecano,1e-05,0.03276,0.0845,48.59,1e-05,0.03276,0.0845,48.59,0.0,0.0,0.0,0.0
Real Sociedad,6e-05,0.04736,0.05901,50.44,6e-05,0.04736,0.05901,50.44,0.0,0.0,0.0,0.0
Deportivo Alavés,6e-05,0.05108,0.05262,50.44,6e-05,0.05108,0.05262,50.44,0.0,0.0,0.0,0.0
Sevilla FC,0.00022,0.08896,0.02483,53.67,0.00022,0.08896,0.02483,53.67,0.0,0.0,0.0,0.0
Athletic Club,0.00033,0.11532,0.02414,54.47,0.00033,0.11532,0.02414,54.47,0.0,0.0,0.0,0.0
Villarreal CF,0.00096,0.24014,0.0067,59.07,0.00096,0.24014,0.0067,59.07,0.0,0.0,0.0,0.0
Real Betis,0.00744,0.54455,0.00064,66.21,0.00744,0.54455,0.00064,66.21,0.0,0.0,0.0,0.0
Atlético de Madrid,0.02396,0.77284,0.00012,71.08,0.02396,0.77284,0.00012,71.08,0.0,0.0,0.0,0.0
Málaga CF,0.0,0.00249,0.59704,34.43,0.0,0.00249,0.59704,34.43,0.0,0.0,0.0,0.0
