team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability,finish_19_probability,finish_20_probability
Athletic Club,0.0002,0.0045,0.02315,0.06396,0.09742,0.11008,0.10744,0.09891,0.08788,0.07782,0.0686,0.05958,0.04993,0.04246,0.03388,0.0275,0.02052,0.01439,0.00832,0.00346
Atlético de Madrid,0.03196,0.22148,0.40314,0.18274,0.08089,0.03718,0.019,0.01034,0.00564,0.00333,0.00186,0.00113,0.00066,0.0003,0.00021,0.0001,3e-05,0.0,0.0,0.0
CA Osasuna,0.0,0.00017,0.00194,0.00855,0.01821,0.02766,0.03877,0.04726,0.05632,0.06446,0.07088,0.07837,0.08196,0.08463,0.08712,0.08571,0.08228,0.0729,0.05885,0.03395
Celta Vigo,2e-05,0.0014,0.00964,0.03223,0.0558,0.07456,0.08327,0.08809,0.08738,0.08539,0.08101,0.07609,0.06932,0.06213,0.05478,0.04635,0.03816,0.02863,0.01818,0.00756
Deportivo Alavés,3e-05,0.0017,0.01043,0.03193,0.05587,0.07644,0.08624,0.08882,0.09032,0.08647,0.0824,0.07626,0.07004,0.06135,0.05417,0.04495,0.03514,0.02509,0.01594,0.00641
Elche CF,0.0,0.00031,0.00238,0.00951,0.0195,0.02996,0.03939,0.04654,0.05415,0.06005,0.06532,0.07101,0.07547,0.07956,0.08262,0.08534,0.08386,0.08025,0.07004,0.04474
FC Barcelona,0.83655,0.1325,0.02609,0.00404,0.00067,0.0001,2e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Getafe CF,0.0,7e-05,0.00121,0.00524,0.01214,0.0213,0.03076,0.03944,0.04867,0.0574,0.06549,0.07377,0.08126,0.08754,0.09288,0.09602,0.09438,0.08762,0.06909,0.0357
Levante UD,2e-05,0.00082,0.00445,0.01436,0.02861,0.04094,0.04843,0.0552,0.06012,0.06408,0.0693,0.07146,0.07386,0.07494,0.07556,0.0763,0.07356,0.06902,0.06036,0.03862
Málaga CF,0.0,2e-05,0.00022,0.00111,0.00254,0.00483,0.00644,0.00918,0.01201,0.01494,0.01845,0.02395,0.0298,0.03774,0.04628,0.06073,0.08127,0.11513,0.17803,0.35733
R. Racing Club,0.0,0.00013,0.0008,0.003,0.00576,0.00955,0.01272,0.01624,0.02135,0.02601,0.03196,0.0368,0.04446,0.05286,0.06554,0.07812,0.0977,0.12622,0.16551,0.20528
RC Deportivo,1e-05,0.00015,0.00109,0.00362,0.00812,0.01301,0.01732,0.02199,0.02739,0.03249,0.03724,0.04525,0.05285,0.06194,0.07176,0.08453,0.10313,0.12569,0.15014,0.14227
RCD Espanyol de Barcelona,0.0,0.00021,0.00218,0.00888,0.01938,0.02979,0.04106,0.05016,0.05818,0.06635,0.0721,0.07669,0.08122,0.08442,0.08474,0.08391,0.0802,0.07088,0.05669,0.03296
Rayo Vallecano,2e-05,0.00077,0.00573,0.02036,0.03869,0.05415,0.06609,0.07438,0.07831,0.08113,0.08239,0.08001,0.07771,0.07496,0.06834,0.06104,0.05191,0.0417,0.02858,0.01373
Real Betis,0.0053,0.05965,0.17605,0.27186,0.1758,0.10718,0.06834,0.04556,0.03054,0.02116,0.01347,0.0092,0.00615,0.00405,0.00259,0.00154,0.00094,0.00041,0.00017,2e-05
Real Madrid,0.12481,0.55116,0.22222,0.06612,0.02179,0.00779,0.00327,0.0014,0.00077,0.00031,0.00018,9e-05,6e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0
Real Sociedad,7e-05,0.00261,0.01689,0.05293,0.08684,0.10267,0.10356,0.09873,0.09173,0.08332,0.07356,0.06402,0.05484,0.0471,0.03818,0.03064,0.0232,0.016,0.00932,0.00378
Sevilla FC,4e-05,0.0028,0.01603,0.04888,0.07836,0.09634,0.10124,0.09843,0.0924,0.08545,0.07661,0.06687,0.059,0.04931,0.04102,0.03292,0.02438,0.01684,0.00956,0.00352
Valencia CF,0.0,3e-05,0.00072,0.00301,0.00827,0.01448,0.02164,0.02962,0.03753,0.04539,0.05378,0.0632,0.07193,0.0807,0.09016,0.09756,0.10482,0.10685,0.09998,0.07035
Villarreal CF,0.00095,0.01949,0.07561,0.16766,0.18536,0.14198,0.10502,0.07972,0.0593,0.04446,0.03541,0.02626,0.01949,0.01399,0.01016,0.00674,0.00452,0.00237,0.0012,0.00032
