team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
Arsenal,0.4691,0.94189,0.0,80.61,0.49952,0.95722,0.0,81.49,0.030420000000000003,0.015329999999999955,0.0,0.8799999999999955
Liverpool,0.032,0.41137,0.00446,63.37,0.03564,0.47296,0.00281,64.53,0.0036399999999999974,0.06158999999999998,-0.0016500000000000004,1.1600000000000037
Hull City,0.00271,0.03241,0.54584,35.81,0.00418,0.03915,0.55627,35.61,0.0014699999999999995,0.006739999999999996,0.01043000000000005,-0.20000000000000284
Ipswich Town,0.00158,0.02339,0.60811,33.23,0.00244,0.02682,0.63733,32.19,0.0008599999999999999,0.003429999999999999,0.029219999999999913,-1.0399999999999991
Coventry City,0.00088,0.01631,0.6786,30.05,0.00164,0.02202,0.69394,29.4,0.0007599999999999999,0.00571,0.01534000000000002,-0.6500000000000021
Crystal Palace,0.00021,0.01315,0.23345,43.27,0.00031,0.02438,0.15165,46.07,9.999999999999999e-05,0.011229999999999999,-0.08179999999999998,2.799999999999997
Tottenham Hotspur,0.00016,0.01201,0.24441,42.97,0.00013,0.01243,0.23562,43.09,-3.0000000000000024e-05,0.00042000000000000023,-0.008789999999999992,0.12000000000000455
Sunderland,0.00132,0.04524,0.1502,47.14,0.00127,0.0475,0.13164,47.57,-4.9999999999999914e-05,0.002259999999999998,-0.018559999999999993,0.4299999999999997
Fulham,0.00045,0.02533,0.15398,46.04,0.00012,0.01498,0.20815,43.75,-0.00033,-0.010349999999999998,0.054169999999999996,-2.289999999999999
Everton,0.00198,0.07792,0.05686,51.7,0.00164,0.07391,0.05496,51.49,-0.00034,-0.00401,-0.001899999999999999,-0.21000000000000085
Leeds United,0.0035,0.09059,0.07682,51.45,0.00315,0.09493,0.06696,51.79,-0.00035000000000000005,0.004339999999999997,-0.009859999999999994,0.3399999999999963
Aston Villa,0.00223,0.0885,0.05577,52.29,0.00164,0.08311,0.05572,51.86,-0.0005900000000000002,-0.005389999999999992,-5.000000000000143e-05,-0.4299999999999997
Nottingham Forest,0.00184,0.0689,0.06904,50.94,0.0011,0.05597,0.07736,49.82,-0.00074,-0.012930000000000004,0.008319999999999994,-1.1199999999999974
AFC Bournemouth,0.0037,0.11335,0.04192,53.66,0.00277,0.11559,0.03924,53.67,-0.0009300000000000003,0.002239999999999992,-0.002680000000000002,0.010000000000005116
Manchester United,0.01054,0.21582,0.01649,57.95,0.00822,0.20212,0.01735,57.3,-0.002320000000000001,-0.013700000000000018,0.0008599999999999997,-0.6500000000000057
Brentford,0.00777,0.18333,0.0203,56.89,0.00542,0.16414,0.0234,55.87,-0.0023499999999999997,-0.019189999999999985,0.003100000000000002,-1.0200000000000031
Brighton & Hove Albion,0.00794,0.18722,0.02014,57.01,0.00546,0.16548,0.02279,56.01,-0.0024799999999999996,-0.02174000000000001,0.0026499999999999996,-1.0
Newcastle United,0.01123,0.23021,0.01408,58.58,0.00823,0.21046,0.0152,57.75,-0.003000000000000001,-0.01974999999999999,0.0011199999999999995,-0.8299999999999983
Chelsea,0.01714,0.29292,0.0095,60.53,0.01301,0.28155,0.00958,59.93,-0.004129999999999998,-0.011369999999999991,8.000000000000021e-05,-0.6000000000000014
Manchester City,0.42371,0.93014,3e-05,79.67,0.40411,0.93528,2e-05,79.73,-0.01959999999999995,0.005140000000000033,-9.999999999999999e-06,0.060000000000002274
